카테고리,대구광역시 서구,대구광역시 서구 내당1동,대구광역시 서구 내당2.3동,대구광역시 서구 내당4동,대구광역시 서구 비산1동,대구광역시 서구 비산2.3동,대구광역시 서구 비산4동,대구광역시 서구 비산5동,대구광역시 서구 비산6동,대구광역시 서구 비산7동,대구광역시 서구 평리1동,대구광역시 서구 평리2동,대구광역시 서구 평리3동,대구광역시 서구 평리4동,대구광역시 서구 평리5동,대구광역시 서구 평리6동,대구광역시 서구 상중이동,대구광역시 서구 원대동
2020년08월_계_총인구수,"172,465","8,750","10,336","17,177","9,880","9,776","10,170","6,504","7,904","11,099","7,995","8,254","10,275","18,389","1,929","5,395","20,676","7,956"
2020년08월_계_연령구간인구수,"172,465","8,750","10,336","17,177","9,880","9,776","10,170","6,504","7,904","11,099","7,995","8,254","10,275","18,389","1,929","5,395","20,676","7,956"
2020년08월_계_0~9세,"7,824",347,338,784,313,307,391,205,223,389,300,645,358,"1,368",85,174,"1,316",281
2020년08월_계_10~19세,"11,213",524,563,"1,290",644,508,636,356,512,617,494,586,631,"1,255",115,340,"1,717",425
2020년08월_계_20~29세,"21,955","1,350","1,307","2,460","1,159","1,053","1,331",687,"1,045","1,347","1,035",932,"1,330","2,344",231,650,"2,707",987
2020년08월_계_30~39세,"17,874",966,977,"2,014",883,834,"1,002",629,709,"1,036",750,"1,005","1,024","2,356",202,492,"2,272",723
2020년08월_계_40~49세,"23,341","1,102","1,344","2,287","1,360","1,189","1,336",806,"1,044","1,486","1,048","1,254","1,358","2,623",257,695,"3,052","1,100"
2020년08월_계_50~59세,"34,827","1,723","2,042","3,223","2,142","1,957","2,045","1,323","1,690","2,482","1,657","1,511","2,261","3,543",401,"1,193","3,996","1,638"
2020년08월_계_60~69세,"30,618","1,526","1,946","2,861","1,776","1,890","1,895","1,289","1,482","2,058","1,465","1,319","1,876","2,899",362,"1,086","3,431","1,457"
2020년08월_계_70~79세,"17,230",831,"1,265","1,569","1,126","1,382","1,046",835,818,"1,223",850,717,"1,009","1,388",202,518,"1,529",922
2020년08월_계_80~89세,"6,732",343,498,609,419,575,436,345,346,423,353,257,378,524,63,227,550,386
2020년08월_계_90~99세,752,28,49,78,50,64,41,28,28,34,37,27,47,85,5,20,94,37
2020년08월_계_100세 이상,99,10,7,2,8,17,11,1,7,4,6,1,3,4,6,0,12,0
2020년08월_남_총인구수,"86,481","4,320","5,057","8,315","5,044","4,871","5,013","3,326","3,892","5,898","4,059","4,034","5,201","9,100","1,016","2,865","10,418","4,052"
2020년08월_남_연령구간인구수,"86,481","4,320","5,057","8,315","5,044","4,871","5,013","3,326","3,892","5,898","4,059","4,034","5,201","9,100","1,016","2,865","10,418","4,052"
2020년08월_남_0~9세,"4,018",185,173,393,159,167,190,109,110,207,154,336,191,688,47,87,692,130
2020년08월_남_10~19세,"5,870",280,301,663,351,278,336,188,275,319,273,285,353,638,63,176,886,205
2020년08월_남_20~29세,"12,089",706,690,"1,327",655,576,718,377,575,794,599,492,712,"1,287",136,383,"1,494",568
2020년08월_남_30~39세,"10,115",542,578,"1,128",518,489,596,382,415,585,441,529,595,"1,235",110,316,"1,234",422
2020년08월_남_40~49세,"12,527",572,753,"1,114",775,687,717,448,516,885,581,648,753,"1,355",150,408,"1,543",622
2020년08월_남_50~59세,"17,475",810,"1,017","1,474","1,109","1,023",977,729,861,"1,391",860,726,"1,133","1,709",205,627,"1,976",848
2020년08월_남_60~69세,"14,367",710,866,"1,281",848,893,866,595,668,"1,014",678,608,907,"1,365",177,559,"1,641",691
2020년08월_남_70~79세,"7,538",387,504,705,470,549,456,366,345,556,345,314,428,643,96,226,736,412
2020년08월_남_80~89세,"2,318",120,164,209,149,196,150,123,120,142,119,91,121,167,31,77,194,145
2020년08월_남_90~99세,141,6,9,21,7,13,4,9,5,4,6,4,8,13,0,6,17,9
2020년08월_남_100세 이상,23,2,2,0,3,0,3,0,2,1,3,1,0,0,1,0,5,0
2020년08월_여_총인구수,"85,984","4,430","5,279","8,862","4,836","4,905","5,157","3,178","4,012","5,201","3,936","4,220","5,074","9,289",913,"2,530","10,258","3,904"
2020년08월_여_연령구간인구수,"85,984","4,430","5,279","8,862","4,836","4,905","5,157","3,178","4,012","5,201","3,936","4,220","5,074","9,289",913,"2,530","10,258","3,904"
2020년08월_여_0~9세,"3,806",162,165,391,154,140,201,96,113,182,146,309,167,680,38,87,624,151
2020년08월_여_10~19세,"5,343",244,262,627,293,230,300,168,237,298,221,301,278,617,52,164,831,220
2020년08월_여_20~29세,"9,866",644,617,"1,133",504,477,613,310,470,553,436,440,618,"1,057",95,267,"1,213",419
2020년08월_여_30~39세,"7,759",424,399,886,365,345,406,247,294,451,309,476,429,"1,121",92,176,"1,038",301
2020년08월_여_40~49세,"10,814",530,591,"1,173",585,502,619,358,528,601,467,606,605,"1,268",107,287,"1,509",478
2020년08월_여_50~59세,"17,352",913,"1,025","1,749","1,033",934,"1,068",594,829,"1,091",797,785,"1,128","1,834",196,566,"2,020",790
2020년08월_여_60~69세,"16,251",816,"1,080","1,580",928,997,"1,029",694,814,"1,044",787,711,969,"1,534",185,527,"1,790",766
2020년08월_여_70~79세,"9,692",444,761,864,656,833,590,469,473,667,505,403,581,745,106,292,793,510
2020년08월_여_80~89세,"4,414",223,334,400,270,379,286,222,226,281,234,166,257,357,32,150,356,241
2020년08월_여_90~99세,611,22,40,57,43,51,37,19,23,30,31,23,39,72,5,14,77,28
2020년08월_여_100세 이상,76,8,5,2,5,17,8,1,5,3,3,0,3,4,5,0,7,0
