카테고리,충청북도 충주시,충청북도 충주시 주덕읍,충청북도 충주시 살미면,충청북도 충주시 수안보면,충청북도 충주시 대소원면,충청북도 충주시 신니면,충청북도 충주시 노은면,충청북도 충주시 앙성면,충청북도 충주시 중앙탑면,충청북도 충주시 금가면,충청북도 충주시 동량면,충청북도 충주시 산척면,충청북도 충주시 엄정면,충청북도 충주시 소태면,충청북도 충주시 성내.충인동,충청북도 충주시 교현.안림동,충청북도 충주시 교현2동,충청북도 충주시 용산동,충청북도 충주시 지현동,충청북도 충주시 문화동,충청북도 충주시 호암.직동,충청북도 충주시 달천동,충청북도 충주시 봉방동,충청북도 충주시 칠금.금릉동,충청북도 충주시 연수동,충청북도 충주시 목행.용탄동
2020년01월_계_총인구수,"210,806","4,943","2,084","3,094","8,462","3,046","2,343","4,066","12,288","3,753","3,765","2,344","3,306","1,945","2,832","23,911","7,271","15,805","5,457","9,781","17,052","3,828","9,513","15,018","38,172","6,727"
2020년01월_계_연령구간인구수,"210,806","4,943","2,084","3,094","8,462","3,046","2,343","4,066","12,288","3,753","3,765","2,344","3,306","1,945","2,832","23,911","7,271","15,805","5,457","9,781","17,052","3,828","9,513","15,018","38,172","6,727"
2020년01월_계_0~9세,"15,260",114,48,81,571,36,65,87,"1,869",321,109,60,80,56,120,"1,771",303,"1,362",284,425,"2,019",101,575,"1,158","3,024",621
2020년01월_계_10~19세,"19,582",246,70,124,380,125,102,163,872,274,178,78,183,79,171,"2,619",595,"2,097",517,736,"2,279",177,807,"1,893","4,106",711
2020년01월_계_20~29세,"24,514",389,142,210,"1,317",193,134,291,"1,427",521,293,174,211,107,284,"2,862",878,"1,895",616,"1,089","1,944",533,"1,163","1,966","5,096",779
2020년01월_계_30~39세,"24,070",325,119,169,"1,374",185,125,188,"2,803",463,184,129,183,117,238,"2,589",649,"1,764",481,866,"2,493",307,"1,087","1,578","4,787",867
2020년01월_계_40~49세,"31,615",527,170,290,"1,138",243,187,375,"1,889",517,369,220,279,153,360,"3,787","1,015","2,986",797,"1,244","3,179",425,"1,448","2,698","6,158","1,161"
2020년01월_계_50~59세,"37,995","1,066",451,668,"1,466",616,426,845,"1,495",525,776,461,629,358,508,"4,425","1,381","2,692",988,"1,858","2,614",773,"1,762","2,823","7,179","1,210"
2020년01월_계_60~69세,"29,611","1,094",554,752,"1,169",747,592,"1,009","1,048",534,835,538,811,492,529,"3,137","1,197","1,598",846,"1,854","1,457",720,"1,422","1,554","4,405",717
2020년01월_계_70~79세,"17,472",702,325,517,608,509,412,649,529,349,577,394,523,341,381,"1,747",803,898,591,"1,091",691,487,893,864,"2,185",406
2020년01월_계_80~89세,"9,450",438,177,234,387,354,264,401,317,224,386,262,356,223,192,867,400,459,301,537,329,277,321,430,"1,087",227
2020년01월_계_90~99세,"1,170",39,27,48,45,35,32,54,38,22,56,26,45,18,47,102,47,51,31,77,47,27,33,53,144,26
2020년01월_계_100세 이상,67,3,1,1,7,3,4,4,1,3,2,2,6,1,2,5,3,3,5,4,0,1,2,1,1,2
2020년01월_남_총인구수,"106,633","2,533","1,062","1,560","4,749","1,556","1,181","2,091","6,315","2,004","1,886","1,198","1,699","1,002","1,394","11,962","3,662","7,743","2,750","4,912","8,490","2,049","4,913","7,425","18,995","3,502"
