카테고리,경상북도,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 북구,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 영천시,경상북도 상주시,경상북도 문경시,경상북도 경산시,경상북도 군위군,경상북도 의성군,경상북도 청송군,경상북도 영양군,경상북도 영덕군,경상북도 청도군,경상북도 고령군,경상북도 성주군,경상북도 칠곡군,경상북도 예천군,경상북도 봉화군,경상북도 울진군,경상북도 울릉군
2021년07월_계_총인구수,"2,631,649","503,489","230,940","272,549","252,438","140,219","157,690","414,207","102,377","101,856","96,160","71,242","267,453","22,880","51,042","24,768","16,396","35,732","41,804","30,855","42,964","113,981","55,845","31,057","48,175","9,019"
2021년07월_계_연령구간인구수,"2,631,649","503,489","230,940","272,549","252,438","140,219","157,690","414,207","102,377","101,856","96,160","71,242","267,453","22,880","51,042","24,768","16,396","35,732","41,804","30,855","42,964","113,981","55,845","31,057","48,175","9,019"
2021년07월_계_0~9세,"182,918","38,256","16,823","21,433","15,740","10,150","10,276","39,810","5,855","5,632","5,001","3,897","19,977",627,"1,845",950,704,"1,544","1,428","1,365","1,863","9,000","4,537","1,278","2,788",395
2021년07월_계_10~19세,"223,455","46,303","21,048","25,255","20,400","12,333","13,460","44,311","8,692","6,645","7,459","5,503","22,925",917,"2,219","1,173",911,"2,055","2,218","1,947","2,209","11,413","4,442","1,847","3,621",452
2021년07월_계_20~29세,"280,421","56,914","26,733","30,181","26,093","14,410","16,522","55,617","9,606","9,958","7,832","6,219","36,455","1,419","2,985","1,632","1,110","2,313","2,698","2,383","3,297","11,735","4,097","1,895","4,400",831
2021년07월_계_30~39세,"283,759","58,191","26,249","31,942","24,890","14,613","15,222","64,049","8,241","9,212","7,183","5,528","33,142","1,235","3,089","1,602",999,"2,275","2,617","2,135","3,199","14,135","5,408","1,826","4,119",849
2021년07월_계_40~49세,"378,861","76,839","35,566","41,273","36,169","19,213","21,763","72,724","13,529","12,406","11,119","8,603","41,672","2,045","4,516","2,311","1,616","3,731","4,275","3,631","4,581","20,515","7,185","3,094","6,063","1,261"
2021년07월_계_50~59세,"453,913","89,033","40,878","48,155","46,535","23,476","25,742","69,709","17,455","18,006","16,290","11,816","45,526","4,109","8,339","4,566","2,860","5,961","7,095","5,770","8,148","19,779","7,955","5,571","8,390","1,782"
2021년07월_계_60~69세,"427,094","81,911","38,041","43,870","42,648","23,045","26,652","42,236","19,097","19,351","18,960","13,933","36,924","5,529","12,116","5,662","3,569","7,573","9,829","6,489","9,727","14,575","9,739","7,061","8,666","1,802"
2021년07월_계_70~79세,"241,786","37,709","17,589","20,120","24,760","13,343","16,553","16,200","11,727","12,617","12,394","9,128","19,913","3,987","8,839","3,978","2,598","5,799","6,662","4,100","5,864","7,634","6,725","4,660","5,539","1,057"
