카테고리,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 동남구 목천읍,충청남도 천안시 동남구 풍세면,충청남도 천안시 동남구 광덕면,충청남도 천안시 동남구 북면,충청남도 천안시 동남구 성남면,충청남도 천안시 동남구 수신면,충청남도 천안시 동남구 병천면,충청남도 천안시 동남구 동면,충청남도 천안시 동남구 중앙동,충청남도 천안시 동남구 문성동,충청남도 천안시 동남구 원성1동,충청남도 천안시 동남구 원성2동,충청남도 천안시 동남구 봉명동,충청남도 천안시 동남구 일봉동,충청남도 천안시 동남구 신방동,충청남도 천안시 동남구 청룡동,충청남도 천안시 동남구 신안동,충청남도 천안시 서북구,충청남도 천안시 서북구 성환읍,충청남도 천안시 서북구 성거읍,충청남도 천안시 서북구 직산읍,충청남도 천안시 서북구 입장면,충청남도 천안시 서북구 성정1동,충청남도 천안시 서북구 성정2동,충청남도 천안시 서북구 쌍용1동,충청남도 천안시 서북구 쌍용2동,충청남도 천안시 서북구 쌍용3동,충청남도 천안시 서북구 백석동,충청남도 천안시 서북구 불당동,충청남도 천안시 서북구 부성1동,충청남도 천안시 서북구 부성2동
2020년01월_계_총인구수,"652,845","259,416","24,242","4,185","4,317","4,394","3,294","2,324","6,219","2,174","5,578","3,710","8,979","9,728","17,510","24,929","45,313","55,896","36,624","393,429","25,263","22,446","19,495","8,850","16,376","25,671","14,382","38,760","19,412","41,071","67,502","39,919","54,282"
2020년01월_계_연령구간인구수,"652,845","259,416","24,242","4,185","4,317","4,394","3,294","2,324","6,219","2,174","5,578","3,710","8,979","9,728","17,510","24,929","45,313","55,896","36,624","393,429","25,263","22,446","19,495","8,850","16,376","25,671","14,382","38,760","19,412","41,071","67,502","39,919","54,282"
2020년01월_계_0~9세,"64,235","21,727","1,897",153,127,155,89,62,299,30,179,95,441,334,"1,083","2,443","5,120","6,339","2,881","42,508","1,454","2,068","1,475",344,829,"1,091",954,"3,735","1,596","6,024","10,437","3,505","8,996"
2020년01월_계_10~19세,"69,915","27,141","2,902",258,204,253,182,90,363,88,316,192,742,747,"1,463","3,357","6,052","7,101","2,831","42,774","2,460","2,520","1,949",612,"1,163","1,507","1,318","5,260","2,516","5,675","9,166","3,860","4,768"
2020년01월_계_20~29세,"95,044","35,447","2,749",389,395,403,265,202,778,143,564,487,"1,143","1,254","2,749","3,011","6,173","7,252","7,490","59,597","2,906","2,608","2,436","1,002","2,456","6,361","2,531","6,082","2,765","5,198","8,470","8,649","8,133"
2020년01월_계_30~39세,"106,759","34,629","2,635",343,314,354,204,181,603,102,503,404,923,967,"2,403","2,866","7,255","8,786","5,786","72,130","2,429","3,248","2,796",778,"2,301","5,616","1,969","5,503","2,494","7,418","14,611","7,666","15,301"
2020년01월_계_40~49세,"111,279","43,609","4,629",471,459,541,354,245,781,198,725,487,"1,300","1,434","2,901","4,711","9,057","10,189","5,127","67,670","4,097","4,255","3,482","1,188","2,524","3,794","2,026","6,927","3,356","7,674","13,410","6,544","8,393"
2020년01월_계_50~59세,"101,845","44,212","4,320",816,929,939,662,456,"1,203",486,"1,111",749,"1,836","1,985","3,264","4,221","6,728","8,326","6,181","57,633","4,357","3,690","3,446","1,843","3,254","3,610","2,669","6,699","3,522","5,573","7,843","5,667","5,460"
2020년01월_계_60~69세,"58,120","28,803","2,602",875,909,856,729,484,"1,086",464,"1,131",691,"1,378","1,518","2,156","2,444","2,975","4,667","3,838","29,317","3,714","2,244","2,103","1,515","2,136","2,287","1,814","2,814","1,750","2,201","2,278","2,374","2,087"
2020년01월_계_70~79세,"29,055","15,026","1,515",500,551,506,475,329,619,374,708,398,792,970,"1,016","1,253","1,214","2,121","1,685","14,029","2,438","1,168","1,137",954,"1,190",952,727,"1,115",868,855,842,"1,054",729
