,대구광역시 서구,대구광역시 서구 내당1동,대구광역시 서구 내당2.3동,대구광역시 서구 내당4동,대구광역시 서구 비산1동,대구광역시 서구 비산2.3동,대구광역시 서구 비산4동,대구광역시 서구 비산5동,대구광역시 서구 비산6동,대구광역시 서구 비산7동,대구광역시 서구 평리1동,대구광역시 서구 평리2동,대구광역시 서구 평리3동,대구광역시 서구 평리4동,대구광역시 서구 평리5동,대구광역시 서구 평리6동,대구광역시 서구 상중이동,대구광역시 서구 원대동
2021년09월_계_총인구수,"166,406","8,487","9,933","16,724","9,740","9,367","9,819","6,173","7,710","10,176","7,901","8,010","9,966","18,129","1,769","4,658","20,175","7,669"
2021년09월_계_연령구간인구수,"166,406","8,487","9,933","16,724","9,740","9,367","9,819","6,173","7,710","10,176","7,901","8,010","9,966","18,129","1,769","4,658","20,175","7,669"
2021년09월_계_0~9세,"7,001",293,303,676,284,273,351,174,218,362,295,576,337,"1,203",67,111,"1,220",258
2021년09월_계_10~19세,"10,313",478,490,"1,168",631,471,570,303,466,519,457,584,554,"1,244",98,280,"1,627",373
2021년09월_계_20~29세,"20,497","1,303","1,241","2,347","1,120",989,"1,201",638,958,"1,165","1,010",863,"1,237","2,199",211,546,"2,537",932
2021년09월_계_30~39세,"16,912",934,938,"1,946",865,785,932,574,665,"1,008",731,919,988,"2,198",179,434,"2,132",684
2021년09월_계_40~49세,"21,710","1,030","1,222","2,173","1,265","1,069","1,240",714,970,"1,260",988,"1,200","1,253","2,637",234,549,"2,892","1,014"
2021년09월_계_50~59세,"32,701","1,602","1,922","2,992","2,052","1,826","2,010","1,255","1,596","2,174","1,595","1,409","2,074","3,441",350,"1,012","3,850","1,541"
2021년09월_계_60~69세,"32,069","1,573","2,007","3,077","1,896","1,949","1,981","1,285","1,575","2,070","1,566","1,460","2,018","3,092",363,"1,038","3,631","1,488"
2021년09월_계_70~79세,"17,187",862,"1,200","1,601","1,112","1,334","1,058",845,844,"1,138",822,707,"1,038","1,471",183,467,"1,582",923
2021년09월_계_80~89세,"7,232",376,566,662,473,611,437,358,374,439,400,270,417,557,76,196,609,411
2021년09월_계_90~99세,749,32,44,81,42,57,39,27,37,39,35,22,49,84,3,25,89,44
2021년09월_계_100세 이상,35,4,0,1,0,3,0,0,7,2,2,0,1,3,5,0,6,1
2021년09월_남_총인구수,"83,187","4,189","4,796","8,088","4,976","4,649","4,808","3,126","3,803","5,404","3,977","3,918","5,012","9,002",935,"2,469","10,151","3,884"
2021년09월_남_연령구간인구수,"83,187","4,189","4,796","8,088","4,976","4,649","4,808","3,126","3,803","5,404","3,977","3,918","5,012","9,002",935,"2,469","10,151","3,884"
2021년09월_남_0~9세,"3,613",160,155,341,144,149,174,94,119,189,143,294,177,613,36,53,656,116
2021년09월_남_10~19세,"5,357",268,260,605,336,258,294,151,250,255,236,283,308,628,56,142,852,175
2021년09월_남_20~29세,"11,196",682,637,"1,255",658,548,639,352,541,674,578,457,652,"1,186",128,313,"1,378",518
2021년09월_남_30~39세,"9,592",527,540,"1,090",498,451,541,340,382,579,434,493,578,"1,193",99,271,"1,185",391
2021년09월_남_40~49세,"11,693",557,683,"1,082",713,622,675,396,487,764,550,610,691,"1,367",133,323,"1,456",584
2021년09월_남_50~59세,"16,514",737,959,"1,370","1,085",955,981,693,816,"1,222",828,685,"1,036","1,689",180,552,"1,910",816
2021년09월_남_60~69세,"15,042",720,893,"1,367",912,927,887,599,709,"1,051",738,684,970,"1,453",176,531,"1,723",702
2021년09월_남_70~79세,"7,521",397,473,720,462,535,465,362,346,512,335,306,456,676,89,212,757,418
2021년09월_남_80~89세,"2,528",133,188,238,164,196,145,133,142,155,131,103,138,185,36,66,218,157
2021년09월_남_90~99세,126,8,8,19,4,8,7,6,9,3,4,3,6,12,1,6,15,7
2021년09월_남_100세 이상,5,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0
2021년09월_여_총인구수,"83,219","4,298","5,137","8,636","4,764","4,718","5,011","3,047","3,907","4,772","3,924","4,092","4,954","9,127",834,"2,189","10,024","3,785"
2021년09월_여_연령구간인구수,"83,219","4,298","5,137","8,636","4,764","4,718","5,011","3,047","3,907","4,772","3,924","4,092","4,954","9,127",834,"2,189","10,024","3,785"
2021년09월_여_0~9세,"3,388",133,148,335,140,124,177,80,99,173,152,282,160,590,31,58,564,142
2021년09월_여_10~19세,"4,956",210,230,563,295,213,276,152,216,264,221,301,246,616,42,138,775,198
2021년09월_여_20~29세,"9,301",621,604,"1,092",462,441,562,286,417,491,432,406,585,"1,013",83,233,"1,159",414
2021년09월_여_30~39세,"7,320",407,398,856,367,334,391,234,283,429,297,426,410,"1,005",80,163,947,293
2021년09월_여_40~49세,"10,017",473,539,"1,091",552,447,565,318,483,496,438,590,562,"1,270",101,226,"1,436",430
2021년09월_여_50~59세,"16,187",865,963,"1,622",967,871,"1,029",562,780,952,767,724,"1,038","1,752",170,460,"1,940",725
2021년09월_여_60~69세,"17,027",853,"1,114","1,710",984,"1,022","1,094",686,866,"1,019",828,776,"1,048","1,639",187,507,"1,908",786
2021년09월_여_70~79세,"9,666",465,727,881,650,799,593,483,498,626,487,401,582,795,94,255,825,505
2021년09월_여_80~89세,"4,704",243,378,424,309,415,292,225,232,284,269,167,279,372,40,130,391,254
2021년09월_여_90~99세,623,24,36,62,38,49,32,21,28,36,31,19,43,72,2,19,74,37
2021년09월_여_100세 이상,30,4,0,0,0,3,0,0,5,2,2,0,1,3,4,0,5,1
