,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동,인천광역시 서구 아라동
2021년06월_계_총인구수,"541,304","45,551","41,021","31,537","48,905","31,170","28,177","6,553","9,773","22,503","13,213","13,971","31,847","12,195","20,200","16,534","10,658","32,981","22,692","24,510","28,156","25,458","23,074",625
2021년06월_계_연령구간인구수,"541,304","45,551","41,021","31,537","48,905","31,170","28,177","6,553","9,773","22,503","13,213","13,971","31,847","12,195","20,200","16,534","10,658","32,981","22,692","24,510","28,156","25,458","23,074",625
2021년06월_계_0~9세,"48,198","4,408","2,279","3,790","6,502","4,714","3,236",332,433,"1,151",633,574,"2,684",611,"1,338",659,755,"2,589","1,813","2,426","2,831","2,297","2,049",94
2021년06월_계_10~19세,"56,257","4,422","3,443","4,411","6,471","3,967","2,132",382,744,"1,567",908,"1,198","2,965",857,"1,870","1,211",764,"3,413","2,782","3,545","3,274","2,675","3,195",61
2021년06월_계_20~29세,"71,730","6,382","6,448","3,966","5,656","3,393","3,416","1,044","1,545","3,141","1,704","2,099","4,170","1,729","2,852","2,337","1,277","4,698","2,828","2,758","3,805","3,238","3,195",49
2021년06월_계_30~39세,"77,915","8,072","4,914","5,613","8,016","5,597","4,761",903,"1,205","2,934","1,504","1,545","4,357","1,545","2,551","1,810","1,619","4,564","2,477","3,188","4,405","3,371","2,785",179
2021년06월_계_40~49세,"95,034","8,498","6,131","6,518","10,126","6,432","4,611",807,"1,299","3,172","1,866","2,014","4,967","1,814","2,957","2,256","1,553","5,804","4,381","5,514","5,418","4,454","4,330",112
2021년06월_계_50~59세,"93,446","6,994","8,546","4,212","6,747","4,026","4,583","1,553","2,208","4,610","2,693","2,895","5,888","2,482","3,916","3,331","1,921","5,873","4,060","3,767","4,628","4,511","3,927",75
2021년06월_계_60~69세,"61,670","4,251","5,605","2,004","3,691","2,171","3,480","1,073","1,552","3,715","2,375","2,237","4,519","1,907","3,028","2,960","1,759","3,701","2,317","1,845","2,345","2,987","2,106",42
2021년06월_계_70~79세,"24,637","1,754","2,265",672,"1,150",601,"1,329",283,500,"1,525","1,057",942,"1,623",850,"1,081","1,280",654,"1,573","1,328",983,936,"1,259",986,6
2021년06월_계_80~89세,"10,619",656,"1,180",310,461,220,525,133,252,588,402,409,569,361,510,594,300,670,638,412,445,551,429,4
2021년06월_계_90~99세,"1,721",110,197,40,80,48,100,37,32,96,69,56,101,36,94,93,54,90,65,69,68,111,72,3
2021년06월_계_100세 이상,77,4,13,1,5,1,4,6,3,4,2,2,4,3,3,3,2,6,3,3,1,4,0,0
2021년06월_남_총인구수,"273,411","23,166","20,907","15,723","24,287","15,446","14,154","3,443","4,892","11,592","6,893","7,068","15,898","6,489","9,850","8,411","5,510","17,039","11,538","12,408","14,011","12,987","11,367",332
2021년06월_남_연령구간인구수,"273,411","23,166","20,907","15,723","24,287","15,446","14,154","3,443","4,892","11,592","6,893","7,068","15,898","6,489","9,850","8,411","5,510","17,039","11,538","12,408","14,011","12,987","11,367",332
2021년06월_남_0~9세,"24,916","2,289","1,147","2,010","3,385","2,404","1,721",163,207,592,317,329,"1,359",321,696,340,374,"1,349",938,"1,266","1,440","1,159","1,058",52
2021년06월_남_10~19세,"28,810","2,315","1,776","2,205","3,325","2,010","1,114",194,386,823,492,582,"1,461",438,944,631,418,"1,732","1,435","1,830","1,682","1,392","1,593",32
2021년06월_남_20~29세,"37,237","3,288","3,495","1,927","2,840","1,697","1,720",594,805,"1,707",967,"1,130","2,161",931,"1,498","1,227",647,"2,484","1,530","1,429","1,879","1,657","1,594",30
