,충청남도 태안군,충청남도 태안군 태안읍,충청남도 태안군 안면읍,충청남도 태안군 고남면,충청남도 태안군 남면,충청남도 태안군 근흥면,충청남도 태안군 소원면,충청남도 태안군 원북면,충청남도 태안군 이원면
2021년01월_계_총인구수,"62,050","29,485","8,560","2,379","4,286","5,334","5,332","4,400","2,274"
2021년01월_계_연령구간인구수,"62,050","29,485","8,560","2,379","4,286","5,334","5,332","4,400","2,274"
2021년01월_계_0~9세,"3,074","2,193",316,70,117,112,100,121,45
2021년01월_계_10~19세,"4,389","2,922",529,134,161,196,184,164,99
2021년01월_계_20~29세,"4,972","2,949",553,93,419,274,255,308,121
2021년01월_계_30~39세,"5,068","3,224",563,121,237,306,246,258,113
2021년01월_계_40~49세,"7,639","4,462",989,248,389,467,504,397,183
2021년01월_계_50~59세,"10,833","4,977","1,532",436,749,994,982,786,377
2021년01월_계_60~69세,"12,071","4,331","1,910",546,"1,010","1,381","1,353","1,002",538
2021년01월_계_70~79세,"8,870","2,902","1,454",452,737,"1,018","1,045",804,458
2021년01월_계_80~89세,"4,487","1,356",601,253,405,505,589,482,296
2021년01월_계_90~99세,621,164,102,26,60,78,73,76,42
2021년01월_계_100세 이상,26,5,11,0,2,3,1,2,2
2021년01월_남_총인구수,"31,274","14,884","4,245","1,143","2,214","2,742","2,639","2,251","1,156"
2021년01월_남_연령구간인구수,"31,274","14,884","4,245","1,143","2,214","2,742","2,639","2,251","1,156"
2021년01월_남_0~9세,"1,516","1,085",162,25,54,52,51,62,25
2021년01월_남_10~19세,"2,277","1,516",276,61,87,111,94,82,50
2021년01월_남_20~29세,"2,945","1,708",325,57,282,168,141,195,69
2021년01월_남_30~39세,"2,821","1,739",302,64,140,201,142,164,69
2021년01월_남_40~49세,"4,297","2,351",555,149,251,301,327,236,127
2021년01월_남_50~59세,"5,694","2,543",814,238,386,544,525,426,218
2021년01월_남_60~69세,"5,815","2,076",889,259,505,669,657,498,262
2021년01월_남_70~79세,"4,194","1,372",683,203,348,483,482,398,225
2021년01월_남_80~89세,"1,583",452,218,83,145,197,208,174,106
2021년01월_남_90~99세,127,42,19,4,14,16,12,15,5
2021년01월_남_100세 이상,5,0,2,0,2,0,0,1,0
2021년01월_여_총인구수,"30,776","14,601","4,315","1,236","2,072","2,592","2,693","2,149","1,118"
2021년01월_여_연령구간인구수,"30,776","14,601","4,315","1,236","2,072","2,592","2,693","2,149","1,118"
2021년01월_여_0~9세,"1,558","1,108",154,45,63,60,49,59,20
2021년01월_여_10~19세,"2,112","1,406",253,73,74,85,90,82,49
2021년01월_여_20~29세,"2,027","1,241",228,36,137,106,114,113,52
2021년01월_여_30~39세,"2,247","1,485",261,57,97,105,104,94,44
2021년01월_여_40~49세,"3,342","2,111",434,99,138,166,177,161,56
2021년01월_여_50~59세,"5,139","2,434",718,198,363,450,457,360,159
2021년01월_여_60~69세,"6,256","2,255","1,021",287,505,712,696,504,276
2021년01월_여_70~79세,"4,676","1,530",771,249,389,535,563,406,233
2021년01월_여_80~89세,"2,904",904,383,170,260,308,381,308,190
2021년01월_여_90~99세,494,122,83,22,46,62,61,61,37
2021년01월_여_100세 이상,21,5,9,0,0,3,1,1,2
