,경기도 하남시,경기도 하남시 천현동,경기도 하남시 신장1동,경기도 하남시 신장2동,경기도 하남시 덕풍1동,경기도 하남시 덕풍2동,경기도 하남시 덕풍3동,경기도 하남시 풍산동,경기도 하남시 감북동,경기도 하남시 감일동,경기도 하남시 위례동,경기도 하남시 춘궁동,경기도 하남시 초이동,경기도 하남시 미사1동,경기도 하남시 미사2동
2021년10월_계_총인구수,"314,866","7,482","6,567","46,847","15,709","19,010","25,405","29,912","2,767","26,287","26,753","3,886","3,554","53,182","47,505"
2021년10월_계_연령구간인구수,"314,866","7,482","6,567","46,847","15,709","19,010","25,405","29,912","2,767","26,287","26,753","3,886","3,554","53,182","47,505"
2021년10월_계_0~9세,"32,040",317,280,"4,019",931,"1,053","1,961","4,275",83,"3,879","3,723",127,151,"4,981","6,260"
2021년10월_계_10~19세,"27,753",393,382,"3,901","1,020","1,069","2,459","3,065",139,"2,433","2,775",190,175,"4,363","5,389"
2021년10월_계_20~29세,"38,234",885,941,"5,159","2,069","2,398","3,126","3,207",338,"2,936","2,908",469,456,"9,353","3,989"
2021년10월_계_30~39세,"52,678","1,001","1,051","6,978","2,222","2,920","3,327","5,161",369,"5,062","4,608",417,465,"11,943","7,154"
2021년10월_계_40~49세,"56,079",948,893,"7,498","2,122","2,493","4,322","6,115",363,"4,684","5,244",496,434,"9,957","10,510"
2021년10월_계_50~59세,"45,056","1,422","1,179","7,122","2,771","3,318","4,143","3,877",569,"3,386","3,871",770,694,"5,941","5,993"
2021년10월_계_60~69세,"38,439","1,578","1,093","7,194","2,796","3,506","3,569","2,691",535,"2,426","2,522",791,718,"4,065","4,955"
2021년10월_계_70~79세,"17,109",603,526,"3,522","1,244","1,555","1,727","1,018",235,"1,016",784,384,291,"1,858","2,346"
2021년10월_계_80~89세,"6,329",258,190,"1,264",467,604,654,393,115,385,266,209,160,601,763
2021년10월_계_90~99세,"1,093",70,30,181,63,90,115,101,20,75,51,30,9,118,140
2021년10월_계_100세 이상,56,7,2,9,4,4,2,9,1,5,1,3,1,2,6
2021년10월_남_총인구수,"157,644","4,126","3,388","23,136","7,990","9,575","12,646","14,781","1,538","13,194","13,117","2,201","2,019","26,542","23,391"
2021년10월_남_연령구간인구수,"157,644","4,126","3,388","23,136","7,990","9,575","12,646","14,781","1,538","13,194","13,117","2,201","2,019","26,542","23,391"
2021년10월_남_0~9세,"16,461",156,151,"2,070",492,536,"1,064","2,125",48,"2,021","1,869",62,71,"2,588","3,208"
2021년10월_남_10~19세,"14,004",204,194,"2,007",540,550,"1,234","1,530",74,"1,235","1,383",104,90,"2,135","2,724"
2021년10월_남_20~29세,"19,191",526,507,"2,635","1,148","1,303","1,651","1,608",201,"1,474","1,432",263,267,"4,161","2,015"
2021년10월_남_30~39세,"26,602",585,617,"3,592","1,210","1,607","1,714","2,397",225,"2,459","2,093",253,286,"6,293","3,271"
2021년10월_남_40~49세,"29,173",589,492,"3,803","1,114","1,318","2,186","3,174",208,"2,422","2,646",304,270,"5,235","5,412"
2021년10월_남_50~59세,"22,565",814,589,"3,381","1,335","1,624","2,029","1,928",321,"1,712","1,878",488,404,"3,057","3,005"
2021년10월_남_60~69세,"18,605",840,536,"3,388","1,324","1,676","1,667","1,317",296,"1,202","1,298",443,414,"1,894","2,310"
2021년10월_남_70~79세,"8,496",301,234,"1,715",620,749,824,541,116,527,415,188,152,946,"1,168"
2021년10월_남_80~89세,"2,291",94,63,496,191,199,253,136,40,126,89,91,62,206,245
2021년10월_남_90~99세,244,14,5,46,15,11,24,23,9,16,14,4,3,27,33
2021년10월_남_100세 이상,12,3,0,3,1,2,0,2,0,0,0,1,0,0,0
2021년10월_여_총인구수,"157,222","3,356","3,179","23,711","7,719","9,435","12,759","15,131","1,229","13,093","13,636","1,685","1,535","26,640","24,114"
2021년10월_여_연령구간인구수,"157,222","3,356","3,179","23,711","7,719","9,435","12,759","15,131","1,229","13,093","13,636","1,685","1,535","26,640","24,114"
2021년10월_여_0~9세,"15,579",161,129,"1,949",439,517,897,"2,150",35,"1,858","1,854",65,80,"2,393","3,052"
2021년10월_여_10~19세,"13,749",189,188,"1,894",480,519,"1,225","1,535",65,"1,198","1,392",86,85,"2,228","2,665"
2021년10월_여_20~29세,"19,043",359,434,"2,524",921,"1,095","1,475","1,599",137,"1,462","1,476",206,189,"5,192","1,974"
2021년10월_여_30~39세,"26,076",416,434,"3,386","1,012","1,313","1,613","2,764",144,"2,603","2,515",164,179,"5,650","3,883"
2021년10월_여_40~49세,"26,906",359,401,"3,695","1,008","1,175","2,136","2,941",155,"2,262","2,598",192,164,"4,722","5,098"
2021년10월_여_50~59세,"22,491",608,590,"3,741","1,436","1,694","2,114","1,949",248,"1,674","1,993",282,290,"2,884","2,988"
2021년10월_여_60~69세,"19,834",738,557,"3,806","1,472","1,830","1,902","1,374",239,"1,224","1,224",348,304,"2,171","2,645"
2021년10월_여_70~79세,"8,613",302,292,"1,807",624,806,903,477,119,489,369,196,139,912,"1,178"
2021년10월_여_80~89세,"4,038",164,127,768,276,405,401,257,75,259,177,118,98,395,518
2021년10월_여_90~99세,849,56,25,135,48,79,91,78,11,59,37,26,6,91,107
2021년10월_여_100세 이상,44,4,2,6,3,2,2,7,1,5,1,2,1,2,6
