,전라남도,전라남도 목포시,전라남도 여수시,전라남도 순천시,전라남도 나주시,전라남도 광양시,전라남도 담양군,전라남도 곡성군,전라남도 구례군,전라남도 고흥군,전라남도 보성군,전라남도 화순군,전라남도 장흥군,전라남도 강진군,전라남도 해남군,전라남도 영암군,전라남도 무안군,전라남도 함평군,전라남도 영광군,전라남도 장성군,전라남도 완도군,전라남도 진도군,전라남도 신안군
2020년04월_계_총인구수,"1,857,083","228,916","281,604","281,349","114,380","151,751","46,122","28,455","25,895","64,407","41,135","62,510","38,225","35,054","69,649","54,229","81,412","32,519","53,539","45,325","50,351","30,511","39,745"
2020년04월_계_연령구간인구수,"1,857,083","228,916","281,604","281,349","114,380","151,751","46,122","28,455","25,895","64,407","41,135","62,510","38,225","35,054","69,649","54,229","81,412","32,519","53,539","45,325","50,351","30,511","39,745"
2020년04월_계_0~9세,"136,631","19,790","21,728","24,009","10,197","13,977","2,344","1,162","1,197","2,652","1,880","3,596","2,065","1,885","4,242","3,856","7,138","1,459","3,777","2,944","3,278","1,780","1,675"
2020년04월_계_10~19세,"171,145","25,442","27,244","30,937","9,319","16,263","3,041","2,074","1,926","4,047","2,688","5,880","2,933","2,597","5,446","4,609","8,796","2,122","4,303","3,384","3,738","2,260","2,096"
2020년04월_계_20~29세,"201,748","27,666","33,950","37,230","12,211","20,379","4,931","2,443","2,051","4,349","3,115","6,780","3,180","2,899","5,648","5,001","8,236","2,623","5,097","4,664","3,817","2,444","3,034"
2020년04월_계_30~39세,"191,361","27,727","31,919","33,433","14,712","19,033","3,731","1,770","1,777","3,843","2,671","4,856","2,922","2,633","5,353","5,117","9,305","2,199","4,977","3,862","4,270","2,313","2,938"
2020년04월_계_40~49세,"263,533","38,256","42,563","43,946","16,244","24,183","5,368","3,196","3,066","6,512","4,360","8,545","4,282","3,868","8,272","7,650","12,724","3,634","6,755","5,742","6,302","3,589","4,476"
2020년04월_계_50~59세,"316,359","36,885","48,863","49,278","17,322","28,799","8,178","4,992","4,695","10,522","6,854","11,241","6,479","5,826","11,906","9,420","12,428","5,664","8,777","7,609","8,312","5,083","7,226"
2020년04월_계_60~69세,"261,746","28,023","39,423","32,348","15,441","15,867","7,895","4,848","4,484","12,421","7,471","8,952","6,399","6,061","12,013","7,763","10,344","5,744","8,265","7,020","8,320","5,136","7,508"
2020년04월_계_70~79세,"191,003","17,299","23,847","18,641","11,456","7,909","6,268","4,304","3,883","11,422","6,686","7,449","5,516","5,258","10,042","6,324","7,745","5,217","7,125","5,934","7,475","4,762","6,441"
2020년04월_계_80~89세,"107,298","6,823","10,404","9,936","6,448","4,596","3,748","3,162","2,450","7,389","4,684","4,545","3,831","3,522","5,895","3,941","4,091","3,354","3,899","3,646","4,285","2,779","3,870"
2020년04월_계_90~99세,"15,428",928,"1,561","1,531",969,722,584,493,346,"1,205",687,631,592,474,791,514,572,477,529,478,531,349,464
2020년04월_계_100세 이상,831,77,102,60,61,23,34,11,20,45,39,35,26,31,41,34,33,26,35,42,23,16,17
2020년04월_남_총인구수,"932,970","114,140","143,493","140,348","57,620","79,031","23,501","13,892","12,587","31,244","19,944","30,920","18,568","16,886","34,381","27,860","40,860","16,239","26,693","23,342","25,319","14,998","21,104"
2020년04월_남_연령구간인구수,"932,970","114,140","143,493","140,348","57,620","79,031","23,501","13,892","12,587","31,244","19,944","30,920","18,568","16,886","34,381","27,860","40,860","16,239","26,693","23,342","25,319","14,998","21,104"
2020년04월_남_0~9세,"69,691","10,183","11,050","12,336","5,211","7,107","1,179",586,596,"1,324",978,"1,832","1,062",954,"2,140","1,940","3,646",756,"1,915","1,476","1,689",861,870
2020년04월_남_10~19세,"89,026","13,058","14,220","16,200","4,813","8,421","1,589","1,085","1,025","2,144","1,369","3,066","1,540","1,328","2,836","2,469","4,510","1,134","2,238","1,803","1,923","1,168","1,087"
2020년04월_남_20~29세,"112,233","14,920","19,124","20,157","6,445","11,842","2,938","1,327","1,081","2,521","1,749","3,690","1,785","1,608","3,149","2,824","4,438","1,510","2,841","2,832","2,248","1,404","1,800"
2020년04월_남_30~39세,"100,833","14,261","17,176","17,078","7,658","10,186","1,972",958,958,"2,092","1,436","2,472","1,547","1,337","2,781","2,836","4,776","1,187","2,592","2,059","2,348","1,272","1,851"
2020년04월_남_40~49세,"141,216","19,682","22,407","21,660","9,171","12,254","3,137","1,796","1,690","3,812","2,467","4,454","2,371","2,150","4,708","4,539","6,787","2,163","3,870","3,326","3,701","2,074","2,997"
2020년04월_남_50~59세,"169,080","18,500","25,421","24,891","9,455","15,813","4,531","2,757","2,583","5,776","3,818","6,153","3,499","3,119","6,549","5,372","6,809","3,266","4,782","4,327","4,539","2,770","4,350"
2020년04월_남_60~69세,"131,307","13,401","19,571","16,242","7,826","8,362","4,057","2,506","2,181","6,126","3,715","4,639","3,174","3,008","5,937","3,912","5,156","2,946","4,115","3,637","4,125","2,591","4,080"
2020년04월_남_70~79세,"82,819","7,658","10,794","8,278","4,936","3,475","2,769","1,789","1,585","4,887","2,805","3,062","2,309","2,218","4,318","2,632","3,400","2,156","3,037","2,587","3,275","1,994","2,855"
2020년04월_남_80~89세,"33,568","2,275","3,436","3,200","1,883","1,430","1,199",992,808,"2,298","1,460","1,401","1,165","1,069","1,815","1,221","1,239","1,005","1,203","1,177","1,374",798,"1,120"
2020년04월_남_90~99세,"3,079",186,279,298,211,135,127,94,77,257,142,149,112,90,147,108,95,113,96,114,94,66,89
2020년04월_남_100세 이상,118,16,15,8,11,6,3,2,3,7,5,2,4,5,1,7,4,3,4,4,3,0,5
2020년04월_여_총인구수,"924,113","114,776","138,111","141,001","56,760","72,720","22,621","14,563","13,308","33,163","21,191","31,590","19,657","18,168","35,268","26,369","40,552","16,280","26,846","21,983","25,032","15,513","18,641"
2020년04월_여_연령구간인구수,"924,113","114,776","138,111","141,001","56,760","72,720","22,621","14,563","13,308","33,163","21,191","31,590","19,657","18,168","35,268","26,369","40,552","16,280","26,846","21,983","25,032","15,513","18,641"
2020년04월_여_0~9세,"66,940","9,607","10,678","11,673","4,986","6,870","1,165",576,601,"1,328",902,"1,764","1,003",931,"2,102","1,916","3,492",703,"1,862","1,468","1,589",919,805
2020년04월_여_10~19세,"82,119","12,384","13,024","14,737","4,506","7,842","1,452",989,901,"1,903","1,319","2,814","1,393","1,269","2,610","2,140","4,286",988,"2,065","1,581","1,815","1,092","1,009"
2020년04월_여_20~29세,"89,515","12,746","14,826","17,073","5,766","8,537","1,993","1,116",970,"1,828","1,366","3,090","1,395","1,291","2,499","2,177","3,798","1,113","2,256","1,832","1,569","1,040","1,234"
2020년04월_여_30~39세,"90,528","13,466","14,743","16,355","7,054","8,847","1,759",812,819,"1,751","1,235","2,384","1,375","1,296","2,572","2,281","4,529","1,012","2,385","1,803","1,922","1,041","1,087"
2020년04월_여_40~49세,"122,317","18,574","20,156","22,286","7,073","11,929","2,231","1,400","1,376","2,700","1,893","4,091","1,911","1,718","3,564","3,111","5,937","1,471","2,885","2,416","2,601","1,515","1,479"
2020년04월_여_50~59세,"147,279","18,385","23,442","24,387","7,867","12,986","3,647","2,235","2,112","4,746","3,036","5,088","2,980","2,707","5,357","4,048","5,619","2,398","3,995","3,282","3,773","2,313","2,876"
2020년04월_여_60~69세,"130,439","14,622","19,852","16,106","7,615","7,505","3,838","2,342","2,303","6,295","3,756","4,313","3,225","3,053","6,076","3,851","5,188","2,798","4,150","3,383","4,195","2,545","3,428"
2020년04월_여_70~79세,"108,184","9,641","13,053","10,363","6,520","4,434","3,499","2,515","2,298","6,535","3,881","4,387","3,207","3,040","5,724","3,692","4,345","3,061","4,088","3,347","4,200","2,768","3,586"
2020년04월_여_80~89세,"73,730","4,548","6,968","6,736","4,565","3,166","2,549","2,170","1,642","5,091","3,224","3,144","2,666","2,453","4,080","2,720","2,852","2,349","2,696","2,469","2,911","1,981","2,750"
2020년04월_여_90~99세,"12,349",742,"1,282","1,233",758,587,457,399,269,948,545,482,480,384,644,406,477,364,433,364,437,283,375
2020년04월_여_100세 이상,713,61,87,52,50,17,31,9,17,38,34,33,22,26,40,27,29,23,31,38,20,16,12
