,인천광역시 미추홀구,인천광역시 미추홀구 숭의2동,인천광역시 미추홀구 숭의1.3동,인천광역시 미추홀구 숭의4동,인천광역시 미추홀구 용현1.4동,인천광역시 미추홀구 용현2동,인천광역시 미추홀구 용현3동,인천광역시 미추홀구 용현5동,인천광역시 미추홀구 학익1동,인천광역시 미추홀구 학익2동,인천광역시 미추홀구 도화1동,인천광역시 미추홀구 도화2.3동,인천광역시 미추홀구 주안1동,인천광역시 미추홀구 주안2동,인천광역시 미추홀구 주안3동,인천광역시 미추홀구 주안4동,인천광역시 미추홀구 주안5동,인천광역시 미추홀구 주안6동,인천광역시 미추홀구 주안7동,인천광역시 미추홀구 주안8동,인천광역시 미추홀구 관교동,인천광역시 미추홀구 문학동
2021년08월_계_총인구수,"405,811","14,665","13,988","16,484","17,301","17,887","7,439","47,736","32,105","18,403","23,144","32,764","20,538","16,772","8,800","13,592","19,179","22,030","12,581","21,117","15,232","14,054"
2021년08월_계_연령구간인구수,"405,811","14,665","13,988","16,484","17,301","17,887","7,439","47,736","32,105","18,403","23,144","32,764","20,538","16,772","8,800","13,592","19,179","22,030","12,581","21,117","15,232","14,054"
2021년08월_계_0~9세,"26,496","1,072","1,085","1,036",613,"1,279",262,"3,911","2,230","1,042","1,559","3,171","1,203",908,418,531,935,"1,871",526,"1,159",940,745
2021년08월_계_10~19세,"31,593",921,824,"1,277",950,"1,311",335,"4,894","3,543","1,655","1,523","2,564",879,"1,094",649,840,"1,262","1,812",904,"1,858","1,323","1,175"
2021년08월_계_20~29세,"56,835","1,921","2,082","2,109","3,976","2,567",920,"6,816","4,201","2,301","3,220","3,903","4,220","2,104","1,184","1,649","2,689","2,797","1,479","2,807","1,989","1,901"
2021년08월_계_30~39세,"55,551","2,154","2,403","2,170","1,805","2,789",852,"6,277","3,366","2,071","3,518","5,707","4,228","2,092",956,"1,483","2,870","3,366","1,287","2,459","1,839","1,859"
2021년08월_계_40~49세,"63,382","2,175","2,051","2,481","2,044","2,621",941,"8,317","5,541","2,823","3,553","5,373","3,174","2,374","1,324","1,805","2,855","3,803","1,843","3,219","2,243","2,822"
2021년08월_계_50~59세,"66,988","2,387","2,189","2,682","2,611","2,735","1,281","7,813","5,752","3,290","3,830","4,758","3,113","2,843","1,481","2,288","3,308","3,243","2,261","3,873","2,643","2,607"
2021년08월_계_60~69세,"58,205","2,130","1,814","2,522","2,660","2,418","1,438","5,637","4,328","2,798","3,232","4,295","2,314","2,889","1,473","2,568","2,926","2,943","2,313","3,274","2,499","1,734"
2021년08월_계_70~79세,"31,205","1,241",954,"1,469","1,776","1,487",904,"2,717","2,131","1,591","1,823","2,016",929,"1,647",898,"1,645","1,532","1,450","1,310","1,677","1,186",822
