,경상남도 남해군,경상남도 남해군 남해읍,경상남도 남해군 이동면,경상남도 남해군 상주면,경상남도 남해군 삼동면,경상남도 남해군 미조면,경상남도 남해군 남면,경상남도 남해군 서면,경상남도 남해군 고현면,경상남도 남해군 설천면,경상남도 남해군 창선면
2021년05월_계_총인구수,"42,690","13,172","3,704","1,655","3,888","2,287","3,489","2,589","3,521","2,849","5,536"
2021년05월_계_연령구간인구수,"42,690","13,172","3,704","1,655","3,888","2,287","3,489","2,589","3,521","2,849","5,536"
2021년05월_계_0~9세,"1,551",841,69,46,122,77,57,51,110,50,128
2021년05월_계_10~19세,"2,921","1,407",243,105,178,167,191,84,175,113,258
2021년05월_계_20~29세,"3,195","1,539",209,99,197,174,193,120,205,156,303
2021년05월_계_30~39세,"2,399","1,107",145,82,188,122,136,103,164,106,246
2021년05월_계_40~49세,"4,506","1,912",333,139,375,241,311,208,313,192,482
2021년05월_계_50~59세,"7,154","2,211",614,311,652,456,573,402,548,465,922
2021년05월_계_60~69세,"8,471","2,013",786,337,861,502,703,561,712,680,"1,316"
2021년05월_계_70~79세,"6,654","1,224",684,268,705,338,711,497,642,533,"1,052"
2021년05월_계_80~89세,"4,932",784,530,228,509,172,521,480,530,454,724
2021년05월_계_90~99세,893,133,90,40,100,38,87,81,121,99,104
2021년05월_계_100세 이상,14,1,1,0,1,0,6,2,1,1,1
2021년05월_남_총인구수,"20,649","6,453","1,780",814,"1,888","1,189","1,666","1,240","1,644","1,347","2,628"
2021년05월_남_연령구간인구수,"20,649","6,453","1,780",814,"1,888","1,189","1,666","1,240","1,644","1,347","2,628"
2021년05월_남_0~9세,809,419,35,27,71,37,31,30,61,24,74
2021년05월_남_10~19세,"1,596",742,153,53,102,88,102,52,105,57,142
2021년05월_남_20~29세,"1,977",929,128,66,123,126,122,89,108,99,187
2021년05월_남_30~39세,"1,244",543,76,40,100,66,80,58,88,59,134
2021년05월_남_40~49세,"2,416",915,182,77,215,134,183,129,182,107,292
2021년05월_남_50~59세,"3,864","1,135",353,181,364,250,318,238,291,248,486
2021년05월_남_60~69세,"4,142",956,377,171,424,259,339,271,338,349,658
2021년05월_남_70~79세,"2,941",544,291,116,320,164,327,215,286,241,437
2021년05월_남_80~89세,"1,508",254,164,78,153,60,144,149,157,146,203
2021년05월_남_90~99세,151,16,20,5,16,5,20,9,28,17,15
2021년05월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0
2021년05월_여_총인구수,"22,041","6,719","1,924",841,"2,000","1,098","1,823","1,349","1,877","1,502","2,908"
2021년05월_여_연령구간인구수,"22,041","6,719","1,924",841,"2,000","1,098","1,823","1,349","1,877","1,502","2,908"
2021년05월_여_0~9세,742,422,34,19,51,40,26,21,49,26,54
2021년05월_여_10~19세,"1,325",665,90,52,76,79,89,32,70,56,116
2021년05월_여_20~29세,"1,218",610,81,33,74,48,71,31,97,57,116
2021년05월_여_30~39세,"1,155",564,69,42,88,56,56,45,76,47,112
2021년05월_여_40~49세,"2,090",997,151,62,160,107,128,79,131,85,190
2021년05월_여_50~59세,"3,290","1,076",261,130,288,206,255,164,257,217,436
2021년05월_여_60~69세,"4,329","1,057",409,166,437,243,364,290,374,331,658
2021년05월_여_70~79세,"3,713",680,393,152,385,174,384,282,356,292,615
2021년05월_여_80~89세,"3,424",530,366,150,356,112,377,331,373,308,521
2021년05월_여_90~99세,742,117,70,35,84,33,67,72,93,82,89
2021년05월_여_100세 이상,13,1,0,0,1,0,6,2,1,1,1
