,서울특별시,서울특별시 종로구,서울특별시 중구,서울특별시 용산구,서울특별시 성동구,서울특별시 광진구,서울특별시 동대문구,서울특별시 중랑구,서울특별시 성북구,서울특별시 강북구,서울특별시 도봉구,서울특별시 노원구,서울특별시 은평구,서울특별시 서대문구,서울특별시 마포구,서울특별시 양천구,서울특별시 강서구,서울특별시 구로구,서울특별시 금천구,서울특별시 영등포구,서울특별시 동작구,서울특별시 관악구,서울특별시 서초구,서울특별시 강남구,서울특별시 송파구,서울특별시 강동구
2021년12월_계_총인구수,"9,509,458","144,683","122,499","222,953","285,990","339,996","337,400","387,350","430,528","299,182","317,366","510,956","473,307","304,819","368,905","447,302","574,315","396,754","230,811","376,837","385,483","485,699","412,279","533,042","658,338","462,664"
2021년12월_계_연령구간인구수,"9,509,458","144,683","122,499","222,953","285,990","339,996","337,400","387,350","430,528","299,182","317,366","510,956","473,307","304,819","368,905","447,302","574,315","396,754","230,811","376,837","385,483","485,699","412,279","533,042","658,338","462,664"
2021년12월_계_0~9세,"583,683","6,984","6,299","12,653","19,222","17,744","19,590","21,285","27,326","14,148","17,044","30,658","27,655","18,881","23,661","29,534","36,646","25,967","11,676","24,756","22,992","19,843","31,699","34,726","48,373","34,321"
2021년12월_계_10~19세,"756,136","10,381","6,474","14,692","18,903","24,774","22,767","25,432","35,986","20,796","24,311","50,312","37,208","22,493","27,705","49,472","43,517","29,191","13,955","23,640","26,967","27,057","44,477","59,141","57,635","38,850"
2021년12월_계_20~29세,"1,422,277","22,802","18,309","32,778","43,463","61,616","56,271","54,128","65,580","41,001","41,496","69,956","65,282","48,896","61,353","57,388","85,652","53,703","37,202","58,693","64,882","108,154","52,009","70,774","90,422","60,467"
2021년12월_계_30~39세,"1,439,279","19,470","19,886","37,719","46,815","54,715","49,023","57,025","58,415","37,120","39,246","63,138","67,027","44,235","63,597","55,657","97,831","61,071","36,570","69,403","60,826","85,556","59,545","77,662","106,630","71,097"
2021년12월_계_40~49세,"1,480,780","20,969","17,379","33,781","43,346","50,470","49,002","55,710","67,446","43,923","46,156","81,770","74,103","45,250","59,819","76,508","89,266","61,183","31,638","55,441","57,207","65,543","75,078","97,729","107,209","74,854"
2021년12월_계_50~59세,"1,507,194","24,957","20,043","36,122","46,154","53,801","52,243","67,518","69,280","51,700","56,006","87,029","77,244","48,640","54,962","76,170","84,408","62,294","39,348","56,262","58,073","67,025","62,579","81,956","101,614","71,766"
2021년12월_계_60~69세,"1,285,922","20,352","18,083","29,169","37,768","44,152","47,532","60,705","56,803","47,172","51,366","70,747","67,015","39,700","41,205","60,280","79,382","57,489","34,564","48,250","50,478","59,970","48,095","61,527","87,536","66,582"
2021년12월_계_70~79세,"695,800","11,637","10,221","15,960","20,111","21,933","27,290","31,176","32,464","29,304","27,483","37,296","38,521","23,288","23,378","29,215","39,405","31,972","17,974","26,867","29,582","36,640","26,738","34,567","41,260","31,518"
2021년12월_계_80~89세,"295,009","6,149","4,967","8,591","9,002","9,495","12,143","12,702","15,136","12,507","12,478","17,393","17,089","11,802","11,521","11,300","15,603","12,288","6,976","11,950","12,617","14,186","10,219","12,600","15,002","11,293"
2021년12월_계_90~99세,"41,735",950,812,"1,417","1,158","1,246","1,470","1,602","2,027","1,466","1,691","2,571","2,091","1,561","1,632","1,721","2,523","1,554",878,"1,522","1,775","1,664","1,747","2,254","2,567","1,836"
2021년12월_계_100세 이상,"1,643",32,26,71,48,50,69,67,65,45,89,86,72,73,72,57,82,42,30,53,84,61,93,106,90,80
2021년12월_남_총인구수,"4,618,040","70,183","59,630","107,210","139,380","164,058","166,646","191,112","207,578","145,705","154,487","246,053","226,458","145,694","173,504","219,214","276,292","195,537","116,527","185,926","186,426","243,991","197,034","255,047","317,346","227,002"
2021년12월_남_연령구간인구수,"4,618,040","70,183","59,630","107,210","139,380","164,058","166,646","191,112","207,578","145,705","154,487","246,053","226,458","145,694","173,504","219,214","276,292","195,537","116,527","185,926","186,426","243,991","197,034","255,047","317,346","227,002"
2021년12월_남_0~9세,"299,764","3,540","3,265","6,523","9,797","9,116","10,032","10,961","13,968","7,312","8,884","15,827","14,233","9,632","12,103","15,181","18,619","13,255","6,018","12,670","11,754","10,186","16,281","17,904","24,871","17,832"
2021년12월_남_10~19세,"387,691","5,157","3,206","7,444","9,436","12,568","11,567","12,917","18,296","10,667","12,498","26,107","19,043","11,246","13,957","25,828","22,276","14,989","7,057","12,307","13,821","13,835","22,620","30,864","29,494","20,491"
2021년12월_남_20~29세,"684,530","10,973","8,477","15,432","21,395","28,844","27,506","26,637","31,395","20,085","21,033","35,747","31,164","23,212","27,427","29,126","39,227","26,291","18,339","27,187","31,308","52,492","24,977","33,686","43,016","29,554"
2021년12월_남_30~39세,"718,763","9,707","9,909","18,641","23,032","27,157","25,196","29,325","29,213","19,393","20,073","31,436","32,897","21,880","30,045","27,476","49,313","31,131","20,237","35,400","30,743","47,453","27,299","35,758","50,866","35,183"
2021년12월_남_40~49세,"733,371","10,136","8,898","16,651","21,733","24,860","25,265","28,844","33,248","22,624","22,922","38,955","36,673","22,345","29,007","36,550","44,826","31,333","16,674","28,562","28,686","35,040","35,141","45,110","51,891","37,397"
2021년12월_남_50~59세,"742,757","12,574","10,166","17,821","22,846","26,363","26,491","33,407","34,156","25,494","26,819","42,067","37,200","23,685","26,963","37,924","40,659","30,859","19,762","28,723","28,059","33,980","31,059","41,108","49,314","35,258"
2021년12월_남_60~69세,"607,114","10,139","9,023","14,068","18,458","20,992","23,043","29,431","26,706","22,078","24,280","32,887","30,942","18,753","19,240","28,809","36,628","27,124","16,976","23,432","23,298","27,931","22,176","28,300","41,101","31,299"
2021년12월_남_70~79세,"316,508","5,176","4,633","6,977","8,951","10,029","12,323","14,208","14,133","12,620","12,600","16,248","16,795","9,968","9,827","13,737","18,454","15,156","8,433","12,335","13,106","16,709","12,481","16,281","20,147","15,181"
2021년12월_남_80~89세,"116,524","2,482","1,821","3,206","3,419","3,780","4,816","5,012","5,948","5,026","4,891","6,141","6,923","4,542","4,462","4,164","5,700","5,002","2,801","4,876","5,155","5,948","4,511","5,472","6,015","4,411"
2021년12월_남_90~99세,"10,637",290,221,427,299,337,388,352,504,395,459,627,575,415,452,408,571,385,223,421,476,408,465,547,616,376
2021년12월_남_100세 이상,381,9,11,20,14,12,19,18,11,11,28,11,13,16,21,11,19,12,7,13,20,9,24,17,15,20
2021년12월_여_총인구수,"4,891,418","74,500","62,869","115,743","146,610","175,938","170,754","196,238","222,950","153,477","162,879","264,903","246,849","159,125","195,401","228,088","298,023","201,217","114,284","190,911","199,057","241,708","215,245","277,995","340,992","235,662"
2021년12월_여_연령구간인구수,"4,891,418","74,500","62,869","115,743","146,610","175,938","170,754","196,238","222,950","153,477","162,879","264,903","246,849","159,125","195,401","228,088","298,023","201,217","114,284","190,911","199,057","241,708","215,245","277,995","340,992","235,662"
2021년12월_여_0~9세,"283,919","3,444","3,034","6,130","9,425","8,628","9,558","10,324","13,358","6,836","8,160","14,831","13,422","9,249","11,558","14,353","18,027","12,712","5,658","12,086","11,238","9,657","15,418","16,822","23,502","16,489"
2021년12월_여_10~19세,"368,445","5,224","3,268","7,248","9,467","12,206","11,200","12,515","17,690","10,129","11,813","24,205","18,165","11,247","13,748","23,644","21,241","14,202","6,898","11,333","13,146","13,222","21,857","28,277","28,141","18,359"
2021년12월_여_20~29세,"737,747","11,829","9,832","17,346","22,068","32,772","28,765","27,491","34,185","20,916","20,463","34,209","34,118","25,684","33,926","28,262","46,425","27,412","18,863","31,506","33,574","55,662","27,032","37,088","47,406","30,913"
2021년12월_여_30~39세,"720,516","9,763","9,977","19,078","23,783","27,558","23,827","27,700","29,202","17,727","19,173","31,702","34,130","22,355","33,552","28,181","48,518","29,940","16,333","34,003","30,083","38,103","32,246","41,904","55,764","35,914"
2021년12월_여_40~49세,"747,409","10,833","8,481","17,130","21,613","25,610","23,737","26,866","34,198","21,299","23,234","42,815","37,430","22,905","30,812","39,958","44,440","29,850","14,964","26,879","28,521","30,503","39,937","52,619","55,318","37,457"
2021년12월_여_50~59세,"764,437","12,383","9,877","18,301","23,308","27,438","25,752","34,111","35,124","26,206","29,187","44,962","40,044","24,955","27,999","38,246","43,749","31,435","19,586","27,539","30,014","33,045","31,520","40,848","52,300","36,508"
2021년12월_여_60~69세,"678,808","10,213","9,060","15,101","19,310","23,160","24,489","31,274","30,097","25,094","27,086","37,860","36,073","20,947","21,965","31,471","42,754","30,365","17,588","24,818","27,180","32,039","25,919","33,227","46,435","35,283"
2021년12월_여_70~79세,"379,292","6,461","5,588","8,983","11,160","11,904","14,967","16,968","18,331","16,684","14,883","21,048","21,726","13,320","13,551","15,478","20,951","16,816","9,541","14,532","16,476","19,931","14,257","18,286","21,113","16,337"
2021년12월_여_80~89세,"178,485","3,667","3,146","5,385","5,583","5,715","7,327","7,690","9,188","7,481","7,587","11,252","10,166","7,260","7,059","7,136","9,903","7,286","4,175","7,074","7,462","8,238","5,708","7,128","8,987","6,882"
2021년12월_여_90~99세,"31,098",660,591,990,859,909,"1,082","1,250","1,523","1,071","1,232","1,944","1,516","1,146","1,180","1,313","1,952","1,169",655,"1,101","1,299","1,256","1,282","1,707","1,951","1,460"
2021년12월_여_100세 이상,"1,262",23,15,51,34,38,50,49,54,34,61,75,59,57,51,46,63,30,23,40,64,52,69,89,75,60
