카테고리,서울특별시 강동구,서울특별시 강동구 강일동,서울특별시 강동구 상일동,서울특별시 강동구 명일제1동,서울특별시 강동구 명일제2동,서울특별시 강동구 고덕제1동,서울특별시 강동구 고덕제2동,서울특별시 강동구 암사제1동,서울특별시 강동구 암사제2동,서울특별시 강동구 암사제3동,서울특별시 강동구 천호제1동,서울특별시 강동구 천호제2동,서울특별시 강동구 천호제3동,서울특별시 강동구 성내제1동,서울특별시 강동구 성내제2동,서울특별시 강동구 성내제3동,서울특별시 강동구 길동,서울특별시 강동구 둔촌제1동,서울특별시 강동구 둔촌제2동
2020년09월_계_총인구수,"458,058","32,278","33,026","26,481","17,432","26,306","21,793","35,744","15,494","18,347","27,613","34,943","26,756","20,299","24,217","23,450","46,672",259,"26,948"
2020년09월_계_연령구간인구수,"458,058","32,278","33,026","26,481","17,432","26,306","21,793","35,744","15,494","18,347","27,613","34,943","26,756","20,299","24,217","23,450","46,672",259,"26,948"
2020년09월_계_0~9세,"34,798","2,596","4,215","2,155","1,175","3,174","2,477","2,271","1,449","2,053","1,516","1,820","1,373","1,588","1,120","1,331","2,606",6,"1,873"
2020년09월_계_10~19세,"39,178","4,467","3,262","2,561","2,553","3,495","1,922","2,696","1,035","1,937","1,818","1,924","1,353","1,778","1,215","1,799","3,083",8,"2,272"
2020년09월_계_20~29세,"61,325","3,995","3,608","3,313","2,170","2,504","2,333","4,886","2,014","1,987","3,858","5,042","4,209","2,737","3,976","3,641","7,154",18,"3,880"
2020년09월_계_30~39세,"71,811","3,640","5,436","4,220","1,861","3,734","3,823","5,408","2,922","2,637","4,137","6,323","4,835","3,348","4,294","3,564","7,654",25,"3,950"
2020년09월_계_40~49세,"73,724","5,543","5,795","4,296","3,116","5,483","3,651","5,641","2,425","3,245","4,099","5,127","3,809","3,400","3,500","3,638","6,904",51,"4,001"
2020년09월_계_50~59세,"72,486","5,022","4,809","4,115","2,762","3,541","3,246","6,087","2,254","2,705","4,670","5,849","4,358","3,052","3,860","3,975","7,656",28,"4,497"
2020년09월_계_60~69세,"62,110","3,827","3,948","3,541","2,410","2,697","2,773","4,996","1,911","2,330","4,358","5,022","3,931","2,559","3,626","3,211","6,967",54,"3,949"
2020년09월_계_70~79세,"30,254","2,079","1,437","1,599",960,"1,089","1,112","2,700","1,092","1,049","2,285","2,760","2,071","1,312","1,883","1,688","3,327",40,"1,771"
2020년09월_계_80~89세,"10,267",931,422,560,331,433,363,895,332,331,730,902,709,442,640,505,"1,105",13,623
2020년09월_계_90~99세,"1,854",163,87,111,87,128,89,139,48,64,127,150,93,78,85,86,192,8,119
2020년09월_계_100세 이상,251,15,7,10,7,28,4,25,12,9,15,24,15,5,18,12,24,8,13
2020년09월_남_총인구수,"225,396","15,603","16,276","12,924","8,598","13,353","11,029","17,704","7,512","8,978","13,605","17,263","13,093","9,850","11,879","11,541","22,805",123,"13,260"
2020년09월_남_연령구간인구수,"225,396","15,603","16,276","12,924","8,598","13,353","11,029","17,704","7,512","8,978","13,605","17,263","13,093","9,850","11,879","11,541","22,805",123,"13,260"
2020년09월_남_0~9세,"17,999","1,313","2,187","1,118",589,"1,649","1,284","1,138",753,"1,049",756,942,728,842,600,696,"1,357",4,994
2020년09월_남_10~19세,"20,607","2,311","1,648","1,344","1,400","2,004","1,007","1,393",493,"1,005",949,"1,000",685,922,591,"1,066","1,606",4,"1,179"
2020년09월_남_20~29세,"30,297","1,999","1,868","1,658","1,113","1,358","1,228","2,537",976,991,"1,938","2,392","1,862","1,348","1,782","1,877","3,418",10,"1,942"
