,대전광역시 동구,대전광역시 동구 중앙동,대전광역시 동구 효동,대전광역시 동구 신인동,대전광역시 동구 판암1동,대전광역시 동구 판암2동,대전광역시 동구 용운동,대전광역시 동구 대동,대전광역시 동구 자양동,대전광역시 동구 가양1동,대전광역시 동구 가양2동,대전광역시 동구 용전동,대전광역시 동구 성남동,대전광역시 동구 홍도동,대전광역시 동구 삼성동,대전광역시 동구 대청동,대전광역시 동구 산내동
2020년04월_계_총인구수,"225,094","5,033","26,167","12,549","12,807","8,877","16,863","15,478","10,603","14,097","18,989","20,867","12,599","11,206","14,872","2,567","21,520"
2020년04월_계_연령구간인구수,"225,094","5,033","26,167","12,549","12,807","8,877","16,863","15,478","10,603","14,097","18,989","20,867","12,599","11,206","14,872","2,567","21,520"
2020년04월_계_0~9세,"15,810",114,"2,800",969,904,320,"1,007","1,518",390,841,"1,080","1,225",944,632,896,85,"2,085"
2020년04월_계_10~19세,"20,593",153,"3,394",932,"1,032",417,"1,587","1,451",916,"1,181","1,882","1,585",984,856,"1,334",153,"2,736"
2020년04월_계_20~29세,"30,455",368,"2,679","1,490","1,587",897,"2,694","1,865","2,574","2,029","3,018","3,925","1,459","1,902","1,621",204,"2,143"
2020년04월_계_30~39세,"26,755",414,"3,330","1,749","1,592",779,"1,762","2,208","1,074","1,514","2,067","3,130","1,602","1,374","1,528",167,"2,465"
2020년04월_계_40~49세,"34,438",567,"4,967","1,866","1,786","1,038","2,569","2,356","1,292","2,056","2,871","3,189","1,860","1,636","2,229",293,"3,863"
2020년04월_계_50~59세,"37,345","1,065","3,727","1,982","2,272","1,605","2,986","2,441","1,583","2,436","3,359","3,442","2,174","1,969","2,661",491,"3,152"
2020년04월_계_60~69세,"31,636","1,152","2,897","1,801","1,870","1,846","2,380","1,900","1,471","2,129","2,642","2,533","1,886","1,580","2,359",539,"2,651"
2020년04월_계_70~79세,"18,763",802,"1,638","1,199","1,133","1,252","1,251","1,151",903,"1,297","1,413","1,291","1,134",851,"1,508",346,"1,594"
2020년04월_계_80~89세,"8,119",340,640,482,557,636,545,505,359,545,591,474,472,356,644,253,720
2020년04월_계_90~99세,"1,090",49,88,66,71,85,76,72,36,63,66,71,75,48,86,34,104
2020년04월_계_100세 이상,90,9,7,13,3,2,6,11,5,6,0,2,9,2,6,2,7
2020년04월_남_총인구수,"113,487","2,826","12,855","6,209","6,235","4,343","8,527","7,741","5,553","7,283","9,478","10,708","6,249","5,737","7,563","1,346","10,834"
2020년04월_남_연령구간인구수,"113,487","2,826","12,855","6,209","6,235","4,343","8,527","7,741","5,553","7,283","9,478","10,708","6,249","5,737","7,563","1,346","10,834"
2020년04월_남_0~9세,"8,163",53,"1,390",490,482,159,523,807,203,435,565,644,498,346,422,43,"1,103"
2020년04월_남_10~19세,"10,641",81,"1,788",501,533,223,785,750,441,582,969,799,504,445,718,81,"1,441"
2020년04월_남_20~29세,"16,208",214,"1,409",766,822,529,"1,457",986,"1,408","1,135","1,567","1,999",762,"1,000",882,116,"1,156"
2020년04월_남_30~39세,"14,363",256,"1,598",931,845,451,965,"1,142",652,817,"1,140","1,789",854,775,818,108,"1,222"
2020년04월_남_40~49세,"18,087",370,"2,513",999,888,582,"1,319","1,194",756,"1,160","1,431","1,699",973,884,"1,192",161,"1,966"
2020년04월_남_50~59세,"19,061",685,"1,815",955,"1,088",802,"1,530","1,220",799,"1,272","1,679","1,785","1,087","1,003","1,397",292,"1,652"
2020년04월_남_60~69세,"15,303",642,"1,369",791,887,887,"1,144",921,731,"1,064","1,264","1,217",885,781,"1,141",292,"1,287"
2020년04월_남_70~79세,"8,437",383,735,561,482,495,576,514,421,591,630,577,500,367,709,165,731
2020년04월_남_80~89세,"2,928",124,222,196,181,193,204,183,133,210,220,179,165,132,259,79,248
2020년04월_남_90~99세,271,13,15,15,26,22,21,21,9,16,13,20,18,3,23,9,27
2020년04월_남_100세 이상,25,5,1,4,1,0,3,3,0,1,0,0,3,1,2,0,1
2020년04월_여_총인구수,"111,607","2,207","13,312","6,340","6,572","4,534","8,336","7,737","5,050","6,814","9,511","10,159","6,350","5,469","7,309","1,221","10,686"
2020년04월_여_연령구간인구수,"111,607","2,207","13,312","6,340","6,572","4,534","8,336","7,737","5,050","6,814","9,511","10,159","6,350","5,469","7,309","1,221","10,686"
2020년04월_여_0~9세,"7,647",61,"1,410",479,422,161,484,711,187,406,515,581,446,286,474,42,982
2020년04월_여_10~19세,"9,952",72,"1,606",431,499,194,802,701,475,599,913,786,480,411,616,72,"1,295"
2020년04월_여_20~29세,"14,247",154,"1,270",724,765,368,"1,237",879,"1,166",894,"1,451","1,926",697,902,739,88,987
2020년04월_여_30~39세,"12,392",158,"1,732",818,747,328,797,"1,066",422,697,927,"1,341",748,599,710,59,"1,243"
2020년04월_여_40~49세,"16,351",197,"2,454",867,898,456,"1,250","1,162",536,896,"1,440","1,490",887,752,"1,037",132,"1,897"
2020년04월_여_50~59세,"18,284",380,"1,912","1,027","1,184",803,"1,456","1,221",784,"1,164","1,680","1,657","1,087",966,"1,264",199,"1,500"
2020년04월_여_60~69세,"16,333",510,"1,528","1,010",983,959,"1,236",979,740,"1,065","1,378","1,316","1,001",799,"1,218",247,"1,364"
2020년04월_여_70~79세,"10,326",419,903,638,651,757,675,637,482,706,783,714,634,484,799,181,863
2020년04월_여_80~89세,"5,191",216,418,286,376,443,341,322,226,335,371,295,307,224,385,174,472
2020년04월_여_90~99세,819,36,73,51,45,63,55,51,27,47,53,51,57,45,63,25,77
2020년04월_여_100세 이상,65,4,6,9,2,2,3,8,5,5,0,2,6,1,4,2,6
