카테고리,전라남도 여수시,전라남도 여수시 돌산읍,전라남도 여수시 돌산읍우두출장소,전라남도 여수시 돌산읍죽포출장소,전라남도 여수시 소라면,전라남도 여수시 율촌면,전라남도 여수시 화양면,전라남도 여수시 남면,전라남도 여수시 화정면,전라남도 여수시 화정면개도출장소,전라남도 여수시 삼산면,전라남도 여수시 동문동,전라남도 여수시 한려동,전라남도 여수시 중앙동,전라남도 여수시 충무동,전라남도 여수시 광림동,전라남도 여수시 서강동,전라남도 여수시 대교동,전라남도 여수시 국동,전라남도 여수시 월호동,전라남도 여수시 여서동,전라남도 여수시 문수동,전라남도 여수시 미평동,전라남도 여수시 둔덕동,전라남도 여수시 만덕동,전라남도 여수시 쌍봉동,전라남도 여수시 시전동,전라남도 여수시 여천동,전라남도 여수시 주삼동,전라남도 여수시 삼일동,전라남도 여수시 묘도동
2021년08월_계_총인구수,"277,752","2,645","8,607","1,916","20,353","6,266","6,406","2,765","1,331",803,"2,052","4,664","3,124","4,286","4,009","6,039","3,713","5,301","11,350","6,818","18,905","21,528","11,727","10,330","10,564","32,328","36,727","21,487","8,227","2,324","1,157"
2021년08월_계_연령구간인구수,"277,752","2,645","8,607","1,916","20,353","6,266","6,406","2,765","1,331",803,"2,052","4,664","3,124","4,286","4,009","6,039","3,713","5,301","11,350","6,818","18,905","21,528","11,727","10,330","10,564","32,328","36,727","21,487","8,227","2,324","1,157"
2021년08월_계_0~9세,"19,946",54,535,32,"2,008",255,129,57,12,17,57,229,111,142,100,193,145,158,669,396,"1,158","1,798",595,740,"1,043","2,643","4,515","1,131",949,57,18
2021년08월_계_10~19세,"25,846",82,680,65,"2,067",315,275,121,30,38,85,290,189,263,222,304,218,254,899,613,"1,849","2,305","1,051","1,181",945,"3,768","4,414","1,995","1,141",128,59
2021년08월_계_20~29세,"33,189",176,754,151,"2,160",448,554,122,61,50,138,468,361,414,344,634,427,437,"1,196",694,"2,510","2,695","1,791","1,399","1,096","5,118","4,432","3,291",907,252,109
2021년08월_계_30~39세,"29,939",125,788,84,"2,469",425,354,122,59,25,136,451,315,320,296,524,280,430,"1,048",624,"1,960","2,545","1,186","1,132","1,374","3,851","5,412","2,271","1,106",167,60
2021년08월_계_40~49세,"41,015",219,"1,262",141,"3,215",725,576,224,85,70,208,564,326,531,456,749,417,603,"1,535",924,"2,713","3,536","1,724","1,629","1,585","5,298","6,439","3,246","1,647",251,117
2021년08월_계_50~59세,"48,151",459,"1,412",306,"3,510","1,001","1,179",430,188,139,447,673,453,687,640,"1,005",593,841,"2,005","1,132","3,424","3,490","2,248","1,941","1,520","5,972","6,118","4,540","1,105",459,234
2021년08월_계_60~69세,"41,924",609,"1,611",462,"2,657","1,288","1,411",646,315,164,495,945,587,951,851,"1,268",783,"1,207","2,130","1,377","3,153","2,921","1,745","1,439","1,577","3,507","3,459","2,972",713,463,218
2021년08월_계_70~79세,"24,869",554,999,381,"1,378","1,055","1,124",626,322,173,303,750,540,714,767,975,575,955,"1,354",773,"1,416","1,507",930,631,991,"1,487","1,291","1,330",459,318,191
2021년08월_계_80~89세,"11,121",322,489,244,781,627,682,362,211,106,153,253,222,236,301,341,236,371,458,257,631,622,408,202,377,576,547,598,176,203,129
2021년08월_계_90~99세,"1,696",44,76,47,101,123,117,54,47,20,28,41,19,27,28,44,39,45,52,26,89,108,49,35,54,100,99,112,24,26,22
2021년08월_계_100세 이상,56,1,1,3,7,4,5,1,1,1,2,0,1,1,4,2,0,0,4,2,2,1,0,1,2,8,1,1,0,0,0
2021년08월_남_총인구수,"141,667","1,333","4,499",938,"10,382","3,244","3,294","1,411",659,403,"1,155","2,365","1,556","2,135","2,063","3,127","1,852","2,693","5,711","3,428","9,311","10,825","6,279","5,213","5,342","16,594","18,415","11,357","4,213","1,268",602
2021년08월_남_연령구간인구수,"141,667","1,333","4,499",938,"10,382","3,244","3,294","1,411",659,403,"1,155","2,365","1,556","2,135","2,063","3,127","1,852","2,693","5,711","3,428","9,311","10,825","6,279","5,213","5,342","16,594","18,415","11,357","4,213","1,268",602
2021년08월_남_0~9세,"10,102",27,280,17,"1,060",132,71,29,6,9,27,105,47,68,63,111,60,69,336,200,565,928,312,371,531,"1,328","2,276",559,477,30,8
2021년08월_남_10~19세,"13,354",39,346,34,"1,058",170,151,61,14,18,48,151,97,143,110,174,110,123,463,313,949,"1,160",555,620,481,"1,943","2,338",983,610,69,23
2021년08월_남_20~29세,"18,903",101,445,89,"1,228",269,332,75,30,28,80,273,180,242,198,362,240,249,687,387,"1,416","1,492","1,079",763,617,"2,975","2,358","1,987",483,171,67
2021년08월_남_30~39세,"16,054",83,430,45,"1,243",235,206,81,42,13,88,255,194,177,185,317,163,230,581,335,"1,010","1,342",692,627,716,"2,030","2,642","1,380",566,104,42
2021년08월_남_40~49세,"21,664",149,744,90,"1,699",480,361,149,63,40,147,339,189,310,280,454,238,393,849,481,"1,371","1,769",944,765,855,"2,566","3,150","1,714",837,152,86
2021년08월_남_50~59세,"25,367",251,797,165,"1,813",599,683,266,106,94,267,356,253,362,368,535,310,479,989,565,"1,641","1,794","1,233",977,760,"3,093","3,134","2,412",637,283,145
2021년08월_남_60~69세,"20,686",313,792,230,"1,377",652,775,339,184,82,278,432,262,413,400,583,348,541,980,669,"1,493","1,453",934,716,754,"1,747","1,731","1,513",330,250,115
2021년08월_남_70~79세,"11,462",241,463,179,623,471,491,275,144,82,157,359,239,319,342,455,283,453,638,368,635,673,413,296,488,723,611,615,213,140,73
2021년08월_남_80~89세,"3,765",119,184,76,260,215,200,124,63,31,58,86,91,95,107,128,94,148,181,103,218,200,111,72,135,177,159,171,57,62,40
2021년08월_남_90~99세,303,10,18,13,20,19,24,11,7,6,4,9,4,6,9,8,6,8,7,7,13,14,6,6,5,12,15,23,3,7,3
2021년08월_남_100세 이상,7,0,0,0,1,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2021년08월_여_총인구수,"136,085","1,312","4,108",978,"9,971","3,022","3,112","1,354",672,400,897,"2,299","1,568","2,151","1,946","2,912","1,861","2,608","5,639","3,390","9,594","10,703","5,448","5,117","5,222","15,734","18,312","10,130","4,014","1,056",555
2021년08월_여_연령구간인구수,"136,085","1,312","4,108",978,"9,971","3,022","3,112","1,354",672,400,897,"2,299","1,568","2,151","1,946","2,912","1,861","2,608","5,639","3,390","9,594","10,703","5,448","5,117","5,222","15,734","18,312","10,130","4,014","1,056",555
2021년08월_여_0~9세,"9,844",27,255,15,948,123,58,28,6,8,30,124,64,74,37,82,85,89,333,196,593,870,283,369,512,"1,315","2,239",572,472,27,10
2021년08월_여_10~19세,"12,492",43,334,31,"1,009",145,124,60,16,20,37,139,92,120,112,130,108,131,436,300,900,"1,145",496,561,464,"1,825","2,076","1,012",531,59,36
2021년08월_여_20~29세,"14,286",75,309,62,932,179,222,47,31,22,58,195,181,172,146,272,187,188,509,307,"1,094","1,203",712,636,479,"2,143","2,074","1,304",424,81,42
2021년08월_여_30~39세,"13,885",42,358,39,"1,226",190,148,41,17,12,48,196,121,143,111,207,117,200,467,289,950,"1,203",494,505,658,"1,821","2,770",891,540,63,18
2021년08월_여_40~49세,"19,351",70,518,51,"1,516",245,215,75,22,30,61,225,137,221,176,295,179,210,686,443,"1,342","1,767",780,864,730,"2,732","3,289","1,532",810,99,31
2021년08월_여_50~59세,"22,784",208,615,141,"1,697",402,496,164,82,45,180,317,200,325,272,470,283,362,"1,016",567,"1,783","1,696","1,015",964,760,"2,879","2,984","2,128",468,176,89
2021년08월_여_60~69세,"21,238",296,819,232,"1,280",636,636,307,131,82,217,513,325,538,451,685,435,666,"1,150",708,"1,660","1,468",811,723,823,"1,760","1,728","1,459",383,213,103
