카테고리,울산광역시 동구,울산광역시 동구 방어동,울산광역시 동구 일산동,울산광역시 동구 화정동,울산광역시 동구 대송동,울산광역시 동구 전하1동,울산광역시 동구 전하2동,울산광역시 동구 남목1동,울산광역시 동구 남목2동,울산광역시 동구 남목3동
2020년03월_계_총인구수,"158,477","40,516","5,866","20,407","12,062","14,990","21,155","9,081","22,008","12,392"
2020년03월_계_연령구간인구수,"158,477","40,516","5,866","20,407","12,062","14,990","21,155","9,081","22,008","12,392"
2020년03월_계_0~9세,"15,796","3,919",257,"2,343",999,"1,412","2,176",755,"2,559","1,376"
2020년03월_계_10~19세,"15,687","4,069",370,"1,957","1,206","1,381","2,333",938,"2,172","1,261"
2020년03월_계_20~29세,"18,158","4,723",734,"2,093","1,615","1,905","2,479",928,"2,474","1,207"
2020년03월_계_30~39세,"24,498","6,290",814,"3,268","1,641","2,284","2,888","1,223","4,131","1,959"
2020년03월_계_40~49세,"25,730","7,149",830,"3,270","1,995","2,282","3,445","1,419","3,353","1,987"
2020년03월_계_50~59세,"26,563","6,724","1,096","3,315","2,387","2,439","3,930","1,531","3,159","1,982"
2020년03월_계_60~69세,"21,512","5,021","1,136","2,673","1,554","2,121","2,696","1,508","3,065","1,738"
2020년03월_계_70~79세,"7,782","1,897",476,"1,060",462,907,875,585,878,642
2020년03월_계_80~89세,"2,367",611,135,380,177,220,282,167,184,211
2020년03월_계_90~99세,360,106,17,44,25,36,49,26,31,26
2020년03월_계_100세 이상,24,7,1,4,1,3,2,1,2,3
2020년03월_남_총인구수,"82,841","21,681","3,168","10,523","6,316","7,770","10,818","4,658","11,620","6,287"
2020년03월_남_연령구간인구수,"82,841","21,681","3,168","10,523","6,316","7,770","10,818","4,658","11,620","6,287"
2020년03월_남_0~9세,"8,115","2,010",138,"1,190",511,741,"1,085",388,"1,337",715
2020년03월_남_10~19세,"8,258","2,170",198,"1,044",644,743,"1,184",484,"1,169",622
2020년03월_남_20~29세,"10,211","2,666",423,"1,155",882,993,"1,397",553,"1,463",679
2020년03월_남_30~39세,"13,514","3,665",515,"1,702",920,"1,259","1,480",647,"2,285","1,041"
2020년03월_남_40~49세,"13,902","4,035",483,"1,769","1,048","1,223","1,771",762,"1,781","1,030"
2020년03월_남_50~59세,"13,088","3,458",555,"1,684","1,205","1,191","1,940",711,"1,431",913
2020년03월_남_60~69세,"11,004","2,572",559,"1,355",817,"1,036","1,394",754,"1,596",921
2020년03월_남_70~79세,"3,952",917,245,518,223,497,466,301,486,299
2020년03월_남_80~89세,747,181,48,99,64,77,96,56,65,61
2020년03월_남_90~99세,46,7,4,7,2,8,4,2,6,6
2020년03월_남_100세 이상,4,0,0,0,0,2,1,0,1,0
2020년03월_여_총인구수,"75,636","18,835","2,698","9,884","5,746","7,220","10,337","4,423","10,388","6,105"
2020년03월_여_연령구간인구수,"75,636","18,835","2,698","9,884","5,746","7,220","10,337","4,423","10,388","6,105"
2020년03월_여_0~9세,"7,681","1,909",119,"1,153",488,671,"1,091",367,"1,222",661
2020년03월_여_10~19세,"7,429","1,899",172,913,562,638,"1,149",454,"1,003",639
2020년03월_여_20~29세,"7,947","2,057",311,938,733,912,"1,082",375,"1,011",528
2020년03월_여_30~39세,"10,984","2,625",299,"1,566",721,"1,025","1,408",576,"1,846",918
2020년03월_여_40~49세,"11,828","3,114",347,"1,501",947,"1,059","1,674",657,"1,572",957
2020년03월_여_50~59세,"13,475","3,266",541,"1,631","1,182","1,248","1,990",820,"1,728","1,069"
2020년03월_여_60~69세,"10,508","2,449",577,"1,318",737,"1,085","1,302",754,"1,469",817
2020년03월_여_70~79세,"3,830",980,231,542,239,410,409,284,392,343
2020년03월_여_80~89세,"1,620",430,87,281,113,143,186,111,119,150
2020년03월_여_90~99세,314,99,13,37,23,28,45,24,25,20
2020년03월_여_100세 이상,20,7,1,4,1,1,1,1,1,3
