,전라북도 군산시,전라북도 군산시 옥구읍,전라북도 군산시 옥산면,전라북도 군산시 회현면,전라북도 군산시 임피면,전라북도 군산시 서수면,전라북도 군산시 대야면,전라북도 군산시 개정면,전라북도 군산시 성산면,전라북도 군산시 나포면,전라북도 군산시 옥도면,전라북도 군산시 옥서면,전라북도 군산시 해신동,전라북도 군산시 월명동,전라북도 군산시 신풍동,전라북도 군산시 삼학동,전라북도 군산시 중앙동,전라북도 군산시 흥남동,전라북도 군산시 조촌동,전라북도 군산시 경암동,전라북도 군산시 구암동,전라북도 군산시 개정동,전라북도 군산시 수송동,전라북도 군산시 나운1동,전라북도 군산시 나운2동,전라북도 군산시 나운3동,전라북도 군산시 소룡동,전라북도 군산시 미성동
2021년04월_계_총인구수,"266,878","3,160","4,764","3,405","2,654","2,541","4,983","2,974","2,884","2,201","3,393","2,998","2,380","5,415","7,100","5,613","4,436","12,787","22,274","7,449","8,053","2,855","55,507","12,580","23,641","32,157","16,834","11,840"
2021년04월_계_연령구간인구수,"266,878","3,160","4,764","3,405","2,654","2,541","4,983","2,974","2,884","2,201","3,393","2,998","2,380","5,415","7,100","5,613","4,436","12,787","22,274","7,449","8,053","2,855","55,507","12,580","23,641","32,157","16,834","11,840"
2021년04월_계_0~9세,"20,406",87,582,177,59,74,135,75,92,49,95,115,114,177,352,151,247,"1,076","2,535",382,498,172,"6,585",636,"1,656","2,518","1,098",669
2021년04월_계_10~19세,"26,501",118,380,333,105,106,229,149,130,94,169,149,138,382,584,328,200,"1,109","2,087",485,690,243,"7,753","1,112","2,855","4,133","1,608",832
2021년04월_계_20~29세,"29,479",247,368,238,228,151,346,251,246,133,314,266,168,437,782,580,429,"1,346","2,530",710,"1,100",297,"6,597","1,561","2,904","4,191","1,881","1,178"
2021년04월_계_30~39세,"29,962",188,731,210,149,154,335,183,177,126,270,196,186,435,551,389,621,"1,683","3,704",726,958,252,"7,454","1,232","2,117","3,496","2,030","1,409"
2021년04월_계_40~49세,"43,210",303,723,461,237,251,503,285,261,216,471,355,275,690,932,591,592,"1,941","3,663","1,067","1,094",347,"11,025","1,798","3,837","6,029","3,167","2,096"
2021년04월_계_50~59세,"44,060",583,688,562,458,414,798,566,565,369,733,460,365,906,"1,081",925,673,"2,025","3,077","1,232","1,456",475,"8,110","2,385","4,184","5,574","3,131","2,265"
2021년04월_계_60~69세,"38,212",694,631,594,652,607,"1,155",688,649,506,733,603,499,"1,158","1,341","1,160",792,"1,852","2,636","1,416","1,334",515,"4,684","2,204","3,375","3,552","2,339","1,843"
2021년04월_계_70~79세,"23,106",542,395,464,422,412,867,485,468,410,419,542,452,829,"1,027",984,620,"1,236","1,436","1,021",649,349,"2,271","1,161","1,718","1,804","1,109","1,014"
