카테고리,충청남도 논산시,충청남도 논산시 강경읍,충청남도 논산시 연무읍,충청남도 논산시 성동면,충청남도 논산시 광석면,충청남도 논산시 노성면,충청남도 논산시 상월면,충청남도 논산시 부적면,충청남도 논산시 연산면,충청남도 논산시 벌곡면,충청남도 논산시 양촌면,충청남도 논산시 가야곡면,충청남도 논산시 은진면,충청남도 논산시 채운면,충청남도 논산시 취암동,충청남도 논산시 부창동
2021년09월_계_총인구수,"114,942","8,047","13,407","4,059","4,198","2,951","3,511","3,522","6,070","2,431","6,187","3,361","3,981","2,199","34,997","16,021"
2021년09월_계_연령구간인구수,"114,942","8,047","13,407","4,059","4,198","2,951","3,511","3,522","6,070","2,431","6,187","3,361","3,981","2,199","34,997","16,021"
2021년09월_계_0~9세,"6,899",282,874,116,102,101,63,87,186,61,383,60,116,58,"3,228","1,182"
2021년09월_계_10~19세,"9,561",628,"1,070",166,246,137,155,161,313,110,406,116,206,127,"3,930","1,790"
2021년09월_계_20~29세,"10,869",681,"1,223",269,263,197,205,231,358,114,423,206,406,136,"4,451","1,706"
2021년09월_계_30~39세,"10,289",495,"1,235",223,251,211,205,207,332,106,541,161,256,114,"4,466","1,486"
2021년09월_계_40~49세,"14,846",935,"1,658",330,392,278,361,329,509,208,611,272,419,191,"5,856","2,497"
2021년09월_계_50~59세,"19,228","1,397","2,072",649,709,471,652,624,"1,170",425,"1,039",588,712,353,"5,517","2,850"
2021년09월_계_60~69세,"20,825","1,712","2,458",974,997,656,867,876,"1,548",629,"1,212",883,860,541,"4,204","2,408"
2021년09월_계_70~79세,"12,901","1,174","1,592",707,698,486,534,550,933,438,858,590,555,367,"2,111","1,308"
2021년09월_계_80~89세,"8,269",639,"1,057",564,488,353,405,394,618,288,617,423,376,255,"1,081",711
2021년09월_계_90~99세,"1,211",100,163,59,51,58,61,59,98,51,97,62,70,53,146,83
2021년09월_계_100세 이상,44,4,5,2,1,3,3,4,5,1,0,0,5,4,7,0
2021년09월_남_총인구수,"57,426","3,950","6,688","2,050","2,120","1,491","1,758","1,796","3,142","1,239","3,144","1,706","2,113","1,044","17,418","7,767"
2021년09월_남_연령구간인구수,"57,426","3,950","6,688","2,050","2,120","1,491","1,758","1,796","3,142","1,239","3,144","1,706","2,113","1,044","17,418","7,767"
2021년09월_남_0~9세,"3,507",150,443,58,47,51,34,43,96,28,201,35,62,30,"1,635",594
2021년09월_남_10~19세,"4,933",316,553,87,122,76,86,76,173,66,231,62,92,59,"2,017",917
2021년09월_남_20~29세,"6,064",384,695,159,152,118,119,129,218,61,240,120,253,72,"2,389",955
2021년09월_남_30~39세,"5,478",268,677,142,146,125,105,118,180,71,284,103,171,61,"2,293",734
2021년09월_남_40~49세,"7,875",491,911,225,243,157,198,203,290,122,330,155,271,108,"2,938","1,233"
2021년09월_남_50~59세,"10,150",728,"1,107",342,395,276,362,361,642,250,561,321,415,196,"2,768","1,426"
2021년09월_남_60~69세,"10,516",839,"1,230",509,530,329,449,459,843,327,647,471,460,274,"2,034","1,115"
2021년09월_남_70~79세,"5,816",506,706,303,327,237,254,263,457,207,394,274,254,154,935,545
2021년09월_남_80~89세,"2,778",239,328,207,146,109,131,133,216,93,229,148,121,74,369,235
2021년09월_남_90~99세,301,26,38,18,12,13,20,11,27,14,27,17,13,15,37,13
2021년09월_남_100세 이상,8,3,0,0,0,0,0,0,0,0,0,0,1,1,3,0
2021년09월_여_총인구수,"57,516","4,097","6,719","2,009","2,078","1,460","1,753","1,726","2,928","1,192","3,043","1,655","1,868","1,155","17,579","8,254"
2021년09월_여_연령구간인구수,"57,516","4,097","6,719","2,009","2,078","1,460","1,753","1,726","2,928","1,192","3,043","1,655","1,868","1,155","17,579","8,254"
2021년09월_여_0~9세,"3,392",132,431,58,55,50,29,44,90,33,182,25,54,28,"1,593",588
2021년09월_여_10~19세,"4,628",312,517,79,124,61,69,85,140,44,175,54,114,68,"1,913",873
2021년09월_여_20~29세,"4,805",297,528,110,111,79,86,102,140,53,183,86,153,64,"2,062",751
2021년09월_여_30~39세,"4,811",227,558,81,105,86,100,89,152,35,257,58,85,53,"2,173",752
2021년09월_여_40~49세,"6,971",444,747,105,149,121,163,126,219,86,281,117,148,83,"2,918","1,264"
2021년09월_여_50~59세,"9,078",669,965,307,314,195,290,263,528,175,478,267,297,157,"2,749","1,424"
2021년09월_여_60~69세,"10,309",873,"1,228",465,467,327,418,417,705,302,565,412,400,267,"2,170","1,293"
2021년09월_여_70~79세,"7,085",668,886,404,371,249,280,287,476,231,464,316,301,213,"1,176",763
2021년09월_여_80~89세,"5,491",400,729,357,342,244,274,261,402,195,388,275,255,181,712,476
2021년09월_여_90~99세,910,74,125,41,39,45,41,48,71,37,70,45,57,38,109,70
2021년09월_여_100세 이상,36,1,5,2,1,3,3,4,5,1,0,0,4,3,4,0
