카테고리,부산광역시 동구,부산광역시 동구 초량제1동,부산광역시 동구 초량제2동,부산광역시 동구 초량제3동,부산광역시 동구 초량제6동,부산광역시 동구 수정제1동,부산광역시 동구 수정제2동,부산광역시 동구 수정제4동,부산광역시 동구 수정제5동,부산광역시 동구 좌천동,부산광역시 동구 범일제1동,부산광역시 동구 범일제2동,부산광역시 동구 범일제5동
2020년07월_계_총인구수,"89,721","4,848","5,845","11,249","6,461","4,270","10,165","4,252","5,680","11,223","12,199","8,904","4,625"
2020년07월_계_연령구간인구수,"89,721","4,848","5,845","11,249","6,461","4,270","10,165","4,252","5,680","11,223","12,199","8,904","4,625"
2020년07월_계_0~9세,"4,219",179,165,998,215,192,412,125,196,476,402,484,375
2020년07월_계_10~19세,"5,255",274,269,693,420,321,622,247,371,657,658,449,274
2020년07월_계_20~29세,"10,702",676,657,"1,689",681,504,"1,261",384,598,"1,335","1,346","1,140",431
2020년07월_계_30~39세,"10,604",523,561,"2,320",542,398,"1,172",316,453,"1,206","1,192","1,207",714
2020년07월_계_40~49세,"12,168",703,776,"1,713",858,611,"1,335",513,739,"1,472","1,467","1,271",710
2020년07월_계_50~59세,"15,031",800,"1,031","1,589","1,060",722,"1,714",747,999,"1,894","2,188","1,643",644
2020년07월_계_60~69세,"15,882",848,"1,201","1,238","1,232",731,"1,832",819,"1,073","2,016","2,556","1,576",760
2020년07월_계_70~79세,"10,701",590,806,666,945,554,"1,241",745,849,"1,482","1,578",778,467
2020년07월_계_80~89세,"4,486",224,316,279,437,207,509,314,346,611,721,315,207
2020년07월_계_90~99세,574,26,54,56,58,25,51,40,54,61,78,33,38
2020년07월_계_100세 이상,99,5,9,8,13,5,16,2,2,13,13,8,5
2020년07월_남_총인구수,"44,016","2,427","2,894","5,537","3,145","2,076","4,877","2,132","2,719","5,452","5,995","4,483","2,279"
2020년07월_남_연령구간인구수,"44,016","2,427","2,894","5,537","3,145","2,076","4,877","2,132","2,719","5,452","5,995","4,483","2,279"
2020년07월_남_0~9세,"2,242",74,99,523,119,100,208,72,109,271,214,260,193
2020년07월_남_10~19세,"2,718",154,140,375,229,157,308,145,187,320,320,238,145
2020년07월_남_20~29세,"5,418",346,338,715,373,272,626,220,336,703,718,571,200
2020년07월_남_30~39세,"5,705",289,321,"1,198",301,221,648,189,241,636,649,633,379
2020년07월_남_40~49세,"6,498",392,434,879,450,320,693,289,393,785,810,665,388
2020년07월_남_50~59세,"7,628",427,543,818,540,359,835,411,481,932,"1,117",841,324
2020년07월_남_60~69세,"7,550",401,549,619,571,322,844,400,486,943,"1,240",784,391
2020년07월_남_70~79세,"4,527",264,340,294,389,234,528,289,359,624,671,350,185
2020년07월_남_80~89세,"1,548",71,108,96,156,82,166,105,113,223,235,127,66
2020년07월_남_90~99세,153,7,18,15,12,9,18,12,14,11,18,12,7
2020년07월_남_100세 이상,29,2,4,5,5,0,3,0,0,4,3,2,1
2020년07월_여_총인구수,"45,705","2,421","2,951","5,712","3,316","2,194","5,288","2,120","2,961","5,771","6,204","4,421","2,346"
2020년07월_여_연령구간인구수,"45,705","2,421","2,951","5,712","3,316","2,194","5,288","2,120","2,961","5,771","6,204","4,421","2,346"
2020년07월_여_0~9세,"1,977",105,66,475,96,92,204,53,87,205,188,224,182
2020년07월_여_10~19세,"2,537",120,129,318,191,164,314,102,184,337,338,211,129
2020년07월_여_20~29세,"5,284",330,319,974,308,232,635,164,262,632,628,569,231
2020년07월_여_30~39세,"4,899",234,240,"1,122",241,177,524,127,212,570,543,574,335
2020년07월_여_40~49세,"5,670",311,342,834,408,291,642,224,346,687,657,606,322
2020년07월_여_50~59세,"7,403",373,488,771,520,363,879,336,518,962,"1,071",802,320
2020년07월_여_60~69세,"8,332",447,652,619,661,409,988,419,587,"1,073","1,316",792,369
2020년07월_여_70~79세,"6,174",326,466,372,556,320,713,456,490,858,907,428,282
2020년07월_여_80~89세,"2,938",153,208,183,281,125,343,209,233,388,486,188,141
2020년07월_여_90~99세,421,19,36,41,46,16,33,28,40,50,60,21,31
2020년07월_여_100세 이상,70,3,5,3,8,5,13,2,2,9,10,6,4
