카테고리,경기도 파주시,경기도 파주시 문산읍,경기도 파주시 파주읍,경기도 파주시 법원읍,경기도 파주시 조리읍,경기도 파주시 월롱면,경기도 파주시 탄현면,경기도 파주시 광탄면,경기도 파주시 파평면,경기도 파주시 적성면,경기도 파주시 군내면,경기도 파주시 장단출장소,경기도 파주시 장단면,경기도 파주시 진동면,경기도 파주시 진서면,경기도 파주시 금촌1동,경기도 파주시 금촌2동,경기도 파주시 금촌3동,경기도 파주시 교하동,경기도 파주시 운정1동,경기도 파주시 운정2동,경기도 파주시 운정3동
2020년08월_계_총인구수,"459,158","48,430","13,150","10,893","30,140","9,145","13,388","11,560","3,948","7,616",0,568,0,159,0,"22,433","33,320","27,320","40,824","45,547","62,378","78,339"
2020년08월_계_연령구간인구수,"459,158","48,430","13,150","10,893","30,140","9,145","13,388","11,560","3,948","7,616",0,568,0,159,0,"22,433","33,320","27,320","40,824","45,547","62,378","78,339"
2020년08월_계_0~9세,"44,530","5,054",581,356,"1,825",194,709,517,101,598,0,22,0,5,0,"1,202","3,458","2,391","3,871","5,173","9,057","9,416"
2020년08월_계_10~19세,"48,444","4,734",780,765,"2,771",287,"1,009",671,199,535,0,38,0,12,0,"1,553","4,269","2,768","5,459","5,852","7,498","9,244"
2020년08월_계_20~29세,"56,017","5,779","1,454","1,334","3,813","2,113","1,464","1,273",429,941,0,55,0,4,0,"3,413","4,286","3,804","4,514","5,326","6,714","9,301"
2020년08월_계_30~39세,"66,798","7,784","1,341",893,"3,082","2,209","1,513","1,071",269,876,0,46,0,10,0,"2,866","4,596","3,733","5,065","6,706","11,953","12,785"
2020년08월_계_40~49세,"79,704","7,511","1,702","1,285","4,494",929,"2,169","1,373",360,864,0,78,0,16,0,"3,356","6,164","4,351","8,244","8,928","12,256","15,624"
2020년08월_계_50~59세,"71,454","6,916","2,539","2,236","5,957","1,316","2,588","2,361",797,"1,255",0,99,0,27,0,"4,236","5,141","4,594","6,551","6,673","7,279","10,889"
2020년08월_계_60~69세,"47,668","5,080","2,257","1,976","4,367","1,146","1,984","2,186",775,"1,196",0,95,0,33,0,"3,045","2,742","3,028","3,811","3,818","4,077","6,052"
2020년08월_계_70~79세,"28,560","3,511","1,482","1,290","2,457",562,"1,174","1,266",583,905,0,94,0,33,0,"1,818","1,728","1,723","2,124","2,046","2,407","3,357"
2020년08월_계_80~89세,"13,777","1,784",840,652,"1,190",337,662,686,366,374,0,39,0,17,0,811,808,824,"1,013",891,996,"1,487"
2020년08월_계_90~99세,"2,010",249,132,93,170,49,107,141,58,70,0,2,0,2,0,118,117,100,161,124,140,177
2020년08월_계_100세 이상,196,28,42,13,14,3,9,15,11,2,0,0,0,0,0,15,11,4,11,10,1,7
2020년08월_남_총인구수,"232,919","24,699","7,005","5,784","15,291","5,797","7,255","6,298","2,054","4,073",0,286,0,87,0,"11,856","16,341","14,038","20,762","22,318","30,476","38,499"
