,서울특별시 서대문구,서울특별시 서대문구 천연동,서울특별시 서대문구 북아현동,서울특별시 서대문구 충현동,서울특별시 서대문구 신촌동,서울특별시 서대문구 연희동,서울특별시 서대문구 홍제제1동,서울특별시 서대문구 홍제제3동,서울특별시 서대문구 홍제제2동,서울특별시 서대문구 홍은제1동,서울특별시 서대문구 홍은제2동,서울특별시 서대문구 남가좌제1동,서울특별시 서대문구 남가좌제2동,서울특별시 서대문구 북가좌제1동,서울특별시 서대문구 북가좌제2동
2020년07월_계_총인구수,"312,264","18,159","16,977","17,870","18,963","37,657","24,513","15,964","14,390","23,006","27,239","16,043","29,904","18,646","32,933"
2020년07월_계_연령구간인구수,"312,264","18,159","16,977","17,870","18,963","37,657","24,513","15,964","14,390","23,006","27,239","16,043","29,904","18,646","32,933"
2020년07월_계_0~9세,"20,368","1,329","1,471",763,783,"1,756","1,618",809,870,"1,487","1,355","2,178","2,717","1,489","1,743"
2020년07월_계_10~19세,"24,204","1,542","1,140","1,195",944,"2,632","1,971","1,162","1,132","1,851","2,256","1,441","2,436","1,985","2,517"
2020년07월_계_20~29세,"50,100","2,282","2,446","3,132","7,076","7,821","3,175","2,149","1,878","2,955","4,243","1,617","4,273","2,183","4,870"
2020년07월_계_30~39세,"45,126","2,491","2,973","2,561","3,184","5,794","3,517","2,012","1,941","2,932","3,562","2,580","4,630","2,503","4,446"
2020년07월_계_40~49세,"47,846","2,913","2,751","2,571","1,992","5,399","3,840","2,263","2,138","3,447","4,104","3,049","4,932","3,336","5,111"
2020년07월_계_50~59세,"49,530","3,048","2,828","2,996","2,000","5,482","4,116","2,733","2,597","4,044","4,602","2,174","4,388","3,000","5,522"
2020년07월_계_60~69세,"37,767","2,160","1,784","2,414","1,380","4,226","3,211","2,308","1,933","3,204","3,674","1,546","3,258","2,149","4,520"
2020년07월_계_70~79세,"24,481","1,479","1,042","1,399","1,014","2,967","2,027","1,623","1,261","1,997","2,229",967,"2,166","1,359","2,951"
2020년07월_계_80~89세,"10,947",777,439,672,477,"1,347",901,796,552,933,"1,047",419,934,551,"1,102"
2020년07월_계_90~99세,"1,612",108,75,130,89,202,125,89,84,138,146,57,147,81,141
2020년07월_계_100세 이상,283,30,28,37,24,31,12,20,4,18,21,15,23,10,10
2020년07월_남_총인구수,"149,674","8,637","8,107","8,581","8,482","18,183","11,533","7,777","6,854","11,139","13,187","7,733","14,439","9,001","16,021"
2020년07월_남_연령구간인구수,"149,674","8,637","8,107","8,581","8,482","18,183","11,533","7,777","6,854","11,139","13,187","7,733","14,439","9,001","16,021"
2020년07월_남_0~9세,"10,428",677,757,385,433,899,818,426,459,751,691,"1,085","1,365",779,903
2020년07월_남_10~19세,"12,103",750,554,593,425,"1,340",959,618,561,945,"1,136",684,"1,200","1,046","1,292"
2020년07월_남_20~29세,"24,150","1,125","1,115","1,505","2,793","4,015","1,568","1,074",942,"1,464","2,151",798,"2,089","1,052","2,459"
2020년07월_남_30~39세,"22,398","1,223","1,455","1,263","1,566","2,910","1,703","1,059",974,"1,497","1,876","1,149","2,258","1,173","2,292"
2020년07월_남_40~49세,"23,640","1,427","1,362","1,293",981,"2,577","1,844","1,141","1,018","1,690","2,015","1,620","2,505","1,662","2,505"
2020년07월_남_50~59세,"24,019","1,514","1,412","1,483",999,"2,610","1,902","1,367","1,247","1,998","2,196","1,065","2,153","1,431","2,642"
2020년07월_남_60~69세,"17,767","1,027",845,"1,147",630,"1,965","1,490","1,081",920,"1,540","1,681",712,"1,533","1,030","2,166"
2020년07월_남_70~79세,"10,448",587,426,606,431,"1,260",866,670,507,864,993,421,928,590,"1,299"
2020년07월_남_80~89세,"4,190",266,156,264,190,524,345,303,201,344,410,179,366,218,424
2020년07월_남_90~99세,456,33,22,30,27,74,37,29,23,41,35,16,37,18,34
2020년07월_남_100세 이상,75,8,3,12,7,9,1,9,2,5,3,4,5,2,5
2020년07월_여_총인구수,"162,590","9,522","8,870","9,289","10,481","19,474","12,980","8,187","7,536","11,867","14,052","8,310","15,465","9,645","16,912"
2020년07월_여_연령구간인구수,"162,590","9,522","8,870","9,289","10,481","19,474","12,980","8,187","7,536","11,867","14,052","8,310","15,465","9,645","16,912"
2020년07월_여_0~9세,"9,940",652,714,378,350,857,800,383,411,736,664,"1,093","1,352",710,840
2020년07월_여_10~19세,"12,101",792,586,602,519,"1,292","1,012",544,571,906,"1,120",757,"1,236",939,"1,225"
2020년07월_여_20~29세,"25,950","1,157","1,331","1,627","4,283","3,806","1,607","1,075",936,"1,491","2,092",819,"2,184","1,131","2,411"
2020년07월_여_30~39세,"22,728","1,268","1,518","1,298","1,618","2,884","1,814",953,967,"1,435","1,686","1,431","2,372","1,330","2,154"
2020년07월_여_40~49세,"24,206","1,486","1,389","1,278","1,011","2,822","1,996","1,122","1,120","1,757","2,089","1,429","2,427","1,674","2,606"
2020년07월_여_50~59세,"25,511","1,534","1,416","1,513","1,001","2,872","2,214","1,366","1,350","2,046","2,406","1,109","2,235","1,569","2,880"
2020년07월_여_60~69세,"20,000","1,133",939,"1,267",750,"2,261","1,721","1,227","1,013","1,664","1,993",834,"1,725","1,119","2,354"
2020년07월_여_70~79세,"14,033",892,616,793,583,"1,707","1,161",953,754,"1,133","1,236",546,"1,238",769,"1,652"
2020년07월_여_80~89세,"6,757",511,283,408,287,823,556,493,351,589,637,240,568,333,678
2020년07월_여_90~99세,"1,156",75,53,100,62,128,88,60,61,97,111,41,110,63,107
2020년07월_여_100세 이상,208,22,25,25,17,22,11,11,2,13,18,11,18,8,5
