,충청남도 당진시,충청남도 당진시 합덕읍,충청남도 당진시 송악읍,충청남도 당진시 고대면,충청남도 당진시 석문면,충청남도 당진시 대호지면,충청남도 당진시 정미면,충청남도 당진시 면천면,충청남도 당진시 순성면,충청남도 당진시 우강면,충청남도 당진시 신평면,충청남도 당진시 송산면,충청남도 당진시 당진1동,충청남도 당진시 당진2동,충청남도 당진시 당진3동
2021년07월_계_총인구수,"166,937","8,880","30,268","5,381","9,692","2,416","3,624","3,535","5,029","5,101","15,476","11,728","24,817","22,878","18,112"
2021년07월_계_연령구간인구수,"166,937","8,880","30,268","5,381","9,692","2,416","3,624","3,535","5,029","5,101","15,476","11,728","24,817","22,878","18,112"
2021년07월_계_0~9세,"14,941",303,"3,808",159,387,58,104,93,150,173,"1,366","1,075","2,445","2,890","1,930"
2021년07월_계_10~19세,"15,722",572,"2,674",275,477,89,179,189,305,309,"1,793",974,"2,546","2,637","2,703"
2021년07월_계_20~29세,"16,036",662,"2,268",385,908,134,288,216,346,390,"1,387",989,"3,474","2,404","2,185"
2021년07월_계_30~39세,"22,161",659,"5,223",281,"1,092",130,203,221,264,304,"1,526","1,851","4,450","3,615","2,342"
2021년07월_계_40~49세,"26,952","1,091","5,511",521,"1,336",199,315,353,497,574,"2,569","2,020","4,372","4,050","3,544"
2021년07월_계_50~59세,"26,125","1,516","4,499",912,"1,933",338,582,635,932,819,"2,472","1,849","3,542","3,256","2,840"
2021년07월_계_60~69세,"22,317","1,826","3,422","1,263","1,837",628,859,838,"1,104","1,113","2,177","1,481","2,218","2,181","1,370"
2021년07월_계_70~79세,"13,287","1,293","1,704",861,"1,002",489,606,577,775,802,"1,306",861,"1,165","1,128",718
2021년07월_계_80~89세,"8,178",827,"1,022",625,623,305,418,350,565,547,771,547,531,628,419
2021년07월_계_90~99세,"1,167",124,135,94,91,43,69,63,87,69,106,77,73,77,59
2021년07월_계_100세 이상,51,7,2,5,6,3,1,0,4,1,3,4,1,12,2
2021년07월_남_총인구수,"88,753","4,671","16,785","2,753","5,725","1,213","1,858","1,819","2,534","2,567","7,873","6,721","13,246","11,647","9,341"
2021년07월_남_연령구간인구수,"88,753","4,671","16,785","2,753","5,725","1,213","1,858","1,819","2,534","2,567","7,873","6,721","13,246","11,647","9,341"
2021년07월_남_0~9세,"7,590",165,"1,964",85,198,38,44,43,67,78,690,521,"1,229","1,497",971
2021년07월_남_10~19세,"8,260",318,"1,409",142,255,47,89,100,162,169,913,508,"1,337","1,381","1,430"
2021년07월_남_20~29세,"9,376",393,"1,339",214,628,84,175,139,190,239,782,638,"2,014","1,285","1,256"
2021년07월_남_30~39세,"12,691",407,"2,935",157,753,80,122,125,154,177,792,"1,211","2,639","1,903","1,236"
2021년07월_남_40~49세,"15,154",660,"3,346",308,927,125,177,211,294,331,"1,366","1,270","2,338","2,069","1,732"
2021년07월_남_50~59세,"14,721",874,"2,715",524,"1,229",175,320,355,511,446,"1,366","1,142","1,825","1,714","1,525"
2021년07월_남_60~69세,"11,498",896,"1,854",647,"1,018",307,456,418,555,565,"1,087",813,"1,134","1,062",686
2021년07월_남_70~79세,"6,244",610,835,414,469,234,298,295,382,355,585,390,520,515,342
2021년07월_남_80~89세,"2,919",314,350,237,226,112,164,121,193,184,268,207,192,210,141
2021년07월_남_90~99세,291,34,38,24,20,10,13,12,26,22,23,21,18,9,21
2021년07월_남_100세 이상,9,0,0,1,2,1,0,0,0,1,1,0,0,2,1
2021년07월_여_총인구수,"78,184","4,209","13,483","2,628","3,967","1,203","1,766","1,716","2,495","2,534","7,603","5,007","11,571","11,231","8,771"
2021년07월_여_연령구간인구수,"78,184","4,209","13,483","2,628","3,967","1,203","1,766","1,716","2,495","2,534","7,603","5,007","11,571","11,231","8,771"
2021년07월_여_0~9세,"7,351",138,"1,844",74,189,20,60,50,83,95,676,554,"1,216","1,393",959
2021년07월_여_10~19세,"7,462",254,"1,265",133,222,42,90,89,143,140,880,466,"1,209","1,256","1,273"
2021년07월_여_20~29세,"6,660",269,929,171,280,50,113,77,156,151,605,351,"1,460","1,119",929
2021년07월_여_30~39세,"9,470",252,"2,288",124,339,50,81,96,110,127,734,640,"1,811","1,712","1,106"
2021년07월_여_40~49세,"11,798",431,"2,165",213,409,74,138,142,203,243,"1,203",750,"2,034","1,981","1,812"
2021년07월_여_50~59세,"11,404",642,"1,784",388,704,163,262,280,421,373,"1,106",707,"1,717","1,542","1,315"
2021년07월_여_60~69세,"10,819",930,"1,568",616,819,321,403,420,549,548,"1,090",668,"1,084","1,119",684
2021년07월_여_70~79세,"7,043",683,869,447,533,255,308,282,393,447,721,471,645,613,376
2021년07월_여_80~89세,"5,259",513,672,388,397,193,254,229,372,363,503,340,339,418,278
2021년07월_여_90~99세,876,90,97,70,71,33,56,51,61,47,83,56,55,68,38
2021년07월_여_100세 이상,42,7,2,4,4,2,1,0,4,0,2,4,1,10,1
