카테고리,경상북도 문경시,경상북도 문경시 문경읍,경상북도 문경시 문경읍갈평출장소,경상북도 문경시 가은읍,경상북도 문경시 가은읍북부출장소,경상북도 문경시 영순면,경상북도 문경시 산양면,경상북도 문경시 호계면,경상북도 문경시 산북면,경상북도 문경시 동로면,경상북도 문경시 마성면,경상북도 문경시 농암면,경상북도 문경시 점촌1동,경상북도 문경시 점촌2동,경상북도 문경시 점촌3동,경상북도 문경시 점촌4동,경상북도 문경시 점촌5동
2020년10월_계_총인구수,"71,318","5,828","1,122","3,190",822,"2,470","3,042","2,399","2,764","1,946","3,564","2,613","5,896","7,088","9,092","3,167","16,315"
2020년10월_계_연령구간인구수,"71,318","5,828","1,122","3,190",822,"2,470","3,042","2,399","2,764","1,946","3,564","2,613","5,896","7,088","9,092","3,167","16,315"
2020년10월_계_0~9세,"4,090",218,43,105,12,57,86,40,55,84,85,74,381,428,678,129,"1,615"
2020년10월_계_10~19세,"5,624",338,62,155,39,285,129,154,108,76,127,92,415,575,861,152,"2,056"
2020년10월_계_20~29세,"6,130",399,69,154,29,149,182,319,142,104,211,116,543,608,850,218,"2,037"
2020년10월_계_30~39세,"5,763",365,48,160,43,106,163,106,122,94,216,133,604,638,818,243,"1,904"
2020년10월_계_40~49세,"8,809",608,109,261,81,177,254,188,229,167,306,189,715,881,"1,338",333,"2,973"
2020년10월_계_50~59세,"12,036","1,046",228,538,174,345,483,388,493,364,607,498,993,"1,150","1,564",542,"2,623"
2020년10월_계_60~69세,"13,283","1,249",261,711,196,561,708,530,614,493,759,645,"1,131","1,396","1,538",668,"1,823"
2020년10월_계_70~79세,"9,312","1,004",174,592,151,385,553,363,541,324,719,474,730,944,930,538,890
2020년10월_계_80~89세,"5,404",509,111,431,80,347,409,269,397,211,470,321,346,414,453,300,336
2020년10월_계_90~99세,811,81,17,80,16,57,73,41,59,29,57,64,35,46,57,42,57
2020년10월_계_100세 이상,56,11,0,3,1,1,2,1,4,0,7,7,3,8,5,2,1
2020년10월_남_총인구수,"34,924","2,823",566,"1,551",425,"1,283","1,511","1,144","1,375",992,"1,691","1,201","2,892","3,421","4,507","1,582","7,960"
2020년10월_남_연령구간인구수,"34,924","2,823",566,"1,551",425,"1,283","1,511","1,144","1,375",992,"1,691","1,201","2,892","3,421","4,507","1,582","7,960"
2020년10월_남_0~9세,"2,128",100,21,49,6,28,42,24,33,42,40,38,216,228,362,59,840
2020년10월_남_10~19세,"3,031",180,32,95,23,184,69,76,60,43,69,48,230,294,500,87,"1,041"
2020년10월_남_20~29세,"3,452",249,44,96,15,83,116,134,90,62,119,69,319,356,511,127,"1,062"
2020년10월_남_30~39세,"3,054",204,25,87,18,64,91,60,74,54,130,75,320,350,416,137,949
2020년10월_남_40~49세,"4,722",340,65,145,47,108,166,111,145,109,196,119,389,463,700,209,"1,410"
2020년10월_남_50~59세,"6,215",546,132,287,102,205,275,218,290,183,337,240,473,573,748,309,"1,297"
2020년10월_남_60~69세,"6,408",585,132,378,119,288,347,276,319,283,374,318,495,609,699,322,864
2020년10월_남_70~79세,"4,023",425,77,256,65,188,254,147,238,136,290,197,315,409,398,242,386
2020년10월_남_80~89세,"1,712",174,36,136,29,123,139,90,112,74,121,82,127,130,157,85,97
2020년10월_남_90~99세,164,16,2,22,1,12,12,8,12,6,11,13,8,7,15,5,14
2020년10월_남_100세 이상,15,4,0,0,0,0,0,0,2,0,4,2,0,2,1,0,0
2020년10월_여_총인구수,"36,394","3,005",556,"1,639",397,"1,187","1,531","1,255","1,389",954,"1,873","1,412","3,004","3,667","4,585","1,585","8,355"
2020년10월_여_연령구간인구수,"36,394","3,005",556,"1,639",397,"1,187","1,531","1,255","1,389",954,"1,873","1,412","3,004","3,667","4,585","1,585","8,355"
2020년10월_여_0~9세,"1,962",118,22,56,6,29,44,16,22,42,45,36,165,200,316,70,775
2020년10월_여_10~19세,"2,593",158,30,60,16,101,60,78,48,33,58,44,185,281,361,65,"1,015"
2020년10월_여_20~29세,"2,678",150,25,58,14,66,66,185,52,42,92,47,224,252,339,91,975
2020년10월_여_30~39세,"2,709",161,23,73,25,42,72,46,48,40,86,58,284,288,402,106,955
2020년10월_여_40~49세,"4,087",268,44,116,34,69,88,77,84,58,110,70,326,418,638,124,"1,563"
2020년10월_여_50~59세,"5,821",500,96,251,72,140,208,170,203,181,270,258,520,577,816,233,"1,326"
2020년10월_여_60~69세,"6,875",664,129,333,77,273,361,254,295,210,385,327,636,787,839,346,959
2020년10월_여_70~79세,"5,289",579,97,336,86,197,299,216,303,188,429,277,415,535,532,296,504
2020년10월_여_80~89세,"3,692",335,75,295,51,224,270,179,285,137,349,239,219,284,296,215,239
2020년10월_여_90~99세,647,65,15,58,15,45,61,33,47,23,46,51,27,39,42,37,43
2020년10월_여_100세 이상,41,7,0,3,1,1,2,1,2,0,3,5,3,6,4,2,1
