카테고리,인천광역시 동구,인천광역시 동구 만석동,인천광역시 동구 화수1.화평동,인천광역시 동구 화수2동,인천광역시 동구 송현1.2동,인천광역시 동구 송현3동,인천광역시 동구 송림1동,인천광역시 동구 송림2동,인천광역시 동구 송림3.5동,인천광역시 동구 송림4동,인천광역시 동구 송림6동,인천광역시 동구 금창동
2020년11월_계_총인구수,"62,747","7,146","6,254","7,915","10,786","3,775","1,702","3,022","8,092","4,154","6,802","3,099"
2020년11월_계_연령구간인구수,"62,747","7,146","6,254","7,915","10,786","3,775","1,702","3,022","8,092","4,154","6,802","3,099"
2020년11월_계_0~9세,"3,812",474,266,373,865,141,97,83,500,308,596,109
2020년11월_계_10~19세,"5,094",610,486,632,927,222,114,172,719,436,576,200
2020년11월_계_20~29세,"6,645",787,726,811,"1,210",415,172,277,838,468,619,322
2020년11월_계_30~39세,"6,927",807,562,782,"1,477",364,175,226,904,513,869,248
2020년11월_계_40~49세,"10,086","1,221",910,"1,234","1,834",524,263,385,"1,380",735,"1,169",431
2020년11월_계_50~59세,"10,165","1,187","1,080","1,299","1,617",691,254,518,"1,288",737,"1,036",458
2020년11월_계_60~69세,"9,987","1,063","1,080","1,362","1,515",702,298,622,"1,223",547,981,594
2020년11월_계_70~79세,"6,698",637,768,958,969,452,210,452,845,290,628,489
2020년11월_계_80~89세,"2,821",301,310,409,317,241,102,247,330,92,269,203
2020년11월_계_90~99세,439,49,55,48,44,23,16,34,58,23,53,36
2020년11월_계_100세 이상,73,10,11,7,11,0,1,6,7,5,6,9
2020년11월_남_총인구수,"31,690","3,679","3,162","3,919","5,343","1,934",839,"1,552","4,138","2,148","3,410","1,566"
2020년11월_남_연령구간인구수,"31,690","3,679","3,162","3,919","5,343","1,934",839,"1,552","4,138","2,148","3,410","1,566"
2020년11월_남_0~9세,"2,023",260,147,194,435,72,50,50,279,162,316,58
2020년11월_남_10~19세,"2,631",316,253,307,491,109,52,79,370,216,320,118
2020년11월_남_20~29세,"3,619",440,391,434,645,236,100,170,487,231,319,166
2020년11월_남_30~39세,"3,671",418,299,427,748,201,96,129,489,291,436,137
2020년11월_남_40~49세,"5,446",663,475,684,956,300,141,228,720,393,637,249
2020년11월_남_50~59세,"5,414",659,589,683,786,381,129,296,697,400,541,253
2020년11월_남_60~69세,"4,802",536,526,637,698,358,150,292,580,273,464,288
2020년11월_남_70~79세,"2,965",277,350,403,452,189,86,207,369,140,282,210
2020년11월_남_80~89세,986,94,118,138,118,78,30,90,128,33,88,71
2020년11월_남_90~99세,110,13,12,11,9,10,5,9,17,6,7,11
2020년11월_남_100세 이상,23,3,2,1,5,0,0,2,2,3,0,5
2020년11월_여_총인구수,"31,057","3,467","3,092","3,996","5,443","1,841",863,"1,470","3,954","2,006","3,392","1,533"
2020년11월_여_연령구간인구수,"31,057","3,467","3,092","3,996","5,443","1,841",863,"1,470","3,954","2,006","3,392","1,533"
2020년11월_여_0~9세,"1,789",214,119,179,430,69,47,33,221,146,280,51
2020년11월_여_10~19세,"2,463",294,233,325,436,113,62,93,349,220,256,82
2020년11월_여_20~29세,"3,026",347,335,377,565,179,72,107,351,237,300,156
2020년11월_여_30~39세,"3,256",389,263,355,729,163,79,97,415,222,433,111
2020년11월_여_40~49세,"4,640",558,435,550,878,224,122,157,660,342,532,182
2020년11월_여_50~59세,"4,751",528,491,616,831,310,125,222,591,337,495,205
2020년11월_여_60~69세,"5,185",527,554,725,817,344,148,330,643,274,517,306
2020년11월_여_70~79세,"3,733",360,418,555,517,263,124,245,476,150,346,279
2020년11월_여_80~89세,"1,835",207,192,271,199,163,72,157,202,59,181,132
2020년11월_여_90~99세,329,36,43,37,35,13,11,25,41,17,46,25
2020년11월_여_100세 이상,50,7,9,6,6,0,1,4,5,2,6,4
