카테고리,충청북도 보은군,충청북도 보은군 보은읍,충청북도 보은군 속리산면,충청북도 보은군 장안면,충청북도 보은군 마로면,충청북도 보은군 탄부면,충청북도 보은군 삼승면,충청북도 보은군 수한면,충청북도 보은군 회남면,충청북도 보은군 회인면,충청북도 보은군 내북면,충청북도 보은군 산외면
2021년01월_계_총인구수,"32,364","14,899","1,902","1,462","2,190","1,661","2,297","1,934",754,"1,765","1,705","1,795"
2021년01월_계_연령구간인구수,"32,364","14,899","1,902","1,462","2,190","1,661","2,297","1,934",754,"1,765","1,705","1,795"
2021년01월_계_0~9세,"1,445","1,006",32,76,53,24,58,46,24,55,34,37
2021년01월_계_10~19세,"2,098","1,329",83,75,89,57,133,93,25,67,69,78
2021년01월_계_20~29세,"2,363","1,399",115,105,86,86,149,108,26,85,104,100
2021년01월_계_30~39세,"2,194","1,290",92,139,92,67,165,102,24,58,80,85
2021년01월_계_40~49세,"3,304","1,947",155,158,152,105,193,156,54,122,111,151
2021년01월_계_50~59세,"5,850","2,682",401,252,381,258,380,328,138,331,337,362
2021년01월_계_60~69세,"6,874","2,553",482,270,553,426,537,518,227,449,415,444
2021년01월_계_70~79세,"4,582","1,555",343,204,435,344,379,299,141,317,289,276
2021년01월_계_80~89세,"3,130",984,159,155,305,260,279,236,82,236,216,218
2021년01월_계_90~99세,497,143,37,26,41,32,23,47,13,44,49,42
2021년01월_계_100세 이상,27,11,3,2,3,2,1,1,0,1,1,2
2021년01월_남_총인구수,"16,271","7,415",982,766,"1,045",808,"1,166",973,405,879,880,952
2021년01월_남_연령구간인구수,"16,271","7,415",982,766,"1,045",808,"1,166",973,405,879,880,952
2021년01월_남_0~9세,738,501,17,40,27,15,28,26,13,29,18,24
2021년01월_남_10~19세,"1,120",717,42,32,48,31,71,46,15,34,40,44
2021년01월_남_20~29세,"1,390",794,73,72,47,49,93,60,14,55,66,67
2021년01월_남_30~39세,"1,199",650,58,90,52,42,110,62,12,28,41,54
2021년01월_남_40~49세,"1,858","1,032",98,90,93,66,120,91,34,86,68,80
2021년01월_남_50~59세,"3,209","1,414",216,153,206,153,211,178,84,189,199,206
2021년01월_남_60~69세,"3,536","1,265",257,132,276,202,271,290,124,231,235,253
2021년01월_남_70~79세,"2,050",678,147,95,188,151,161,140,77,147,122,144
2021년01월_남_80~89세,"1,066",335,66,55,96,90,98,77,32,71,76,70
2021년01월_남_90~99세,104,29,7,7,12,9,3,3,0,9,15,10
2021년01월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2021년01월_여_총인구수,"16,093","7,484",920,696,"1,145",853,"1,131",961,349,886,825,843
2021년01월_여_연령구간인구수,"16,093","7,484",920,696,"1,145",853,"1,131",961,349,886,825,843
2021년01월_여_0~9세,707,505,15,36,26,9,30,20,11,26,16,13
2021년01월_여_10~19세,978,612,41,43,41,26,62,47,10,33,29,34
2021년01월_여_20~29세,973,605,42,33,39,37,56,48,12,30,38,33
2021년01월_여_30~39세,995,640,34,49,40,25,55,40,12,30,39,31
2021년01월_여_40~49세,"1,446",915,57,68,59,39,73,65,20,36,43,71
2021년01월_여_50~59세,"2,641","1,268",185,99,175,105,169,150,54,142,138,156
2021년01월_여_60~69세,"3,338","1,288",225,138,277,224,266,228,103,218,180,191
2021년01월_여_70~79세,"2,532",877,196,109,247,193,218,159,64,170,167,132
2021년01월_여_80~89세,"2,064",649,93,100,209,170,181,159,50,165,140,148
2021년01월_여_90~99세,393,114,30,19,29,23,20,44,13,35,34,32
2021년01월_여_100세 이상,26,11,2,2,3,2,1,1,0,1,1,2
