카테고리,서울특별시 강동구,서울특별시 강동구 강일동,서울특별시 강동구 상일제1동,서울특별시 강동구 상일제2동,서울특별시 강동구 명일제1동,서울특별시 강동구 명일제2동,서울특별시 강동구 고덕제1동,서울특별시 강동구 고덕제2동,서울특별시 강동구 암사제1동,서울특별시 강동구 암사제2동,서울특별시 강동구 암사제3동,서울특별시 강동구 천호제1동,서울특별시 강동구 천호제2동,서울특별시 강동구 천호제3동,서울특별시 강동구 성내제1동,서울특별시 강동구 성내제2동,서울특별시 강동구 성내제3동,서울특별시 강동구 길동,서울특별시 강동구 둔촌제1동,서울특별시 강동구 둔촌제2동
2021년09월_계_총인구수,"464,163","32,508","38,940","10,053","25,870","17,494","24,789","22,403","34,615","15,189","17,903","26,961","33,367","26,355","20,091","23,759","23,272","45,722",134,"24,738"
2021년09월_계_연령구간인구수,"464,163","32,508","38,940","10,053","25,870","17,494","24,789","22,403","34,615","15,189","17,903","26,961","33,367","26,355","20,091","23,759","23,272","45,722",134,"24,738"
2021년09월_계_0~9세,"34,839","3,017","5,076",869,"2,137","1,107","2,772","2,541","2,064","1,358","1,863","1,347","1,616","1,278","1,511","1,028","1,198","2,373",3,"1,681"
2021년09월_계_10~19세,"38,975","3,624","4,021","1,308","2,441","2,472","3,514","1,994","2,541","1,001","1,924","1,728","1,757","1,222","1,687","1,137","1,739","2,830",6,"2,029"
2021년09월_계_20~29세,"61,144","3,600","3,968","1,488","3,092","2,260","2,243","2,303","4,754","1,909","1,917","3,722","4,941","4,312","2,773","3,844","3,593","7,035",16,"3,374"
2021년09월_계_30~39세,"71,743","4,676","5,974","1,377","3,978","1,906","3,060","3,812","5,001","2,808","2,371","3,941","6,100","4,789","3,239","4,213","3,489","7,381",14,"3,614"
2021년09월_계_40~49세,"74,953","5,299","7,335","1,548","4,176","3,073","5,324","3,974","5,454","2,374","3,248","3,983","4,827","3,727","3,266","3,321","3,554","6,767",24,"3,679"
2021년09월_계_50~59세,"71,862","4,636","5,415","1,477","4,013","2,712","3,397","3,234","5,857","2,250","2,653","4,515","5,386","4,147","3,039","3,756","3,966","7,288",20,"4,101"
2021년09월_계_60~69세,"66,244","4,473","4,868","1,013","3,705","2,548","2,799","2,911","5,139","1,983","2,414","4,527","5,022","3,977","2,674","3,750","3,352","7,286",30,"3,773"
2021년09월_계_70~79세,"31,344","2,174","1,699",613,"1,650","1,010","1,094","1,160","2,708","1,097","1,074","2,271","2,652","2,057","1,359","1,902","1,703","3,390",12,"1,719"
2021년09월_계_80~89세,"11,082",834,482,299,562,320,443,398,949,363,369,792,938,747,465,716,587,"1,176",4,638
2021년09월_계_90~99세,"1,854",170,98,57,112,83,115,74,139,44,66,131,126,91,76,83,84,185,4,116
