카테고리,대구광역시 북구,대구광역시 북구 고성동,대구광역시 북구 칠성동,대구광역시 북구 침산1동,대구광역시 북구 침산2동,대구광역시 북구 침산3동,대구광역시 북구 산격1동,대구광역시 북구 산격2동,대구광역시 북구 산격3동,대구광역시 북구 산격4동,대구광역시 북구 대현동,대구광역시 북구 복현1동,대구광역시 북구 복현2동,대구광역시 북구 검단동,대구광역시 북구 무태조야동,대구광역시 북구 관문동,대구광역시 북구 태전1동,대구광역시 북구 태전2동,대구광역시 북구 구암동,대구광역시 북구 관음동,대구광역시 북구 읍내동,대구광역시 북구 동천동,대구광역시 북구 노원동,대구광역시 북구 국우동
2021년07월_계_총인구수,"437,083","4,911","23,329","4,159","19,148","20,132","9,341","10,975","9,072","8,514","18,083","7,653","30,104","6,566","36,736","37,042","22,400","24,817","36,054","16,846","26,714","28,768","11,822","23,897"
2021년07월_계_연령구간인구수,"437,083","4,911","23,329","4,159","19,148","20,132","9,341","10,975","9,072","8,514","18,083","7,653","30,104","6,566","36,736","37,042","22,400","24,817","36,054","16,846","26,714","28,768","11,822","23,897"
2021년07월_계_0~9세,"32,656",353,"2,303",166,"2,114","1,706",246,576,270,292,"1,107",162,"2,354",293,"3,453","4,428","1,318","1,547","2,569",873,"1,624","2,224",598,"2,080"
2021년07월_계_10~19세,"42,252",344,"2,013",196,"2,294","2,215",430,871,452,466,"1,136",343,"3,121",392,"3,898","3,199","1,713","2,425","4,851","1,536","2,393","4,302",594,"3,068"
2021년07월_계_20~29세,"61,610",564,"2,857",475,"2,093","2,361",978,"1,645","2,554","1,266","2,862","2,374","4,343",707,"4,235","3,823","3,893","3,635","5,364","2,364","4,245","4,141","1,315","3,516"
2021년07월_계_30~39세,"52,822",680,"3,604",466,"2,681","2,264",729,"1,140","1,138","1,039","2,048","1,049","3,898",777,"4,738","6,140","2,635","2,706","3,394","1,607","3,058","2,808","1,531","2,692"
2021년07월_계_40~49세,"70,923",680,"4,060",465,"3,703","3,430","1,087","1,422","1,038",990,"2,596",817,"4,812",871,"6,915","6,473","3,090","3,924","6,550","2,428","3,658","5,770","1,574","4,570"
2021년07월_계_50~59세,"77,620",776,"3,260",851,"2,786","3,436","1,820","2,194","1,218","1,509","2,896","1,191","5,214","1,156","6,376","5,884","4,166","4,649","7,254","3,501","5,396","5,545","2,267","4,275"
2021년07월_계_60~69세,"56,412",783,"2,695",923,"1,950","2,492","2,047","1,785","1,263","1,616","2,753","1,010","3,936","1,327","4,206","4,395","3,228","3,501","3,558","2,731","3,807","2,152","2,255","1,999"
2021년07월_계_70~79세,"28,541",502,"1,592",422,"1,010","1,493","1,334",916,755,916,"1,722",478,"1,622",695,"2,085","1,909","1,533","1,667","1,643","1,150","1,605","1,153","1,251","1,088"
2021년07월_계_80~89세,"12,731",195,827,169,470,659,615,379,343,373,846,207,703,313,734,695,738,676,783,604,842,629,389,542
2021년07월_계_90~99세,"1,463",33,116,24,45,73,53,45,40,46,103,21,99,34,95,93,85,84,87,49,82,44,46,66
2021년07월_계_100세 이상,53,1,2,2,2,3,2,2,1,1,14,1,2,1,1,3,1,3,1,3,4,0,2,1
2021년07월_남_총인구수,"217,540","2,380","11,240","2,221","9,232","9,737","4,635","5,373","4,705","4,472","9,144","4,170","14,880","3,270","18,733","18,475","11,252","12,185","17,765","8,502","13,255","13,986","6,147","11,781"
2021년07월_남_연령구간인구수,"217,540","2,380","11,240","2,221","9,232","9,737","4,635","5,373","4,705","4,472","9,144","4,170","14,880","3,270","18,733","18,475","11,252","12,185","17,765","8,502","13,255","13,986","6,147","11,781"
2021년07월_남_0~9세,"16,711",168,"1,133",86,"1,060",893,129,283,141,156,546,89,"1,200",145,"1,820","2,289",686,804,"1,269",448,843,"1,155",294,"1,074"
2021년07월_남_10~19세,"21,963",163,"1,016",116,"1,171","1,130",231,453,230,264,579,179,"1,631",203,"2,017","1,632",914,"1,275","2,542",807,"1,288","2,218",295,"1,609"
2021년07월_남_20~29세,"33,268",301,"1,379",277,"1,075","1,263",569,917,"1,369",733,"1,722","1,395","2,346",407,"2,244","2,046","2,045","1,919","2,909","1,316","2,298","2,230",721,"1,787"
2021년07월_남_30~39세,"27,778",356,"1,790",281,"1,249","1,099",432,617,713,654,"1,145",653,"2,038",457,"2,432","3,089","1,464","1,478","1,691",906,"1,663","1,333",889,"1,349"
2021년07월_남_40~49세,"34,826",363,"2,024",261,"1,775","1,603",613,693,597,570,"1,369",472,"2,280",470,"3,522","3,359","1,537","1,894","3,001","1,208","1,658","2,505",884,"2,168"
2021년07월_남_50~59세,"38,568",404,"1,582",444,"1,372","1,678",947,"1,020",621,766,"1,453",592,"2,497",564,"3,379","2,850","2,045","2,206","3,613","1,731","2,585","2,814","1,205","2,200"
2021년07월_남_60~69세,"27,348",338,"1,301",494,900,"1,178",977,853,588,739,"1,276",492,"1,904",613,"2,072","2,146","1,585","1,638","1,796","1,364","1,914","1,084","1,112",984
2021년07월_남_70~79세,"12,315",217,678,204,428,639,506,401,315,426,732,212,718,295,966,836,681,700,679,523,705,425,582,447
2021년07월_남_80~89세,"4,460",60,314,50,187,237,222,123,118,158,294,79,256,111,268,217,280,255,246,192,279,210,152,152
2021년07월_남_90~99세,295,10,22,8,15,17,9,13,13,6,23,6,10,5,13,11,15,16,19,7,21,12,13,11
2021년07월_남_100세 이상,8,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0
2021년07월_여_총인구수,"219,543","2,531","12,089","1,938","9,916","10,395","4,706","5,602","4,367","4,042","8,939","3,483","15,224","3,296","18,003","18,567","11,148","12,632","18,289","8,344","13,459","14,782","5,675","12,116"
2021년07월_여_연령구간인구수,"219,543","2,531","12,089","1,938","9,916","10,395","4,706","5,602","4,367","4,042","8,939","3,483","15,224","3,296","18,003","18,567","11,148","12,632","18,289","8,344","13,459","14,782","5,675","12,116"
2021년07월_여_0~9세,"15,945",185,"1,170",80,"1,054",813,117,293,129,136,561,73,"1,154",148,"1,633","2,139",632,743,"1,300",425,781,"1,069",304,"1,006"
2021년07월_여_10~19세,"20,289",181,997,80,"1,123","1,085",199,418,222,202,557,164,"1,490",189,"1,881","1,567",799,"1,150","2,309",729,"1,105","2,084",299,"1,459"
2021년07월_여_20~29세,"28,342",263,"1,478",198,"1,018","1,098",409,728,"1,185",533,"1,140",979,"1,997",300,"1,991","1,777","1,848","1,716","2,455","1,048","1,947","1,911",594,"1,729"
2021년07월_여_30~39세,"25,044",324,"1,814",185,"1,432","1,165",297,523,425,385,903,396,"1,860",320,"2,306","3,051","1,171","1,228","1,703",701,"1,395","1,475",642,"1,343"
2021년07월_여_40~49세,"36,097",317,"2,036",204,"1,928","1,827",474,729,441,420,"1,227",345,"2,532",401,"3,393","3,114","1,553","2,030","3,549","1,220","2,000","3,265",690,"2,402"
2021년07월_여_50~59세,"39,052",372,"1,678",407,"1,414","1,758",873,"1,174",597,743,"1,443",599,"2,717",592,"2,997","3,034","2,121","2,443","3,641","1,770","2,811","2,731","1,062","2,075"
2021년07월_여_60~69세,"29,064",445,"1,394",429,"1,050","1,314","1,070",932,675,877,"1,477",518,"2,032",714,"2,134","2,249","1,643","1,863","1,762","1,367","1,893","1,068","1,143","1,015"
2021년07월_여_70~79세,"16,226",285,914,218,582,854,828,515,440,490,990,266,904,400,"1,119","1,073",852,967,964,627,900,728,669,641
2021년07월_여_80~89세,"8,271",135,513,119,283,422,393,256,225,215,552,128,447,202,466,478,458,421,537,412,563,419,237,390
2021년07월_여_90~99세,"1,168",23,94,16,30,56,44,32,27,40,80,15,89,29,82,82,70,68,68,42,61,32,33,55
2021년07월_여_100세 이상,45,1,1,2,2,3,2,2,1,1,9,0,2,1,1,3,1,3,1,3,3,0,2,1
