카테고리,경상남도 의령군,경상남도 의령군 의령읍,경상남도 의령군 가례면,경상남도 의령군 칠곡면,경상남도 의령군 대의면,경상남도 의령군 화정면,경상남도 의령군 용덕면,경상남도 의령군 정곡면,경상남도 의령군 지정면,경상남도 의령군 낙서면,경상남도 의령군 부림면,경상남도 의령군 봉수면,경상남도 의령군 궁류면,경상남도 의령군 유곡면
2021년05월_계_총인구수,"26,627","9,567","1,703","1,178","1,028","1,517","1,534","1,429","1,834",752,"2,806",985,"1,130","1,164"
2021년05월_계_연령구간인구수,"26,627","9,567","1,703","1,178","1,028","1,517","1,534","1,429","1,834",752,"2,806",985,"1,130","1,164"
2021년05월_계_0~9세,"1,037",672,30,18,30,26,34,42,38,16,78,25,12,16
2021년05월_계_10~19세,"1,484",911,51,29,25,53,54,38,52,29,153,32,31,26
2021년05월_계_20~29세,"1,964",985,99,77,67,112,83,82,108,27,200,43,40,41
2021년05월_계_30~39세,"1,715",946,87,57,47,62,91,52,82,29,135,51,34,42
2021년05월_계_40~49세,"2,784","1,472",126,78,66,131,126,109,147,52,273,69,54,81
2021년05월_계_50~59세,"4,520","1,627",305,213,176,272,275,240,299,103,511,129,187,183
2021년05월_계_60~69세,"5,633","1,480",439,311,245,358,377,355,486,219,570,230,269,294
2021년05월_계_70~79세,"3,929",869,282,207,188,253,247,257,335,138,503,206,226,218
2021년05월_계_80~89세,"3,085",536,242,157,157,219,210,221,257,121,329,173,238,225
2021년05월_계_90~99세,470,68,40,31,27,31,37,33,30,17,54,27,39,36
2021년05월_계_100세 이상,6,1,2,0,0,0,0,0,0,1,0,0,0,2
2021년05월_남_총인구수,"13,089","4,734",849,578,490,745,764,685,934,357,"1,349",518,529,557
2021년05월_남_연령구간인구수,"13,089","4,734",849,578,490,745,764,685,934,357,"1,349",518,529,557
2021년05월_남_0~9세,532,352,17,12,10,11,16,19,20,10,36,17,5,7
2021년05월_남_10~19세,791,484,27,17,16,27,24,18,28,19,79,20,18,14
2021년05월_남_20~29세,"1,114",517,54,49,43,76,47,42,64,17,123,29,30,23
2021년05월_남_30~39세,919,460,51,38,26,28,58,32,43,20,87,33,13,30
2021년05월_남_40~49세,"1,599",775,84,48,41,81,73,67,89,36,164,57,34,50
2021년05월_남_50~59세,"2,517",890,174,110,106,152,156,139,159,55,282,75,110,109
2021년05월_남_60~69세,"2,983",716,252,160,129,197,215,193,284,110,278,143,147,159
2021년05월_남_70~79세,"1,635",366,118,88,77,94,107,100,159,52,210,84,88,92
2021년05월_남_80~89세,904,156,62,50,38,73,62,64,83,37,86,54,78,61
2021년05월_남_90~99세,94,18,10,6,4,6,6,11,5,1,4,6,6,11
2021년05월_남_100세 이상,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2021년05월_여_총인구수,"13,538","4,833",854,600,538,772,770,744,900,395,"1,457",467,601,607
2021년05월_여_연령구간인구수,"13,538","4,833",854,600,538,772,770,744,900,395,"1,457",467,601,607
2021년05월_여_0~9세,505,320,13,6,20,15,18,23,18,6,42,8,7,9
2021년05월_여_10~19세,693,427,24,12,9,26,30,20,24,10,74,12,13,12
2021년05월_여_20~29세,850,468,45,28,24,36,36,40,44,10,77,14,10,18
2021년05월_여_30~39세,796,486,36,19,21,34,33,20,39,9,48,18,21,12
2021년05월_여_40~49세,"1,185",697,42,30,25,50,53,42,58,16,109,12,20,31
2021년05월_여_50~59세,"2,003",737,131,103,70,120,119,101,140,48,229,54,77,74
2021년05월_여_60~69세,"2,650",764,187,151,116,161,162,162,202,109,292,87,122,135
2021년05월_여_70~79세,"2,294",503,164,119,111,159,140,157,176,86,293,122,138,126
2021년05월_여_80~89세,"2,181",380,180,107,119,146,148,157,174,84,243,119,160,164
2021년05월_여_90~99세,376,50,30,25,23,25,31,22,25,16,50,21,33,25
2021년05월_여_100세 이상,5,1,2,0,0,0,0,0,0,1,0,0,0,1
