카테고리,광주광역시,광주광역시 동구,광주광역시 서구,광주광역시 남구,광주광역시 북구,광주광역시 광산구
2021년03월_계_총인구수,"1,445,473","102,467","294,691","213,776","429,600","404,939"
2021년03월_계_연령구간인구수,"1,445,473","102,467","294,691","213,776","429,600","404,939"
2021년03월_계_0~9세,"117,808","7,118","21,256","17,192","33,089","39,153"
2021년03월_계_10~19세,"155,277","7,300","30,906","22,641","42,434","51,996"
2021년03월_계_20~29세,"208,324","14,704","45,225","27,683","62,000","58,712"
2021년03월_계_30~39세,"184,137","13,278","36,172","25,259","55,320","54,108"
2021년03월_계_40~49세,"239,690","13,948","48,174","34,038","67,267","76,263"
2021년03월_계_50~59세,"233,891","15,540","49,516","32,768","71,631","64,436"
2021년03월_계_60~69세,"165,964","14,825","34,688","28,251","54,129","34,071"
2021년03월_계_70~79세,"93,656","10,287","19,298","17,381","29,535","17,155"
2021년03월_계_80~89세,"40,468","4,757","8,177","7,392","12,326","7,816"
2021년03월_계_90~99세,"5,966",663,"1,227","1,135","1,766","1,175"
2021년03월_계_100세 이상,292,47,52,36,103,54
2021년03월_남_총인구수,"715,226","50,577","144,373","102,891","213,257","204,128"
2021년03월_남_연령구간인구수,"715,226","50,577","144,373","102,891","213,257","204,128"
2021년03월_남_0~9세,"60,518","3,687","11,029","8,779","16,935","20,088"
2021년03월_남_10~19세,"80,441","3,771","16,276","11,290","22,366","26,738"
2021년03월_남_20~29세,"108,861","7,544","23,145","14,259","32,704","31,209"
2021년03월_남_30~39세,"94,061","6,889","18,315","12,562","28,735","27,560"
2021년03월_남_40~49세,"118,954","7,258","23,228","16,779","33,729","37,960"
2021년03월_남_50~59세,"116,034","7,673","24,282","15,514","35,063","33,502"
2021년03월_남_60~69세,"79,138","7,003","16,276","12,965","25,783","17,111"
2021년03월_남_70~79세,"41,585","4,556","8,595","7,779","13,237","7,418"
2021년03월_남_80~89세,"14,328","1,997","2,953","2,712","4,348","2,318"
2021년03월_남_90~99세,"1,269",186,269,247,349,218
2021년03월_남_100세 이상,37,13,5,5,8,6
2021년03월_여_총인구수,"730,247","51,890","150,318","110,885","216,343","200,811"
2021년03월_여_연령구간인구수,"730,247","51,890","150,318","110,885","216,343","200,811"
2021년03월_여_0~9세,"57,290","3,431","10,227","8,413","16,154","19,065"
2021년03월_여_10~19세,"74,836","3,529","14,630","11,351","20,068","25,258"
2021년03월_여_20~29세,"99,463","7,160","22,080","13,424","29,296","27,503"
2021년03월_여_30~39세,"90,076","6,389","17,857","12,697","26,585","26,548"
2021년03월_여_40~49세,"120,736","6,690","24,946","17,259","33,538","38,303"
2021년03월_여_50~59세,"117,857","7,867","25,234","17,254","36,568","30,934"
2021년03월_여_60~69세,"86,826","7,822","18,412","15,286","28,346","16,960"
2021년03월_여_70~79세,"52,071","5,731","10,703","9,602","16,298","9,737"
2021년03월_여_80~89세,"26,140","2,760","5,224","4,680","7,978","5,498"
2021년03월_여_90~99세,"4,697",477,958,888,"1,417",957
2021년03월_여_100세 이상,255,34,47,31,95,48
