,경기도 과천시,경기도 과천시 중앙동,경기도 과천시 갈현동,경기도 과천시 별양동,경기도 과천시 부림동,경기도 과천시 과천동,경기도 과천시 문원동
2020년08월_계_총인구수,"61,902","10,956","11,095","10,391","11,659","9,815","7,986"
2020년08월_계_연령구간인구수,"61,902","10,956","11,095","10,391","11,659","9,815","7,986"
2020년08월_계_0~9세,"5,006",835,"1,284",628,954,679,626
2020년08월_계_10~19세,"6,307",987,"1,491","1,112","1,185",644,888
2020년08월_계_20~29세,"8,562","1,611","1,221","1,677","1,696","1,328","1,029"
2020년08월_계_30~39세,"8,540","1,464","1,388","1,199","1,777","1,716",996
2020년08월_계_40~49세,"9,484","1,448","2,144","1,404","1,697","1,475","1,316"
2020년08월_계_50~59세,"10,881","2,059","1,727","2,047","2,111","1,583","1,354"
2020년08월_계_60~69세,"7,194","1,457",987,"1,221","1,236","1,380",913
2020년08월_계_70~79세,"3,666",634,558,620,584,698,572
2020년08월_계_80~89세,"1,833",363,245,382,347,265,231
2020년08월_계_90~99세,378,84,46,90,67,44,47
2020년08월_계_100세 이상,51,14,4,11,5,3,14
2020년08월_남_총인구수,"30,374","5,309","5,407","4,935","5,712","5,117","3,894"
2020년08월_남_연령구간인구수,"30,374","5,309","5,407","4,935","5,712","5,117","3,894"
2020년08월_남_0~9세,"2,607",441,649,323,519,334,341
2020년08월_남_10~19세,"3,267",487,760,585,632,346,457
2020년08월_남_20~29세,"4,495",846,651,841,866,743,548
2020년08월_남_30~39세,"4,311",720,608,580,911,977,515
2020년08월_남_40~49세,"4,537",670,"1,039",617,784,794,633
2020년08월_남_50~59세,"5,299",952,873,"1,001","1,002",791,680
2020년08월_남_60~69세,"3,496",753,491,570,612,673,397
2020년08월_남_70~79세,"1,609",287,227,256,259,341,239
2020년08월_남_80~89세,657,133,97,137,113,104,73
2020년08월_남_90~99세,87,18,12,22,13,14,8
2020년08월_남_100세 이상,9,2,0,3,1,0,3
2020년08월_여_총인구수,"31,528","5,647","5,688","5,456","5,947","4,698","4,092"
2020년08월_여_연령구간인구수,"31,528","5,647","5,688","5,456","5,947","4,698","4,092"
2020년08월_여_0~9세,"2,399",394,635,305,435,345,285
2020년08월_여_10~19세,"3,040",500,731,527,553,298,431
2020년08월_여_20~29세,"4,067",765,570,836,830,585,481
2020년08월_여_30~39세,"4,229",744,780,619,866,739,481
2020년08월_여_40~49세,"4,947",778,"1,105",787,913,681,683
2020년08월_여_50~59세,"5,582","1,107",854,"1,046","1,109",792,674
2020년08월_여_60~69세,"3,698",704,496,651,624,707,516
2020년08월_여_70~79세,"2,057",347,331,364,325,357,333
2020년08월_여_80~89세,"1,176",230,148,245,234,161,158
2020년08월_여_90~99세,291,66,34,68,54,30,39
2020년08월_여_100세 이상,42,12,4,8,4,3,11
