,전라남도 무안군,전라남도 무안군 무안읍,전라남도 무안군 일로읍,전라남도 무안군 삼향읍,전라남도 무안군 삼향읍남악출장소,전라남도 무안군 몽탄면,전라남도 무안군 청계면,전라남도 무안군 현경면,전라남도 무안군 망운면,전라남도 무안군 해제면,전라남도 무안군 운남면
2021년10월_계_총인구수,"90,488","10,947","16,285","5,390","34,309","3,098","6,278","4,539","1,924","4,834","2,884"
2021년10월_계_연령구간인구수,"90,488","10,947","16,285","5,390","34,309","3,098","6,278","4,539","1,924","4,834","2,884"
2021년10월_계_0~9세,"8,181",734,"2,484",161,"4,242",46,190,98,49,108,69
2021년10월_계_10~19세,"9,628","1,108","1,699",288,"5,365",126,397,178,84,214,169
2021년10월_계_20~29세,"9,417","1,313","1,153",488,"4,539",238,707,309,126,332,212
2021년10월_계_30~39세,"11,076",983,"2,788",315,"5,714",150,407,241,116,222,140
2021년10월_계_40~49세,"14,315","1,554","2,698",559,"7,325",251,672,377,179,444,256
2021년10월_계_50~59세,"13,411","1,921","1,875","1,081","4,260",581,"1,115",850,336,818,574
2021년10월_계_60~69세,"11,506","1,652","1,650","1,225","1,827",634,"1,268","1,025",471,"1,090",664
2021년10월_계_70~79세,"7,872","1,093","1,169",773,720,560,891,873,354,940,499
2021년10월_계_80~89세,"4,443",534,671,427,278,447,534,520,168,593,271
2021년10월_계_90~99세,614,55,95,70,38,65,87,67,38,70,29
2021년10월_계_100세 이상,25,0,3,3,1,0,10,1,3,3,1
2021년10월_남_총인구수,"45,431","5,477","8,127","2,841","16,956","1,545","3,254","2,309",994,"2,450","1,478"
2021년10월_남_연령구간인구수,"45,431","5,477","8,127","2,841","16,956","1,545","3,254","2,309",994,"2,450","1,478"
2021년10월_남_0~9세,"4,208",384,"1,293",78,"2,166",18,103,51,28,58,29
2021년10월_남_10~19세,"4,883",582,834,137,"2,730",69,203,77,45,121,85
2021년10월_남_20~29세,"5,041",741,616,275,"2,271",143,415,180,69,216,115
2021년10월_남_30~39세,"5,618",520,"1,338",180,"2,786",98,244,151,71,134,96
2021년10월_남_40~49세,"7,485",791,"1,473",335,"3,527",160,397,257,113,279,153
2021년10월_남_50~59세,"7,364","1,020","1,018",632,"2,200",338,635,521,196,465,339
2021년10월_남_60~69세,"5,798",795,807,677,865,332,665,518,243,548,348
2021년10월_남_70~79세,"3,577",470,533,383,322,248,414,390,166,428,223
2021년10월_남_80~89세,"1,351",166,196,136,82,127,163,152,57,191,81
2021년10월_남_90~99세,104,8,19,8,6,12,15,12,6,10,8
2021년10월_남_100세 이상,2,0,0,0,1,0,0,0,0,0,1
2021년10월_여_총인구수,"45,057","5,470","8,158","2,549","17,353","1,553","3,024","2,230",930,"2,384","1,406"
2021년10월_여_연령구간인구수,"45,057","5,470","8,158","2,549","17,353","1,553","3,024","2,230",930,"2,384","1,406"
2021년10월_여_0~9세,"3,973",350,"1,191",83,"2,076",28,87,47,21,50,40
2021년10월_여_10~19세,"4,745",526,865,151,"2,635",57,194,101,39,93,84
2021년10월_여_20~29세,"4,376",572,537,213,"2,268",95,292,129,57,116,97
2021년10월_여_30~39세,"5,458",463,"1,450",135,"2,928",52,163,90,45,88,44
2021년10월_여_40~49세,"6,830",763,"1,225",224,"3,798",91,275,120,66,165,103
2021년10월_여_50~59세,"6,047",901,857,449,"2,060",243,480,329,140,353,235
2021년10월_여_60~69세,"5,708",857,843,548,962,302,603,507,228,542,316
2021년10월_여_70~79세,"4,295",623,636,390,398,312,477,483,188,512,276
2021년10월_여_80~89세,"3,092",368,475,291,196,320,371,368,111,402,190
2021년10월_여_90~99세,510,47,76,62,32,53,72,55,32,60,21
2021년10월_여_100세 이상,23,0,3,3,0,0,10,1,3,3,0
