,전라북도 임실군,전라북도 임실군 임실읍,전라북도 임실군 청웅면,전라북도 임실군 운암면,전라북도 임실군 신평면,전라북도 임실군 성수면,전라북도 임실군 오수면,전라북도 임실군 신덕면,전라북도 임실군 삼계면,전라북도 임실군 관촌면,전라북도 임실군 강진면,전라북도 임실군 덕치면,전라북도 임실군 지사면
2020년10월_계_총인구수,"27,508","7,458","1,314","1,632","1,476","1,680","3,757","1,318","1,522","3,403","1,547","1,177","1,224"
2020년10월_계_연령구간인구수,"27,508","7,458","1,314","1,632","1,476","1,680","3,757","1,318","1,522","3,403","1,547","1,177","1,224"
2020년10월_계_0~9세,"1,364",668,35,46,58,49,117,45,40,170,45,42,49
2020년10월_계_10~19세,"1,709",729,53,59,72,83,238,53,68,177,78,48,51
2020년10월_계_20~29세,"2,135",749,79,118,102,107,289,85,70,264,138,61,73
2020년10월_계_30~39세,"1,984",808,63,95,100,85,244,65,74,242,66,75,67
2020년10월_계_40~49세,"2,900","1,061",133,148,135,149,368,118,122,332,157,84,93
2020년10월_계_50~59세,"4,729","1,077",207,343,238,296,625,254,251,658,317,239,224
2020년10월_계_60~69세,"4,951","1,007",249,393,297,313,745,250,306,652,274,233,232
2020년10월_계_70~79세,"4,308",776,263,236,268,330,612,255,307,530,269,236,226
2020년10월_계_80~89세,"2,978",507,202,161,182,236,456,164,244,336,171,140,179
2020년10월_계_90~99세,428,73,29,33,21,30,62,28,40,39,29,14,30
2020년10월_계_100세 이상,22,3,1,0,3,2,1,1,0,3,3,5,0
2020년10월_남_총인구수,"14,070","3,831",659,846,752,860,"1,891",692,754,"1,753",826,591,615
2020년10월_남_연령구간인구수,"14,070","3,831",659,846,752,860,"1,891",692,754,"1,753",826,591,615
2020년10월_남_0~9세,725,369,16,22,28,23,69,27,19,86,22,15,29
2020년10월_남_10~19세,907,365,27,39,46,51,133,26,30,89,51,23,27
2020년10월_남_20~29세,"1,258",443,49,59,59,66,165,54,45,150,89,32,47
2020년10월_남_30~39세,"1,089",417,36,52,65,49,135,35,42,140,40,44,34
2020년10월_남_40~49세,"1,775",593,93,91,81,98,219,75,80,213,115,54,63
2020년10월_남_50~59세,"2,686",600,115,196,132,163,352,161,146,376,183,146,116
2020년10월_남_60~69세,"2,638",513,138,213,154,171,387,151,160,332,153,128,138
2020년10월_남_70~79세,"1,901",352,110,107,119,150,259,101,141,257,115,96,94
2020년10월_남_80~89세,985,168,68,54,61,82,152,56,83,97,52,52,60
2020년10월_남_90~99세,100,10,6,13,7,6,19,5,8,13,6,0,7
2020년10월_남_100세 이상,6,1,1,0,0,1,1,1,0,0,0,1,0
2020년10월_여_총인구수,"13,438","3,627",655,786,724,820,"1,866",626,768,"1,650",721,586,609
2020년10월_여_연령구간인구수,"13,438","3,627",655,786,724,820,"1,866",626,768,"1,650",721,586,609
2020년10월_여_0~9세,639,299,19,24,30,26,48,18,21,84,23,27,20
2020년10월_여_10~19세,802,364,26,20,26,32,105,27,38,88,27,25,24
2020년10월_여_20~29세,877,306,30,59,43,41,124,31,25,114,49,29,26
2020년10월_여_30~39세,895,391,27,43,35,36,109,30,32,102,26,31,33
2020년10월_여_40~49세,"1,125",468,40,57,54,51,149,43,42,119,42,30,30
2020년10월_여_50~59세,"2,043",477,92,147,106,133,273,93,105,282,134,93,108
2020년10월_여_60~69세,"2,313",494,111,180,143,142,358,99,146,320,121,105,94
2020년10월_여_70~79세,"2,407",424,153,129,149,180,353,154,166,273,154,140,132
2020년10월_여_80~89세,"1,993",339,134,107,121,154,304,108,161,239,119,88,119
2020년10월_여_90~99세,328,63,23,20,14,24,43,23,32,26,23,14,23
2020년10월_여_100세 이상,16,2,0,0,3,1,0,0,0,3,3,4,0
