,강원도 속초시,강원도 속초시 영랑동,강원도 속초시 동명동,강원도 속초시 금호동,강원도 속초시 교동,강원도 속초시 노학동,강원도 속초시 조양동,강원도 속초시 청호동,강원도 속초시 대포동
2021년11월_계_총인구수,"82,700","4,432","3,624","5,994","9,536","21,825","29,250","4,914","3,125"
2021년11월_계_연령구간인구수,"82,700","4,432","3,624","5,994","9,536","21,825","29,250","4,914","3,125"
2021년11월_계_0~9세,"5,661",172,227,210,481,"1,376","2,812",299,84
2021년11월_계_10~19세,"7,197",227,265,423,790,"2,176","2,946",255,115
2021년11월_계_20~29세,"8,904",392,296,578,"1,103","2,420","3,410",451,254
2021년11월_계_30~39세,"9,098",399,327,463,984,"2,239","3,928",554,204
2021년11월_계_40~49세,"12,166",484,485,714,"1,289","3,326","4,935",620,313
2021년11월_계_50~59세,"15,064",880,693,"1,148","1,722","4,136","4,947",899,639
2021년11월_계_60~69세,"13,858","1,054",694,"1,298","1,818","3,539","3,689",986,780
2021년11월_계_70~79세,"6,761",523,416,697,848,"1,620","1,690",493,474
2021년11월_계_80~89세,"3,367",263,188,379,429,836,766,290,216
2021년11월_계_90~99세,609,36,33,83,70,156,123,63,45
2021년11월_계_100세 이상,15,2,0,1,2,1,4,4,1
2021년11월_남_총인구수,"41,028","2,302","1,825","2,928","4,678","10,903","14,289","2,487","1,616"
2021년11월_남_연령구간인구수,"41,028","2,302","1,825","2,928","4,678","10,903","14,289","2,487","1,616"
2021년11월_남_0~9세,"2,871",88,118,107,247,697,"1,408",165,41
2021년11월_남_10~19세,"3,740",132,139,218,421,"1,105","1,525",124,76
2021년11월_남_20~29세,"5,035",239,169,335,626,"1,385","1,881",256,144
2021년11월_남_30~39세,"4,903",228,171,267,544,"1,205","2,035",316,137
2021년11월_남_40~49세,"6,084",283,256,375,649,"1,621","2,385",335,180
2021년11월_남_50~59세,"7,458",470,357,561,826,"2,062","2,360",485,337
2021년11월_남_60~69세,"6,709",520,350,611,854,"1,788","1,701",497,388
2021년11월_남_70~79세,"2,937",244,194,303,348,736,705,195,212
2021년11월_남_80~89세,"1,180",93,64,138,151,279,265,98,92
2021년11월_남_90~99세,108,5,7,12,12,25,24,14,9
2021년11월_남_100세 이상,3,0,0,1,0,0,0,2,0
2021년11월_여_총인구수,"41,672","2,130","1,799","3,066","4,858","10,922","14,961","2,427","1,509"
2021년11월_여_연령구간인구수,"41,672","2,130","1,799","3,066","4,858","10,922","14,961","2,427","1,509"
2021년11월_여_0~9세,"2,790",84,109,103,234,679,"1,404",134,43
2021년11월_여_10~19세,"3,457",95,126,205,369,"1,071","1,421",131,39
2021년11월_여_20~29세,"3,869",153,127,243,477,"1,035","1,529",195,110
2021년11월_여_30~39세,"4,195",171,156,196,440,"1,034","1,893",238,67
2021년11월_여_40~49세,"6,082",201,229,339,640,"1,705","2,550",285,133
2021년11월_여_50~59세,"7,606",410,336,587,896,"2,074","2,587",414,302
2021년11월_여_60~69세,"7,149",534,344,687,964,"1,751","1,988",489,392
2021년11월_여_70~79세,"3,824",279,222,394,500,884,985,298,262
2021년11월_여_80~89세,"2,187",170,124,241,278,557,501,192,124
2021년11월_여_90~99세,501,31,26,71,58,131,99,49,36
2021년11월_여_100세 이상,12,2,0,0,2,1,4,2,1
