카테고리,인천광역시 중구,인천광역시 중구 연안동,인천광역시 중구 신포동,인천광역시 중구 신흥동,인천광역시 중구 도원동,인천광역시 중구 율목동,인천광역시 중구 동인천동,인천광역시 중구 북성동,인천광역시 중구 송월동,인천광역시 중구 영종동,인천광역시 중구 영종1동,인천광역시 중구 운서동,인천광역시 중구 용유동
2021년04월_계_총인구수,"139,548","6,196","5,142","13,252","3,947","3,280","5,843","2,747","4,403","15,916","43,350","31,439","4,033"
2021년04월_계_연령구간인구수,"139,548","6,196","5,142","13,252","3,947","3,280","5,843","2,747","4,403","15,916","43,350","31,439","4,033"
2021년04월_계_0~9세,"11,686",233,244,816,136,94,202,79,184,924,"6,967","1,726",81
2021년04월_계_10~19세,"12,721",338,354,"1,119",262,191,296,136,321,"1,248","4,935","3,403",118
2021년04월_계_20~29세,"18,816",627,530,"1,617",422,357,621,289,478,"2,053","3,841","7,706",275
2021년04월_계_30~39세,"21,210",604,527,"1,584",370,278,654,241,453,"2,363","8,716","5,148",272
2021년04월_계_40~49세,"24,555",812,811,"2,016",534,489,751,378,598,"2,556","9,474","5,662",474
2021년04월_계_50~59세,"20,525","1,295",864,"2,288",730,621,"1,097",496,788,"2,816","4,596","4,046",888
2021년04월_계_60~69세,"16,323","1,298",819,"2,041",737,614,"1,095",551,812,"2,417","2,907","1,971","1,061"
2021년04월_계_70~79세,"9,244",632,635,"1,179",520,443,702,394,517,"1,002","1,392","1,226",602
2021년04월_계_80~89세,"3,822",302,305,509,205,162,348,158,223,440,450,503,217
2021년04월_계_90~99세,624,54,52,83,30,31,72,24,28,92,70,46,42
2021년04월_계_100세 이상,22,1,1,0,1,0,5,1,1,5,2,2,3
2021년04월_남_총인구수,"72,529","3,353","2,631","6,737","2,019","1,695","3,085","1,426","2,174","8,850","21,801","16,505","2,253"
2021년04월_남_연령구간인구수,"72,529","3,353","2,631","6,737","2,019","1,695","3,085","1,426","2,174","8,850","21,801","16,505","2,253"
2021년04월_남_0~9세,"6,033",125,141,405,62,59,99,50,90,478,"3,584",904,36
2021년04월_남_10~19세,"6,595",163,180,581,147,91,154,67,159,652,"2,540","1,804",57
2021년04월_남_20~29세,"9,580",363,295,863,245,199,337,162,253,"1,175","1,894","3,611",183
2021년04월_남_30~39세,"11,539",356,288,847,204,164,376,151,256,"1,449","4,207","3,069",172
2021년04월_남_40~49세,"13,413",496,447,"1,073",297,272,445,207,335,"1,493","5,005","3,032",311
2021년04월_남_50~59세,"11,359",752,471,"1,224",388,351,647,280,413,"1,599","2,387","2,318",529
2021년04월_남_60~69세,"8,168",679,405,"1,011",355,300,572,272,368,"1,320","1,314","1,009",563
2021년04월_남_70~79세,"4,289",296,274,526,239,203,318,163,225,506,691,535,313
2021년04월_남_80~89세,"1,402",109,119,189,74,51,119,62,67,157,164,209,82
2021년04월_남_90~99세,144,14,11,18,8,5,17,12,8,18,14,13,6
2021년04월_남_100세 이상,7,0,0,0,0,0,1,0,0,3,1,1,1
2021년04월_여_총인구수,"67,019","2,843","2,511","6,515","1,928","1,585","2,758","1,321","2,229","7,066","21,549","14,934","1,780"
2021년04월_여_연령구간인구수,"67,019","2,843","2,511","6,515","1,928","1,585","2,758","1,321","2,229","7,066","21,549","14,934","1,780"
2021년04월_여_0~9세,"5,653",108,103,411,74,35,103,29,94,446,"3,383",822,45
2021년04월_여_10~19세,"6,126",175,174,538,115,100,142,69,162,596,"2,395","1,599",61
2021년04월_여_20~29세,"9,236",264,235,754,177,158,284,127,225,878,"1,947","4,095",92
2021년04월_여_30~39세,"9,671",248,239,737,166,114,278,90,197,914,"4,509","2,079",100
2021년04월_여_40~49세,"11,142",316,364,943,237,217,306,171,263,"1,063","4,469","2,630",163
2021년04월_여_50~59세,"9,166",543,393,"1,064",342,270,450,216,375,"1,217","2,209","1,728",359
2021년04월_여_60~69세,"8,155",619,414,"1,030",382,314,523,279,444,"1,097","1,593",962,498
2021년04월_여_70~79세,"4,955",336,361,653,281,240,384,231,292,496,701,691,289
2021년04월_여_80~89세,"2,420",193,186,320,131,111,229,96,156,283,286,294,135
2021년04월_여_90~99세,480,40,41,65,22,26,55,12,20,74,56,33,36
2021년04월_여_100세 이상,15,1,1,0,1,0,4,1,1,2,1,1,2
