,충청북도 단양군,충청북도 단양군 단양읍,충청북도 단양군 매포읍,충청북도 단양군 대강면,충청북도 단양군 가곡면,충청북도 단양군 영춘면,충청북도 단양군 어상천면,충청북도 단양군 적성면,충청북도 단양군 단성면
2021년03월_계_총인구수,"28,835","10,518","5,340","2,472","2,071","3,262","1,919","1,529","1,724"
2021년03월_계_연령구간인구수,"28,835","10,518","5,340","2,472","2,071","3,262","1,919","1,529","1,724"
2021년03월_계_0~9세,"1,165",625,255,58,57,72,45,21,32
2021년03월_계_10~19세,"1,933",929,397,102,136,171,72,33,93
2021년03월_계_20~29세,"2,148","1,086",442,118,101,136,86,75,104
2021년03월_계_30~39세,"1,933","1,012",396,89,77,130,74,74,81
2021년03월_계_40~49세,"3,239","1,476",678,190,178,313,144,124,136
2021년03월_계_50~59세,"5,536","1,931",964,515,397,692,403,291,343
2021년03월_계_60~69세,"6,518","1,879","1,052",674,553,852,574,459,475
2021년03월_계_70~79세,"3,883",987,740,418,364,538,313,257,266
2021년03월_계_80~89세,"2,167",517,371,258,185,309,185,174,168
2021년03월_계_90~99세,294,73,44,45,20,48,23,20,21
2021년03월_계_100세 이상,19,3,1,5,3,1,0,1,5
2021년03월_남_총인구수,"14,613","5,267","2,773","1,233","1,109","1,561","1,045",781,844
2021년03월_남_연령구간인구수,"14,613","5,267","2,773","1,233","1,109","1,561","1,045",781,844
2021년03월_남_0~9세,607,320,136,27,37,35,23,11,18
2021년03월_남_10~19세,"1,032",467,224,57,89,95,48,14,38
2021년03월_남_20~29세,"1,264",613,276,57,61,89,65,39,64
2021년03월_남_30~39세,"1,028",523,220,49,42,68,40,43,43
2021년03월_남_40~49세,"1,787",777,392,105,105,161,90,80,77
2021년03월_남_50~59세,"2,963","1,036",525,291,212,342,213,162,182
2021년03월_남_60~69세,"3,348",916,526,353,287,412,337,259,258
2021년03월_남_70~79세,"1,746",422,324,188,198,239,150,115,110
2021년03월_남_80~89세,756,176,139,92,72,110,70,51,46
2021년03월_남_90~99세,75,15,10,12,6,9,9,7,7
2021년03월_남_100세 이상,7,2,1,2,0,1,0,0,1
2021년03월_여_총인구수,"14,222","5,251","2,567","1,239",962,"1,701",874,748,880
2021년03월_여_연령구간인구수,"14,222","5,251","2,567","1,239",962,"1,701",874,748,880
2021년03월_여_0~9세,558,305,119,31,20,37,22,10,14
2021년03월_여_10~19세,901,462,173,45,47,76,24,19,55
2021년03월_여_20~29세,884,473,166,61,40,47,21,36,40
2021년03월_여_30~39세,905,489,176,40,35,62,34,31,38
2021년03월_여_40~49세,"1,452",699,286,85,73,152,54,44,59
2021년03월_여_50~59세,"2,573",895,439,224,185,350,190,129,161
2021년03월_여_60~69세,"3,170",963,526,321,266,440,237,200,217
2021년03월_여_70~79세,"2,137",565,416,230,166,299,163,142,156
2021년03월_여_80~89세,"1,411",341,232,166,113,199,115,123,122
2021년03월_여_90~99세,219,58,34,33,14,39,14,13,14
2021년03월_여_100세 이상,12,1,0,3,3,0,0,1,4
