카테고리,강원도 동해시,강원도 동해시 천곡동,강원도 동해시 송정동,강원도 동해시 북삼동,강원도 동해시 부곡동,강원도 동해시 동호동,강원도 동해시 발한동,강원도 동해시 묵호동,강원도 동해시 북평동,강원도 동해시 망상동,강원도 동해시 삼화동
2020년08월_계_총인구수,"90,548","30,858","4,124","19,452","5,187","5,253","3,612","3,193","12,209","3,696","2,964"
2020년08월_계_연령구간인구수,"90,548","30,858","4,124","19,452","5,187","5,253","3,612","3,193","12,209","3,696","2,964"
2020년08월_계_0~9세,"6,758","2,905",181,"1,544",194,314,117,100,"1,107",185,111
2020년08월_계_10~19세,"8,839","3,297",258,"2,609",344,482,168,163,"1,128",194,196
2020년08월_계_20~29세,"9,353","3,394",584,"2,179",472,491,282,198,"1,260",273,220
2020년08월_계_30~39세,"9,377","3,782",316,"1,990",384,465,244,202,"1,457",319,218
2020년08월_계_40~49세,"14,700","5,226",546,"3,773",723,756,436,412,"2,023",462,343
2020년08월_계_50~59세,"15,624","5,092",724,"3,487",939,961,613,500,"2,094",647,567
2020년08월_계_60~69세,"13,604","4,331",727,"2,128","1,090",856,792,699,"1,659",710,612
2020년08월_계_70~79세,"8,069","1,901",493,"1,190",702,660,626,587,918,556,436
2020년08월_계_80~89세,"3,682",814,249,484,292,243,288,293,498,299,222
2020년08월_계_90~99세,512,115,45,68,43,19,42,34,63,46,37
2020년08월_계_100세 이상,30,1,1,0,4,6,4,5,2,5,2
2020년08월_남_총인구수,"45,887","15,320","2,247","10,073","2,533","2,661","1,823","1,574","6,259","1,854","1,543"
2020년08월_남_연령구간인구수,"45,887","15,320","2,247","10,073","2,533","2,661","1,823","1,574","6,259","1,854","1,543"
2020년08월_남_0~9세,"3,483","1,504",85,805,108,151,57,56,573,86,58
2020년08월_남_10~19세,"4,607","1,643",150,"1,410",178,253,90,90,582,105,106
2020년08월_남_20~29세,"5,493","1,951",402,"1,307",259,283,179,103,712,162,135
2020년08월_남_30~39세,"4,968","1,958",188,"1,030",202,258,152,117,764,172,127
2020년08월_남_40~49세,"7,656","2,563",315,"1,865",399,427,263,249,"1,098",268,209
2020년08월_남_50~59세,"8,078","2,423",409,"1,881",454,514,322,281,"1,108",347,339
2020년08월_남_60~69세,"6,542","2,100",357,"1,024",516,388,352,317,827,348,313
2020년08월_남_70~79세,"3,638",871,229,560,310,293,298,230,421,248,178
2020년08월_남_80~89세,"1,308",284,102,178,97,88,96,119,167,105,72
2020년08월_남_90~99세,105,23,9,13,8,5,13,12,7,10,5
2020년08월_남_100세 이상,9,0,1,0,2,1,1,0,0,3,1
2020년08월_여_총인구수,"44,661","15,538","1,877","9,379","2,654","2,592","1,789","1,619","5,950","1,842","1,421"
2020년08월_여_연령구간인구수,"44,661","15,538","1,877","9,379","2,654","2,592","1,789","1,619","5,950","1,842","1,421"
2020년08월_여_0~9세,"3,275","1,401",96,739,86,163,60,44,534,99,53
2020년08월_여_10~19세,"4,232","1,654",108,"1,199",166,229,78,73,546,89,90
2020년08월_여_20~29세,"3,860","1,443",182,872,213,208,103,95,548,111,85
2020년08월_여_30~39세,"4,409","1,824",128,960,182,207,92,85,693,147,91
2020년08월_여_40~49세,"7,044","2,663",231,"1,908",324,329,173,163,925,194,134
2020년08월_여_50~59세,"7,546","2,669",315,"1,606",485,447,291,219,986,300,228
2020년08월_여_60~69세,"7,062","2,231",370,"1,104",574,468,440,382,832,362,299
2020년08월_여_70~79세,"4,431","1,030",264,630,392,367,328,357,497,308,258
2020년08월_여_80~89세,"2,374",530,147,306,195,155,192,174,331,194,150
2020년08월_여_90~99세,407,92,36,55,35,14,29,22,56,36,32
2020년08월_여_100세 이상,21,1,0,0,2,5,3,5,2,2,1
