,서울특별시 노원구,서울특별시 노원구 월계1동,서울특별시 노원구 월계2동,서울특별시 노원구 월계3동,서울특별시 노원구 공릉1동,서울특별시 노원구 공릉2동,서울특별시 노원구 하계1동,서울특별시 노원구 하계2동,서울특별시 노원구 중계본동,서울특별시 노원구 중계1동,서울특별시 노원구 중계4동,서울특별시 노원구 중계2.3동,서울특별시 노원구 상계1동,서울특별시 노원구 상계2동,서울특별시 노원구 상계3.4동,서울특별시 노원구 상계5동,서울특별시 노원구 상계6.7동,서울특별시 노원구 상계8동,서울특별시 노원구 상계9동,서울특별시 노원구 상계10동
2021년04월_계_총인구수,"517,417","21,869","27,183","30,220","37,229","39,299","27,106","22,421","24,509","27,108","20,396","34,847","38,580","20,275","26,775","24,334","33,059","22,750","20,824","18,633"
2021년04월_계_연령구간인구수,"517,417","21,869","27,183","30,220","37,229","39,299","27,106","22,421","24,509","27,108","20,396","34,847","38,580","20,275","26,775","24,334","33,059","22,750","20,824","18,633"
2021년04월_계_0~9세,"32,149","1,141","1,718","2,186","2,050","2,826","1,150","1,467","1,512","1,955","1,159","1,977","2,284",952,"1,365","1,069","2,383","2,357","1,307","1,291"
2021년04월_계_10~19세,"51,969","1,683","2,092","2,109","2,610","4,321","3,049","2,767","4,490","5,619","2,230","3,117","3,308","1,828","2,066","2,022","2,975","1,990","2,057","1,636"
2021년04월_계_20~29세,"72,052","3,766","3,183","3,516","6,625","6,641","4,541","3,047","3,170","2,937","2,576","4,248","5,217","3,266","3,226","3,444","4,540","2,745","2,731","2,633"
2021년04월_계_30~39세,"63,943","2,625","3,182","4,538","5,322","5,146","2,729","2,544","1,865","2,001","1,949","4,193","4,856","2,309","2,914","2,597","4,810","4,691","2,789","2,883"
2021년04월_계_40~49세,"84,484","3,348","4,231","4,580","5,390","6,426","4,131","3,980","4,967","6,461","3,454","5,738","5,658","2,991","3,887","3,628","5,411","3,848","3,404","2,951"
2021년04월_계_50~59세,"87,176","3,442","4,589","4,759","5,744","6,014","4,941","3,885","4,534","4,482","3,566","5,622","6,930","3,937","4,758","4,468","5,682","3,025","3,565","3,233"
2021년04월_계_60~69세,"69,012","3,114","4,438","4,642","5,492","4,583","3,647","2,565","2,279","2,121","2,650","4,856","5,977","2,901","4,420","3,750","4,043","2,300","2,824","2,410"
2021년04월_계_70~79세,"37,283","1,901","2,517","2,609","2,776","2,216","1,815","1,373","1,067",967,"1,906","3,283","2,898","1,410","2,757","2,268","1,981","1,172","1,369",998
2021년04월_계_80~89세,"16,755",737,"1,047","1,127","1,054",988,970,692,550,494,782,"1,591","1,251",584,"1,219",931,"1,028",534,659,517
2021년04월_계_90~99세,"2,484",103,179,148,164,134,126,100,71,65,120,214,194,92,141,150,201,86,116,80
2021년04월_계_100세 이상,110,9,7,6,2,4,7,1,4,6,4,8,7,5,22,7,5,2,3,1
2021년04월_남_총인구수,"249,522","11,270","13,112","14,427","18,131","19,141","13,020","10,696","11,992","13,199","9,852","16,051","18,694","10,025","13,307","11,828","15,324","10,945","9,900","8,608"
2021년04월_남_연령구간인구수,"249,522","11,270","13,112","14,427","18,131","19,141","13,020","10,696","11,992","13,199","9,852","16,051","18,694","10,025","13,307","11,828","15,324","10,945","9,900","8,608"
2021년04월_남_0~9세,"16,558",579,870,"1,115","1,042","1,475",614,769,801,"1,054",596,991,"1,164",467,700,547,"1,234","1,229",665,646
2021년04월_남_10~19세,"26,953",904,"1,078","1,108","1,321","2,213","1,697","1,412","2,269","2,958","1,225","1,511","1,741",943,"1,125","1,024","1,540",988,"1,073",823
2021년04월_남_20~29세,"36,873","2,175","1,697","1,742","3,273","3,275","2,420","1,560","1,654","1,520","1,324","2,170","2,641","1,635","1,725","1,829","2,192","1,365","1,427","1,249"
2021년04월_남_30~39세,"31,883","1,448","1,612","2,259","2,715","2,574","1,362","1,214",891,864,986,"2,032","2,427","1,205","1,542","1,358","2,266","2,309","1,420","1,399"
2021년04월_남_40~49세,"40,225","1,725","2,139","2,336","2,748","3,032","1,836","1,853","2,153","2,814","1,626","2,793","2,711","1,449","1,948","1,796","2,488","1,913","1,540","1,325"
2021년04월_남_50~59세,"42,277","1,739","2,210","2,201","2,780","2,944","2,397","1,872","2,357","2,392","1,784","2,662","3,278","1,975","2,414","2,167","2,567","1,428","1,650","1,460"
2021년04월_남_60~69세,"32,062","1,493","1,990","2,064","2,537","2,180","1,680","1,191","1,193","1,028","1,252","2,120","2,874","1,433","2,112","1,759","1,799",994,"1,281","1,082"
2021년04월_남_70~79세,"16,168",863,"1,130","1,164","1,266","1,042",696,576,457,402,756,"1,211","1,319",672,"1,226",977,858,511,603,439
2021년04월_남_80~89세,"5,888",316,340,406,408,365,277,223,199,146,273,506,497,226,475,331,337,183,217,163
2021년04월_남_90~99세,616,27,45,32,41,40,40,26,18,18,30,55,39,20,32,40,43,25,23,22
2021년04월_남_100세 이상,19,1,1,0,0,1,1,0,0,3,0,0,3,0,8,0,0,0,1,0
2021년04월_여_총인구수,"267,895","10,599","14,071","15,793","19,098","20,158","14,086","11,725","12,517","13,909","10,544","18,796","19,886","10,250","13,468","12,506","17,735","11,805","10,924","10,025"
2021년04월_여_연령구간인구수,"267,895","10,599","14,071","15,793","19,098","20,158","14,086","11,725","12,517","13,909","10,544","18,796","19,886","10,250","13,468","12,506","17,735","11,805","10,924","10,025"
2021년04월_여_0~9세,"15,591",562,848,"1,071","1,008","1,351",536,698,711,901,563,986,"1,120",485,665,522,"1,149","1,128",642,645
2021년04월_여_10~19세,"25,016",779,"1,014","1,001","1,289","2,108","1,352","1,355","2,221","2,661","1,005","1,606","1,567",885,941,998,"1,435","1,002",984,813
2021년04월_여_20~29세,"35,179","1,591","1,486","1,774","3,352","3,366","2,121","1,487","1,516","1,417","1,252","2,078","2,576","1,631","1,501","1,615","2,348","1,380","1,304","1,384"
2021년04월_여_30~39세,"32,060","1,177","1,570","2,279","2,607","2,572","1,367","1,330",974,"1,137",963,"2,161","2,429","1,104","1,372","1,239","2,544","2,382","1,369","1,484"
2021년04월_여_40~49세,"44,259","1,623","2,092","2,244","2,642","3,394","2,295","2,127","2,814","3,647","1,828","2,945","2,947","1,542","1,939","1,832","2,923","1,935","1,864","1,626"
2021년04월_여_50~59세,"44,899","1,703","2,379","2,558","2,964","3,070","2,544","2,013","2,177","2,090","1,782","2,960","3,652","1,962","2,344","2,301","3,115","1,597","1,915","1,773"
2021년04월_여_60~69세,"36,950","1,621","2,448","2,578","2,955","2,403","1,967","1,374","1,086","1,093","1,398","2,736","3,103","1,468","2,308","1,991","2,244","1,306","1,543","1,328"
2021년04월_여_70~79세,"21,115","1,038","1,387","1,445","1,510","1,174","1,119",797,610,565,"1,150","2,072","1,579",738,"1,531","1,291","1,123",661,766,559
2021년04월_여_80~89세,"10,867",421,707,721,646,623,693,469,351,348,509,"1,085",754,358,744,600,691,351,442,354
2021년04월_여_90~99세,"1,868",76,134,116,123,94,86,74,53,47,90,159,155,72,109,110,158,61,93,58
