,경상북도 청송군,경상북도 청송군 청송읍,경상북도 청송군 주왕산면,경상북도 청송군 부남면,경상북도 청송군 현동면,경상북도 청송군 현서면,경상북도 청송군 안덕면,경상북도 청송군 파천면,경상북도 청송군 진보면
2021년07월_계_총인구수,"24,768","5,148","1,830","2,494","2,085","2,497","2,609","1,763","6,342"
2021년07월_계_연령구간인구수,"24,768","5,148","1,830","2,494","2,085","2,497","2,609","1,763","6,342"
2021년07월_계_0~9세,950,281,44,69,75,54,72,52,303
2021년07월_계_10~19세,"1,173",349,54,89,99,94,95,52,341
2021년07월_계_20~29세,"1,632",454,89,130,136,115,111,84,513
2021년07월_계_30~39세,"1,602",454,111,119,96,120,116,92,494
2021년07월_계_40~49세,"2,311",593,139,160,192,172,196,133,726
2021년07월_계_50~59세,"4,566",997,348,472,417,446,490,263,"1,133"
2021년07월_계_60~69세,"5,662",938,483,656,448,732,635,461,"1,309"
2021년07월_계_70~79세,"3,978",613,336,471,351,447,518,329,913
2021년07월_계_80~89세,"2,557",412,201,289,236,279,327,257,556
2021년07월_계_90~99세,322,53,25,38,33,37,46,40,50
2021년07월_계_100세 이상,15,4,0,1,2,1,3,0,4
2021년07월_남_총인구수,"12,346","2,542",903,"1,228","1,039","1,237","1,257",880,"3,260"
2021년07월_남_연령구간인구수,"12,346","2,542",903,"1,228","1,039","1,237","1,257",880,"3,260"
2021년07월_남_0~9세,486,152,20,34,36,28,38,22,156
2021년07월_남_10~19세,628,174,34,53,55,51,54,22,185
2021년07월_남_20~29세,984,258,51,77,82,65,70,51,330
2021년07월_남_30~39세,932,252,70,62,51,76,63,62,296
2021년07월_남_40~49세,"1,318",309,88,89,114,98,113,81,426
2021년07월_남_50~59세,"2,439",526,176,256,230,234,252,147,618
2021년07월_남_60~69세,"2,826",465,254,319,218,359,324,256,631
2021년07월_남_70~79세,"1,778",264,146,215,163,200,219,149,422
2021년07월_남_80~89세,892,134,61,116,83,119,113,80,186
2021년07월_남_90~99세,60,8,3,6,7,7,11,10,8
2021년07월_남_100세 이상,3,0,0,1,0,0,0,0,2
2021년07월_여_총인구수,"12,422","2,606",927,"1,266","1,046","1,260","1,352",883,"3,082"
2021년07월_여_연령구간인구수,"12,422","2,606",927,"1,266","1,046","1,260","1,352",883,"3,082"
2021년07월_여_0~9세,464,129,24,35,39,26,34,30,147
2021년07월_여_10~19세,545,175,20,36,44,43,41,30,156
2021년07월_여_20~29세,648,196,38,53,54,50,41,33,183
2021년07월_여_30~39세,670,202,41,57,45,44,53,30,198
2021년07월_여_40~49세,993,284,51,71,78,74,83,52,300
2021년07월_여_50~59세,"2,127",471,172,216,187,212,238,116,515
2021년07월_여_60~69세,"2,836",473,229,337,230,373,311,205,678
2021년07월_여_70~79세,"2,200",349,190,256,188,247,299,180,491
2021년07월_여_80~89세,"1,665",278,140,173,153,160,214,177,370
2021년07월_여_90~99세,262,45,22,32,26,30,35,30,42
2021년07월_여_100세 이상,12,4,0,0,2,1,3,0,2
