카테고리,충청남도 금산군,충청남도 금산군 금산읍,충청남도 금산군 금성면,충청남도 금산군 제원면,충청남도 금산군 부리면,충청남도 금산군 군북면,충청남도 금산군 남일면,충청남도 금산군 남이면,충청남도 금산군 진산면,충청남도 금산군 복수면,충청남도 금산군 추부면
2021년12월_계_총인구수,"50,477","22,381","3,252","2,768","2,468","2,505","2,766","2,116","3,244","2,998","5,979"
2021년12월_계_연령구간인구수,"50,477","22,381","3,252","2,768","2,468","2,505","2,766","2,116","3,244","2,998","5,979"
2021년12월_계_0~9세,"2,316","1,478",83,64,62,113,78,49,80,78,231
2021년12월_계_10~19세,"4,102","2,438",151,94,78,134,326,149,191,140,401
2021년12월_계_20~29세,"3,709","2,084",184,166,93,126,141,104,179,178,454
2021년12월_계_30~39세,"3,362","1,900",180,133,111,130,115,73,136,176,408
2021년12월_계_40~49세,"5,946","3,467",277,220,174,225,231,148,285,271,648
2021년12월_계_50~59세,"8,856","3,729",594,486,387,425,414,405,652,547,"1,217"
2021년12월_계_60~69세,"10,415","3,570",783,745,664,603,621,528,741,768,"1,392"
2021년12월_계_70~79세,"6,779","2,383",536,455,452,414,441,356,563,482,697
2021년12월_계_80~89세,"4,391","1,188",389,360,391,294,354,274,371,305,465
2021년12월_계_90~99세,591,142,73,45,54,41,44,29,46,53,64
2021년12월_계_100세 이상,10,2,2,0,2,0,1,1,0,0,2
2021년12월_남_총인구수,"25,466","10,981","1,687","1,450","1,244","1,249","1,397","1,083","1,618","1,572","3,185"
2021년12월_남_연령구간인구수,"25,466","10,981","1,687","1,450","1,244","1,249","1,397","1,083","1,618","1,572","3,185"
2021년12월_남_0~9세,"1,173",722,51,37,29,51,46,26,49,36,126
2021년12월_남_10~19세,"2,125","1,241",82,60,34,68,150,80,108,83,219
2021년12월_남_20~29세,"2,152","1,183",122,103,58,71,91,66,84,101,273
2021년12월_남_30~39세,"1,769",965,106,81,69,67,60,35,62,81,243
2021년12월_남_40~49세,"3,262","1,803",158,139,113,123,132,88,161,171,374
2021년12월_남_50~59세,"4,913","1,919",348,285,251,257,248,236,370,318,681
2021년12월_남_60~69세,"5,342","1,691",410,394,342,320,332,290,393,420,750
2021년12월_남_70~79세,"3,143","1,016",257,224,219,187,215,160,263,248,354
2021년12월_남_80~89세,"1,451",415,135,116,115,97,112,96,118,100,147
2021년12월_남_90~99세,134,25,17,11,14,8,11,6,10,14,18
2021년12월_남_100세 이상,2,1,1,0,0,0,0,0,0,0,0
2021년12월_여_총인구수,"25,011","11,400","1,565","1,318","1,224","1,256","1,369","1,033","1,626","1,426","2,794"
2021년12월_여_연령구간인구수,"25,011","11,400","1,565","1,318","1,224","1,256","1,369","1,033","1,626","1,426","2,794"
2021년12월_여_0~9세,"1,143",756,32,27,33,62,32,23,31,42,105
2021년12월_여_10~19세,"1,977","1,197",69,34,44,66,176,69,83,57,182
2021년12월_여_20~29세,"1,557",901,62,63,35,55,50,38,95,77,181
2021년12월_여_30~39세,"1,593",935,74,52,42,63,55,38,74,95,165
2021년12월_여_40~49세,"2,684","1,664",119,81,61,102,99,60,124,100,274
2021년12월_여_50~59세,"3,943","1,810",246,201,136,168,166,169,282,229,536
2021년12월_여_60~69세,"5,073","1,879",373,351,322,283,289,238,348,348,642
2021년12월_여_70~79세,"3,636","1,367",279,231,233,227,226,196,300,234,343
2021년12월_여_80~89세,"2,940",773,254,244,276,197,242,178,253,205,318
2021년12월_여_90~99세,457,117,56,34,40,33,33,23,36,39,46
2021년12월_여_100세 이상,8,1,1,0,2,0,1,1,0,0,2
