,광주광역시 남구,광주광역시 남구 양림동,광주광역시 남구 방림1동,광주광역시 남구 방림2동,광주광역시 남구 봉선1동,광주광역시 남구 봉선2동,광주광역시 남구 사직동,광주광역시 남구 월산동,광주광역시 남구 월산4동,광주광역시 남구 월산5동,광주광역시 남구 백운1동,광주광역시 남구 백운2동,광주광역시 남구 주월1동,광주광역시 남구 주월2동,광주광역시 남구 효덕동,광주광역시 남구 송암동,광주광역시 남구 대촌동
2020년10월_계_총인구수,"215,072","7,350","7,068","9,240","14,152","29,402","5,435","7,605","8,893","6,585","12,596","6,210","19,642","8,457","46,486","19,908","6,043"
2020년10월_계_연령구간인구수,"215,072","7,350","7,068","9,240","14,152","29,402","5,435","7,605","8,893","6,585","12,596","6,210","19,642","8,457","46,486","19,908","6,043"
2020년10월_계_0~9세,"17,321",507,549,492,912,"2,934",290,393,362,239,"1,044",409,"1,393",512,"3,958","2,985",342
2020년10월_계_10~19세,"22,909",745,680,778,"1,389","4,961",290,426,610,362,"1,164",415,"2,037",621,"6,032","2,026",373
2020년10월_계_20~29세,"28,194",846,902,"1,266","2,011","3,451",655,890,"1,222",988,"1,534",940,"2,823","1,154","6,619","2,356",537
2020년10월_계_30~39세,"25,692",700,887,937,"1,598","2,917",666,837,"1,083",734,"1,538",845,"2,271",936,"5,454","3,762",527
2020년10월_계_40~49세,"34,120","1,083","1,126","1,265","2,204","5,629",760,"1,016","1,209",831,"1,923",855,"3,060","1,139","7,847","3,397",776
2020년10월_계_50~59세,"33,116","1,156","1,022","1,524","2,231","4,345",892,"1,246","1,540","1,237","1,915",928,"3,312","1,472","6,851","2,488",957
2020년10월_계_60~69세,"27,946","1,036",932,"1,416","1,942","2,926",853,"1,214","1,523","1,198","1,824",888,"2,633","1,408","5,265","1,773","1,115"
2020년10월_계_70~79세,"17,338",865,680,"1,048","1,169","1,433",709,"1,093",940,702,"1,111",646,"1,496",868,"3,043",726,809
2020년10월_계_80~89세,"7,224",348,252,440,591,684,275,410,355,257,463,241,537,303,"1,227",320,521
2020년10월_계_90~99세,"1,118",56,30,65,102,119,31,74,47,34,78,34,75,39,181,72,81
2020년10월_계_100세 이상,94,8,8,9,3,3,14,6,2,3,2,9,5,5,9,3,5
2020년10월_남_총인구수,"103,526","3,347","3,384","4,357","6,665","13,802","2,784","3,902","4,561","3,314","5,950","3,064","9,541","4,223","21,960","9,683","2,989"
2020년10월_남_연령구간인구수,"103,526","3,347","3,384","4,357","6,665","13,802","2,784","3,902","4,561","3,314","5,950","3,064","9,541","4,223","21,960","9,683","2,989"
2020년10월_남_0~9세,"8,859",261,288,252,485,"1,444",140,194,186,115,542,218,722,257,"2,005","1,565",185
2020년10월_남_10~19세,"11,499",357,333,402,699,"2,537",159,225,331,190,562,199,"1,045",324,"2,929","1,027",180
2020년10월_남_20~29세,"14,512",418,474,638,"1,036","1,776",340,515,660,547,783,439,"1,456",619,"3,314","1,194",303
2020년10월_남_30~39세,"12,737",340,429,494,784,"1,288",360,462,619,420,752,443,"1,152",509,"2,569","1,826",290
2020년10월_남_40~49세,"16,791",522,558,623,"1,055","2,533",446,606,693,474,935,482,"1,493",587,"3,671","1,670",443
2020년10월_남_50~59세,"15,667",521,494,699,"1,009","2,006",488,665,770,581,889,455,"1,559",696,"3,166","1,162",507
2020년10월_남_60~69세,"12,817",424,402,614,884,"1,329",409,582,718,574,808,410,"1,231",678,"2,390",802,562
2020년10월_남_70~79세,"7,755",355,297,463,494,620,316,485,443,319,472,302,672,416,"1,408",336,357
2020년10월_남_80~89세,"2,626",129,97,159,195,245,114,151,128,86,186,103,203,125,461,92,152
2020년10월_남_90~99세,250,19,10,13,23,23,9,17,13,7,21,11,7,12,47,9,9
2020년10월_남_100세 이상,13,1,2,0,1,1,3,0,0,1,0,2,1,0,0,0,1
2020년10월_여_총인구수,"111,546","4,003","3,684","4,883","7,487","15,600","2,651","3,703","4,332","3,271","6,646","3,146","10,101","4,234","24,526","10,225","3,054"
2020년10월_여_연령구간인구수,"111,546","4,003","3,684","4,883","7,487","15,600","2,651","3,703","4,332","3,271","6,646","3,146","10,101","4,234","24,526","10,225","3,054"
2020년10월_여_0~9세,"8,462",246,261,240,427,"1,490",150,199,176,124,502,191,671,255,"1,953","1,420",157
2020년10월_여_10~19세,"11,410",388,347,376,690,"2,424",131,201,279,172,602,216,992,297,"3,103",999,193
2020년10월_여_20~29세,"13,682",428,428,628,975,"1,675",315,375,562,441,751,501,"1,367",535,"3,305","1,162",234
2020년10월_여_30~39세,"12,955",360,458,443,814,"1,629",306,375,464,314,786,402,"1,119",427,"2,885","1,936",237
2020년10월_여_40~49세,"17,329",561,568,642,"1,149","3,096",314,410,516,357,988,373,"1,567",552,"4,176","1,727",333
2020년10월_여_50~59세,"17,449",635,528,825,"1,222","2,339",404,581,770,656,"1,026",473,"1,753",776,"3,685","1,326",450
2020년10월_여_60~69세,"15,129",612,530,802,"1,058","1,597",444,632,805,624,"1,016",478,"1,402",730,"2,875",971,553
2020년10월_여_70~79세,"9,583",510,383,585,675,813,393,608,497,383,639,344,824,452,"1,635",390,452
2020년10월_여_80~89세,"4,598",219,155,281,396,439,161,259,227,171,277,138,334,178,766,228,369
2020년10월_여_90~99세,868,37,20,52,79,96,22,57,34,27,57,23,68,27,134,63,72
2020년10월_여_100세 이상,81,7,6,9,2,2,11,6,2,2,2,7,4,5,9,3,4
