카테고리,부산광역시 서구,부산광역시 서구 동대신제1동,부산광역시 서구 동대신제2동,부산광역시 서구 동대신제3동,부산광역시 서구 서대신제1동,부산광역시 서구 서대신제3동,부산광역시 서구 서대신제4동,부산광역시 서구 부민동,부산광역시 서구 아미동,부산광역시 서구 초장동,부산광역시 서구 충무동,부산광역시 서구 남부민제1동,부산광역시 서구 남부민제2동,부산광역시 서구 암남동
2021년04월_계_총인구수,"106,545","5,025","7,427","7,668","13,724","8,580","7,826","7,738","6,827","4,466","9,922","4,953","9,374","13,015"
2021년04월_계_연령구간인구수,"106,545","5,025","7,427","7,668","13,724","8,580","7,826","7,738","6,827","4,466","9,922","4,953","9,374","13,015"
2021년04월_계_0~9세,"5,547",286,310,428,"1,135",591,622,437,100,106,471,131,326,604
2021년04월_계_10~19세,"7,234",317,497,513,"1,099",826,768,574,292,174,521,187,501,965
2021년04월_계_20~29세,"13,417",635,745,"1,190","1,718","1,007",916,"1,570",766,417,"1,410",454,872,"1,717"
2021년04월_계_30~39세,"10,927",586,615,859,"1,841",899,830,945,508,336,"1,143",435,734,"1,196"
2021년04월_계_40~49세,"14,446",656,968,"1,047","2,140","1,318","1,232","1,023",784,582,"1,297",589,"1,178","1,632"
2021년04월_계_50~59세,"17,488",829,"1,280","1,111","2,084","1,409","1,263","1,099","1,181",794,"1,700",900,"1,631","2,207"
2021년04월_계_60~69세,"19,098",843,"1,438","1,293","1,850","1,353","1,174","1,138","1,528",963,"1,743","1,132","2,061","2,582"
2021년04월_계_70~79세,"12,201",542,"1,012",792,"1,232",756,660,608,"1,063",708,"1,137",773,"1,454","1,464"
2021년04월_계_80~89세,"5,493",291,501,376,551,368,313,296,543,345,455,312,556,586
2021년04월_계_90~99세,666,37,60,56,74,51,43,45,58,41,44,40,58,59
2021년04월_계_100세 이상,28,3,1,3,0,2,5,3,4,0,1,0,3,3
2021년04월_남_총인구수,"51,621","2,441","3,619","3,607","6,481","3,946","3,784","3,677","3,470","2,259","4,733","2,518","4,695","6,391"
2021년04월_남_연령구간인구수,"51,621","2,441","3,619","3,607","6,481","3,946","3,784","3,677","3,470","2,259","4,733","2,518","4,695","6,391"
2021년04월_남_0~9세,"2,899",156,164,219,587,312,342,224,51,52,241,69,167,315
2021년04월_남_10~19세,"3,667",149,241,250,562,389,392,289,158,87,267,98,276,509
2021년04월_남_20~29세,"6,575",337,395,536,823,468,478,695,399,227,612,246,475,884
2021년04월_남_30~39세,"5,656",312,330,460,870,428,392,469,285,194,593,250,414,659
2021년04월_남_40~49세,"7,482",352,503,519,"1,052",611,585,517,459,349,664,356,647,868
2021년04월_남_50~59세,"8,938",420,636,552,"1,016",649,613,556,669,447,881,494,903,"1,102"
2021년04월_남_60~69세,"8,917",375,683,586,832,623,561,535,767,473,805,537,980,"1,160"
2021년04월_남_70~79세,"5,322",230,445,337,528,335,289,273,468,313,477,340,631,656
2021년04월_남_80~89세,"2,020",102,212,133,195,120,122,112,199,108,180,120,192,225
2021년04월_남_90~99세,139,8,10,15,16,11,9,6,12,9,13,8,10,12
2021년04월_남_100세 이상,6,0,0,0,0,0,1,1,3,0,0,0,0,1
2021년04월_여_총인구수,"54,924","2,584","3,808","4,061","7,243","4,634","4,042","4,061","3,357","2,207","5,189","2,435","4,679","6,624"
2021년04월_여_연령구간인구수,"54,924","2,584","3,808","4,061","7,243","4,634","4,042","4,061","3,357","2,207","5,189","2,435","4,679","6,624"
2021년04월_여_0~9세,"2,648",130,146,209,548,279,280,213,49,54,230,62,159,289
2021년04월_여_10~19세,"3,567",168,256,263,537,437,376,285,134,87,254,89,225,456
2021년04월_여_20~29세,"6,842",298,350,654,895,539,438,875,367,190,798,208,397,833
2021년04월_여_30~39세,"5,271",274,285,399,971,471,438,476,223,142,550,185,320,537
2021년04월_여_40~49세,"6,964",304,465,528,"1,088",707,647,506,325,233,633,233,531,764
2021년04월_여_50~59세,"8,550",409,644,559,"1,068",760,650,543,512,347,819,406,728,"1,105"
2021년04월_여_60~69세,"10,181",468,755,707,"1,018",730,613,603,761,490,938,595,"1,081","1,422"
2021년04월_여_70~79세,"6,879",312,567,455,704,421,371,335,595,395,660,433,823,808
2021년04월_여_80~89세,"3,473",189,289,243,356,248,191,184,344,237,275,192,364,361
2021년04월_여_90~99세,527,29,50,41,58,40,34,39,46,32,31,32,48,47
2021년04월_여_100세 이상,22,3,1,3,0,2,4,2,1,0,1,0,3,2
