카테고리,경상북도 영덕군,경상북도 영덕군 영덕읍,경상북도 영덕군 강구면,경상북도 영덕군 남정면,경상북도 영덕군 달산면,경상북도 영덕군 지품면,경상북도 영덕군 지품면원전출장소,경상북도 영덕군 축산면,경상북도 영덕군 축산면축산출장소,경상북도 영덕군 영해면,경상북도 영덕군 병곡면,경상북도 영덕군 창수면
2020년01월_계_총인구수,"37,233","11,352","6,395","2,414","1,182","1,508",549,943,"1,788","6,548","2,833","1,721"
2020년01월_계_연령구간인구수,"37,233","11,352","6,395","2,414","1,182","1,508",549,943,"1,788","6,548","2,833","1,721"
2020년01월_계_0~9세,"1,829",889,246,55,18,37,8,33,50,371,92,30
2020년01월_계_10~19세,"2,209",952,319,66,46,44,19,33,80,465,128,57
2020년01월_계_20~29세,"2,647","1,030",471,146,53,77,17,53,101,515,122,62
2020년01월_계_30~39세,"2,694","1,171",428,119,52,63,15,40,87,499,150,70
2020년01월_계_40~49세,"4,127","1,607",760,196,79,114,38,89,181,744,207,112
2020년01월_계_50~59세,"6,419","1,895","1,193",419,202,291,88,144,324,"1,132",467,264
2020년01월_계_60~69세,"7,143","1,731","1,346",562,263,347,138,186,414,"1,173",592,391
2020년01월_계_70~79세,"6,052","1,274","1,059",482,257,312,141,206,363,954,587,417
2020년01월_계_80~89세,"3,608",689,507,316,184,195,77,137,171,616,438,278
2020년01월_계_90~99세,477,105,65,52,26,26,7,20,17,79,48,32
2020년01월_계_100세 이상,28,9,1,1,2,2,1,2,0,0,2,8
2020년01월_남_총인구수,"17,704","5,433","3,048","1,166",526,748,259,451,854,"3,059","1,320",840
2020년01월_남_연령구간인구수,"17,704","5,433","3,048","1,166",526,748,259,451,854,"3,059","1,320",840
2020년01월_남_0~9세,922,432,129,33,11,22,4,19,31,181,45,15
2020년01월_남_10~19세,"1,154",483,182,37,22,21,9,19,41,246,64,30
2020년01월_남_20~29세,"1,531",575,284,91,30,50,10,32,55,288,78,38
2020년01월_남_30~39세,"1,391",562,234,67,29,36,9,21,51,256,86,40
2020년01월_남_40~49세,"2,322",845,422,127,41,79,29,55,109,398,140,77
2020년01월_남_50~59세,"3,356","1,000",604,228,106,166,50,83,169,562,243,145
2020년01월_남_60~69세,"3,383",798,628,289,137,170,61,89,195,537,282,197
2020년01월_남_70~79세,"2,405",503,399,185,92,131,58,83,145,393,230,186
2020년01월_남_80~89세,"1,133",207,157,98,53,63,28,43,50,188,141,105
2020년01월_남_90~99세,100,25,8,11,5,10,1,6,8,10,11,5
2020년01월_남_100세 이상,7,3,1,0,0,0,0,1,0,0,0,2
2020년01월_여_총인구수,"19,529","5,919","3,347","1,248",656,760,290,492,934,"3,489","1,513",881
2020년01월_여_연령구간인구수,"19,529","5,919","3,347","1,248",656,760,290,492,934,"3,489","1,513",881
2020년01월_여_0~9세,907,457,117,22,7,15,4,14,19,190,47,15
2020년01월_여_10~19세,"1,055",469,137,29,24,23,10,14,39,219,64,27
2020년01월_여_20~29세,"1,116",455,187,55,23,27,7,21,46,227,44,24
2020년01월_여_30~39세,"1,303",609,194,52,23,27,6,19,36,243,64,30
2020년01월_여_40~49세,"1,805",762,338,69,38,35,9,34,72,346,67,35
2020년01월_여_50~59세,"3,063",895,589,191,96,125,38,61,155,570,224,119
2020년01월_여_60~69세,"3,760",933,718,273,126,177,77,97,219,636,310,194
2020년01월_여_70~79세,"3,647",771,660,297,165,181,83,123,218,561,357,231
2020년01월_여_80~89세,"2,475",482,350,218,131,132,49,94,121,428,297,173
2020년01월_여_90~99세,377,80,57,41,21,16,6,14,9,69,37,27
2020년01월_여_100세 이상,21,6,0,1,2,2,1,1,0,0,2,6
