,전라남도 함평군,전라남도 함평군 함평읍,전라남도 함평군 손불면,전라남도 함평군 신광면,전라남도 함평군 학교면,전라남도 함평군 엄다면,전라남도 함평군 대동면,전라남도 함평군 나산면,전라남도 함평군 해보면,전라남도 함평군 월야면
2020년10월_계_총인구수,"32,192","8,441","3,418","1,869","3,912","1,936","3,137","2,894","2,879","3,706"
2020년10월_계_연령구간인구수,"32,192","8,441","3,418","1,869","3,912","1,936","3,137","2,894","2,879","3,706"
2020년10월_계_0~9세,"1,408",543,141,69,144,45,107,103,101,155
2020년10월_계_10~19세,"2,074",765,184,65,226,91,237,141,133,232
2020년10월_계_20~29세,"2,518",796,198,130,268,143,254,199,256,274
2020년10월_계_30~39세,"2,165",724,178,119,238,102,196,190,186,232
2020년10월_계_40~49세,"3,507","1,144",346,185,384,171,290,258,321,408
2020년10월_계_50~59세,"5,539","1,358",585,292,666,369,583,509,530,647
2020년10월_계_60~69세,"5,887","1,271",659,413,778,369,545,637,563,652
2020년10월_계_70~79세,"5,163","1,054",654,330,669,345,525,473,444,669
2020년10월_계_80~89세,"3,415",687,425,228,464,264,348,331,289,379
2020년10월_계_90~99세,490,93,47,37,71,36,51,51,49,55
2020년10월_계_100세 이상,26,6,1,1,4,1,1,2,7,3
2020년10월_남_총인구수,"16,113","4,151","1,699",933,"1,943",935,"1,610","1,431","1,458","1,953"
2020년10월_남_연령구간인구수,"16,113","4,151","1,699",933,"1,943",935,"1,610","1,431","1,458","1,953"
2020년10월_남_0~9세,734,277,59,38,82,18,60,58,53,89
2020년10월_남_10~19세,"1,095",414,93,34,113,50,131,65,68,127
2020년10월_남_20~29세,"1,491",438,121,69,166,93,160,119,150,175
2020년10월_남_30~39세,"1,154",357,98,72,129,56,114,105,93,130
2020년10월_남_40~49세,"2,083",620,231,119,235,99,159,152,186,282
2020년10월_남_50~59세,"3,218",745,342,162,377,211,364,301,313,403
2020년10월_남_60~69세,"3,058",630,347,207,416,197,272,343,297,349
2020년10월_남_70~79세,"2,152",437,260,151,278,131,235,193,193,274
2020년10월_남_80~89세,"1,015",209,137,73,132,70,107,90,89,108
2020년10월_남_90~99세,111,22,11,8,15,10,8,5,16,16
2020년10월_남_100세 이상,2,2,0,0,0,0,0,0,0,0
2020년10월_여_총인구수,"16,079","4,290","1,719",936,"1,969","1,001","1,527","1,463","1,421","1,753"
2020년10월_여_연령구간인구수,"16,079","4,290","1,719",936,"1,969","1,001","1,527","1,463","1,421","1,753"
2020년10월_여_0~9세,674,266,82,31,62,27,47,45,48,66
2020년10월_여_10~19세,979,351,91,31,113,41,106,76,65,105
2020년10월_여_20~29세,"1,027",358,77,61,102,50,94,80,106,99
2020년10월_여_30~39세,"1,011",367,80,47,109,46,82,85,93,102
2020년10월_여_40~49세,"1,424",524,115,66,149,72,131,106,135,126
2020년10월_여_50~59세,"2,321",613,243,130,289,158,219,208,217,244
2020년10월_여_60~69세,"2,829",641,312,206,362,172,273,294,266,303
2020년10월_여_70~79세,"3,011",617,394,179,391,214,290,280,251,395
2020년10월_여_80~89세,"2,400",478,288,155,332,194,241,241,200,271
2020년10월_여_90~99세,379,71,36,29,56,26,43,46,33,39
2020년10월_여_100세 이상,24,4,1,1,4,1,1,2,7,3
