카테고리,경상남도 의령군,경상남도 의령군 의령읍,경상남도 의령군 가례면,경상남도 의령군 칠곡면,경상남도 의령군 대의면,경상남도 의령군 화정면,경상남도 의령군 용덕면,경상남도 의령군 정곡면,경상남도 의령군 지정면,경상남도 의령군 낙서면,경상남도 의령군 부림면,경상남도 의령군 봉수면,경상남도 의령군 궁류면,경상남도 의령군 유곡면
2020년04월_계_총인구수,"26,979","9,506","1,725","1,167","1,029","1,574","1,611","1,456","1,840",766,"2,899","1,027","1,177","1,202"
2020년04월_계_연령구간인구수,"26,979","9,506","1,725","1,167","1,029","1,574","1,611","1,456","1,840",766,"2,899","1,027","1,177","1,202"
2020년04월_계_0~9세,"1,134",727,36,25,31,38,39,35,32,18,94,27,14,18
2020년04월_계_10~19세,"1,579",898,64,39,28,70,64,50,65,28,174,39,32,28
2020년04월_계_20~29세,"2,068",971,104,77,67,132,107,87,115,33,217,48,47,63
2020년04월_계_30~39세,"1,866",994,100,59,52,77,103,52,97,30,147,61,43,51
2020년04월_계_40~49세,"2,955","1,516",144,83,75,135,145,118,151,53,308,78,67,82
2020년04월_계_50~59세,"4,705","1,567",329,223,176,285,301,284,328,124,521,144,205,218
2020년04월_계_60~69세,"5,191","1,368",394,274,218,329,355,315,443,196,545,238,256,260
2020년04월_계_70~79세,"4,071",882,276,202,201,272,252,277,362,148,534,199,239,227
2020년04월_계_80~89세,"2,970",509,240,159,157,209,214,209,218,117,310,167,242,219
2020년04월_계_90~99세,432,71,37,26,23,27,31,29,28,19,49,26,32,34
2020년04월_계_100세 이상,8,3,1,0,1,0,0,0,1,0,0,0,0,2
2020년04월_남_총인구수,"13,173","4,681",854,567,492,763,782,705,930,358,"1,391",533,552,565
2020년04월_남_연령구간인구수,"13,173","4,681",854,567,492,763,782,705,930,358,"1,391",533,552,565
2020년04월_남_0~9세,579,379,18,13,12,17,16,17,15,12,46,18,9,7
2020년04월_남_10~19세,851,473,39,23,19,39,30,25,32,19,93,25,19,15
2020년04월_남_20~29세,"1,160",524,54,45,40,81,56,43,72,21,133,26,34,31
2020년04월_남_30~39세,996,472,61,36,31,36,65,34,51,15,91,44,23,37
2020년04월_남_40~49세,"1,720",818,90,54,47,81,85,73,99,37,183,60,41,52
2020년04월_남_50~59세,"2,581",836,184,112,97,160,170,164,174,64,286,85,117,132
2020년04월_남_60~69세,"2,693",651,225,148,119,174,197,170,246,100,257,141,134,131
2020년04월_남_70~79세,"1,648",378,108,80,81,102,100,109,166,50,216,75,98,85
2020년04월_남_80~89세,852,133,65,49,41,68,56,60,68,36,81,55,74,66
2020년04월_남_90~99세,91,17,10,7,5,5,7,10,6,4,5,4,3,8
2020년04월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,0,0,0,1
2020년04월_여_총인구수,"13,806","4,825",871,600,537,811,829,751,910,408,"1,508",494,625,637
2020년04월_여_연령구간인구수,"13,806","4,825",871,600,537,811,829,751,910,408,"1,508",494,625,637
2020년04월_여_0~9세,555,348,18,12,19,21,23,18,17,6,48,9,5,11
2020년04월_여_10~19세,728,425,25,16,9,31,34,25,33,9,81,14,13,13
2020년04월_여_20~29세,908,447,50,32,27,51,51,44,43,12,84,22,13,32
2020년04월_여_30~39세,870,522,39,23,21,41,38,18,46,15,56,17,20,14
2020년04월_여_40~49세,"1,235",698,54,29,28,54,60,45,52,16,125,18,26,30
2020년04월_여_50~59세,"2,124",731,145,111,79,125,131,120,154,60,235,59,88,86
2020년04월_여_60~69세,"2,498",717,169,126,99,155,158,145,197,96,288,97,122,129
2020년04월_여_70~79세,"2,423",504,168,122,120,170,152,168,196,98,318,124,141,142
2020년04월_여_80~89세,"2,118",376,175,110,116,141,158,149,150,81,229,112,168,153
2020년04월_여_90~99세,341,54,27,19,18,22,24,19,22,15,44,22,29,26
2020년04월_여_100세 이상,6,3,1,0,1,0,0,0,0,0,0,0,0,1
