,경상북도 울릉군,경상북도 울릉군 울릉읍,경상북도 울릉군 서면,경상북도 울릉군 서면태하출장소,경상북도 울릉군 북면
2021년10월_계_총인구수,"8,894","6,309",886,433,"1,266"
2021년10월_계_연령구간인구수,"8,894","6,309",886,433,"1,266"
2021년10월_계_0~9세,381,284,40,13,44
2021년10월_계_10~19세,453,352,43,18,40
2021년10월_계_20~29세,810,612,67,24,107
2021년10월_계_30~39세,809,627,64,27,91
2021년10월_계_40~49세,"1,220",917,100,35,168
2021년10월_계_50~59세,"1,780","1,276",182,86,236
2021년10월_계_60~69세,"1,809","1,246",188,96,279
2021년10월_계_70~79세,"1,048",675,117,83,173
2021년10월_계_80~89세,498,275,78,36,109
2021년10월_계_90~99세,83,42,7,15,19
2021년10월_계_100세 이상,3,3,0,0,0
2021년10월_남_총인구수,"4,867","3,462",479,234,692
2021년10월_남_연령구간인구수,"4,867","3,462",479,234,692
2021년10월_남_0~9세,194,145,19,8,22
2021년10월_남_10~19세,229,167,29,12,21
2021년10월_남_20~29세,501,377,48,11,65
2021년10월_남_30~39세,480,375,36,15,54
2021년10월_남_40~49세,748,550,60,28,110
2021년10월_남_50~59세,"1,061",761,109,51,140
2021년10월_남_60~69세,942,645,101,46,150
2021년10월_남_70~79세,493,318,51,44,80
2021년10월_남_80~89세,199,116,24,14,45
2021년10월_남_90~99세,20,8,2,5,5
2021년10월_남_100세 이상,0,0,0,0,0
2021년10월_여_총인구수,"4,027","2,847",407,199,574
2021년10월_여_연령구간인구수,"4,027","2,847",407,199,574
2021년10월_여_0~9세,187,139,21,5,22
2021년10월_여_10~19세,224,185,14,6,19
2021년10월_여_20~29세,309,235,19,13,42
2021년10월_여_30~39세,329,252,28,12,37
2021년10월_여_40~49세,472,367,40,7,58
2021년10월_여_50~59세,719,515,73,35,96
2021년10월_여_60~69세,867,601,87,50,129
2021년10월_여_70~79세,555,357,66,39,93
2021년10월_여_80~89세,299,159,54,22,64
2021년10월_여_90~99세,63,34,5,10,14
2021년10월_여_100세 이상,3,3,0,0,0
