,전라북도 익산시,전라북도 익산시 함열읍,전라북도 익산시 오산면,전라북도 익산시 황등면,전라북도 익산시 함라면,전라북도 익산시 웅포면,전라북도 익산시 성당면,전라북도 익산시 용안면,전라북도 익산시 낭산면,전라북도 익산시 망성면,전라북도 익산시 여산면,전라북도 익산시 금마면,전라북도 익산시 왕궁면,전라북도 익산시 춘포면,전라북도 익산시 삼기면,전라북도 익산시 용동면,전라북도 익산시 중앙동,전라북도 익산시 평화동,전라북도 익산시 인화동,전라북도 익산시 동산동,전라북도 익산시 마동,전라북도 익산시 남중동,전라북도 익산시 모현동,전라북도 익산시 송학동,전라북도 익산시 영등1동,전라북도 익산시 영등2동,전라북도 익산시 어양동,전라북도 익산시 신동,전라북도 익산시 팔봉동,전라북도 익산시 삼성동
2020년07월_계_총인구수,"283,853","7,078","7,981","7,300","2,310","1,597","1,940","2,677","3,145","3,041","3,420","5,363","4,468","4,593","2,650","1,595","3,528","4,960","7,128","22,634","9,236","11,812","38,722","8,659","23,666","14,483","25,425","15,654","6,743","32,045"
2020년07월_계_연령구간인구수,"283,853","7,078","7,981","7,300","2,310","1,597","1,940","2,677","3,145","3,041","3,420","5,363","4,468","4,593","2,650","1,595","3,528","4,960","7,128","22,634","9,236","11,812","38,722","8,659","23,666","14,483","25,425","15,654","6,743","32,045"
2020년07월_계_0~9세,"19,887",385,549,288,64,31,34,73,114,95,193,333,91,192,71,23,105,348,324,"1,728",424,516,"3,763",919,"1,617","1,326","2,398",668,570,"2,645"
2020년07월_계_10~19세,"28,454",604,622,528,137,66,102,150,147,135,175,375,204,298,116,87,163,349,429,"2,256",673,865,"4,366",967,"2,794","2,137","3,525","1,185",688,"4,311"
2020년07월_계_20~29세,"36,377",643,706,683,177,98,126,185,221,151,335,698,269,407,260,106,362,504,905,"2,558","1,351","1,373","4,893",882,"3,408","2,266","3,511","3,995",741,"4,563"
2020년07월_계_30~39세,"29,191",562,821,529,127,63,98,153,206,165,287,470,242,345,158,68,327,573,787,"2,463",872,"1,045","4,533","1,215","2,464","1,685","3,152","1,450",867,"3,464"
2020년07월_계_40~49세,"42,525",836,"1,064",841,226,141,180,238,332,267,337,593,414,536,258,155,434,727,867,"3,519","1,198","1,516","6,284","1,446","3,677","2,846","5,014","1,747","1,054","5,778"
2020년07월_계_50~59세,"49,454","1,240","1,411","1,349",439,276,370,386,569,544,577,944,770,850,557,236,584,950,"1,156","4,043","1,870","1,953","6,404","1,265","4,600","2,450","4,393","2,312","1,091","5,865"
2020년07월_계_60~69세,"39,433","1,384","1,409","1,373",446,374,439,607,656,699,630,979,998,904,513,367,727,823,"1,286","3,311","1,598","2,126","4,669","1,050","3,130",947,"2,057","2,031",858,"3,042"
2020년07월_계_70~79세,"24,148",853,824,981,400,287,337,517,534,566,516,619,825,574,392,309,568,459,895,"1,813",852,"1,699","2,472",642,"1,297",555,907,"1,440",518,"1,497"
2020년07월_계_80~89세,"12,394",497,496,614,245,217,214,316,322,365,327,311,550,412,270,207,213,193,423,838,342,636,"1,156",242,577,242,409,694,280,786
2020년07월_계_90~99세,"1,884",68,77,104,45,42,37,52,43,50,41,39,97,74,51,34,40,31,54,95,54,80,177,29,100,29,56,120,73,92
2020년07월_계_100세 이상,106,6,2,10,4,2,3,0,1,4,2,2,8,1,4,3,5,3,2,10,2,3,5,2,2,0,3,12,3,2
2020년07월_남_총인구수,"141,360","3,462","3,944","3,678","1,139",819,988,"1,347","1,656","1,494","1,709","2,836","2,297","2,373","1,364",783,"1,881","2,626","3,641","11,153","4,703","5,991","18,760","4,324","11,666","7,088","12,393","7,891","3,469","15,885"
2020년07월_남_연령구간인구수,"141,360","3,462","3,944","3,678","1,139",819,988,"1,347","1,656","1,494","1,709","2,836","2,297","2,373","1,364",783,"1,881","2,626","3,641","11,153","4,703","5,991","18,760","4,324","11,666","7,088","12,393","7,891","3,469","15,885"
2020년07월_남_0~9세,"10,143",198,276,150,27,15,26,36,51,42,86,176,57,105,42,11,62,190,173,854,240,274,"1,923",451,823,674,"1,233",336,292,"1,320"
2020년07월_남_10~19세,"14,573",278,310,265,64,44,52,74,90,62,97,182,117,167,66,47,101,163,224,"1,199",375,478,"2,163",519,"1,429","1,119","1,787",566,348,"2,187"
2020년07월_남_20~29세,"19,809",369,367,399,106,52,73,105,127,93,188,477,149,233,149,62,205,282,463,"1,380",736,755,"2,535",478,"1,870","1,174","1,865","2,253",417,"2,447"
2020년07월_남_30~39세,"15,285",294,450,289,73,41,57,102,117,110,167,261,163,195,104,34,208,305,469,"1,285",502,589,"2,201",613,"1,264",821,"1,548",829,475,"1,719"
2020년07월_남_40~49세,"21,718",458,570,481,132,92,119,159,213,154,199,345,266,323,169,103,255,410,487,"1,831",654,835,"3,097",756,"1,748","1,285","2,299",940,550,"2,788"
2020년07월_남_50~59세,"25,107",641,713,727,236,165,218,213,330,293,317,488,435,482,304,123,304,530,629,"1,986",893,990,"3,055",644,"2,197","1,246","2,224","1,131",581,"3,012"
2020년07월_남_60~69세,"19,536",684,703,713,239,192,221,304,365,344,315,502,522,472,268,187,376,430,594,"1,581",786,"1,004","2,266",496,"1,560",468,969,961,445,"1,569"
2020년07월_남_70~79세,"10,708",373,367,438,172,130,149,239,232,259,237,287,375,259,169,137,275,239,432,733,394,768,"1,089",275,591,211,343,660,251,624
2020년07월_남_80~89세,"4,018",154,167,191,79,78,65,103,118,124,93,107,176,119,80,72,82,70,155,277,111,272,385,83,163,84,114,196,93,207
2020년07월_남_90~99세,440,12,19,22,11,10,7,12,13,12,9,11,34,18,12,7,13,6,15,24,12,24,46,8,21,6,11,18,16,11
2020년07월_남_100세 이상,23,1,2,3,0,0,1,0,0,1,1,0,3,0,1,0,0,1,0,3,0,2,0,1,0,0,0,1,1,1
2020년07월_여_총인구수,"142,493","3,616","4,037","3,622","1,171",778,952,"1,330","1,489","1,547","1,711","2,527","2,171","2,220","1,286",812,"1,647","2,334","3,487","11,481","4,533","5,821","19,962","4,335","12,000","7,395","13,032","7,763","3,274","16,160"
2020년07월_여_연령구간인구수,"142,493","3,616","4,037","3,622","1,171",778,952,"1,330","1,489","1,547","1,711","2,527","2,171","2,220","1,286",812,"1,647","2,334","3,487","11,481","4,533","5,821","19,962","4,335","12,000","7,395","13,032","7,763","3,274","16,160"
2020년07월_여_0~9세,"9,744",187,273,138,37,16,8,37,63,53,107,157,34,87,29,12,43,158,151,874,184,242,"1,840",468,794,652,"1,165",332,278,"1,325"
2020년07월_여_10~19세,"13,881",326,312,263,73,22,50,76,57,73,78,193,87,131,50,40,62,186,205,"1,057",298,387,"2,203",448,"1,365","1,018","1,738",619,340,"2,124"
2020년07월_여_20~29세,"16,568",274,339,284,71,46,53,80,94,58,147,221,120,174,111,44,157,222,442,"1,178",615,618,"2,358",404,"1,538","1,092","1,646","1,742",324,"2,116"
2020년07월_여_30~39세,"13,906",268,371,240,54,22,41,51,89,55,120,209,79,150,54,34,119,268,318,"1,178",370,456,"2,332",602,"1,200",864,"1,604",621,392,"1,745"
2020년07월_여_40~49세,"20,807",378,494,360,94,49,61,79,119,113,138,248,148,213,89,52,179,317,380,"1,688",544,681,"3,187",690,"1,929","1,561","2,715",807,504,"2,990"
2020년07월_여_50~59세,"24,347",599,698,622,203,111,152,173,239,251,260,456,335,368,253,113,280,420,527,"2,057",977,963,"3,349",621,"2,403","1,204","2,169","1,181",510,"2,853"
2020년07월_여_60~69세,"19,897",700,706,660,207,182,218,303,291,355,315,477,476,432,245,180,351,393,692,"1,730",812,"1,122","2,403",554,"1,570",479,"1,088","1,070",413,"1,473"
2020년07월_여_70~79세,"13,440",480,457,543,228,157,188,278,302,307,279,332,450,315,223,172,293,220,463,"1,080",458,931,"1,383",367,706,344,564,780,267,873
2020년07월_여_80~89세,"8,376",343,329,423,166,139,149,213,204,241,234,204,374,293,190,135,131,123,268,561,231,364,771,159,414,158,295,498,187,579
2020년07월_여_90~99세,"1,444",56,58,82,34,32,30,40,30,38,32,28,63,56,39,27,27,25,39,71,42,56,131,21,79,23,45,102,57,81
2020년07월_여_100세 이상,83,5,0,7,4,2,2,0,1,3,1,2,5,1,3,3,5,2,2,7,2,1,5,1,2,0,3,11,2,1
