카테고리,부산광역시 남구,부산광역시 남구 대연제1동,부산광역시 남구 대연제3동,부산광역시 남구 대연제4동,부산광역시 남구 대연제5동,부산광역시 남구 대연제6동,부산광역시 남구 용호제1동,부산광역시 남구 용호제2동,부산광역시 남구 용호제3동,부산광역시 남구 용호제4동,부산광역시 남구 용당동,부산광역시 남구 감만제1동,부산광역시 남구 감만제2동,부산광역시 남구 우암동,부산광역시 남구 문현제1동,부산광역시 남구 문현제2동,부산광역시 남구 문현제3동,부산광역시 남구 문현제4동
2021년07월_계_총인구수,"263,764","15,823","32,632","12,471","16,902","15,510","44,502","16,924","12,347","8,596","8,258","13,249","6,801","12,989","13,787","8,618","15,786","8,569"
2021년07월_계_연령구간인구수,"263,764","15,823","32,632","12,471","16,902","15,510","44,502","16,924","12,347","8,596","8,258","13,249","6,801","12,989","13,787","8,618","15,786","8,569"
2021년07월_계_0~9세,"17,182",492,"2,691","1,022","1,056","1,743","3,297","1,355",484,501,507,621,266,605,726,356,"1,140",320
2021년07월_계_10~19세,"22,701",926,"3,157",878,"1,402","1,557","5,053","1,777",879,648,771,935,477,879,"1,196",375,"1,272",519
2021년07월_계_20~29세,"34,475","3,597","6,305","1,210","2,725","1,709","4,866","1,608","1,385",888,"1,036","1,430",636,"1,250","1,657","1,266","1,892","1,015"
2021년07월_계_30~39세,"28,881","1,820","4,047","1,688","1,942","2,103","3,997","1,764","1,098","1,008",786,"1,326",610,"1,206","1,277","1,317","2,082",810
2021년07월_계_40~49세,"41,006","2,031","5,656","1,876","2,579","2,787","7,599","2,798","1,630","1,315","1,253","1,887",994,"1,808","2,107","1,165","2,413","1,108"
2021년07월_계_50~59세,"42,225","2,217","4,584","1,832","2,494","2,247","7,939","2,656","2,099","1,334","1,479","2,236","1,116","2,099","2,469","1,272","2,630","1,522"
2021년07월_계_60~69세,"41,278","2,331","3,472","2,013","2,448","1,859","6,502","2,792","2,550","1,635","1,363","2,586","1,354","2,699","2,308","1,379","2,346","1,641"
2021년07월_계_70~79세,"24,954","1,673","1,882","1,353","1,566","1,054","3,597","1,553","1,592",899,756,"1,559",933,"1,712","1,415",947,"1,382","1,081"
2021년07월_계_80~89세,"9,861",669,728,544,628,397,"1,441",538,567,322,268,601,381,641,574,485,576,501
2021년07월_계_90~99세,"1,136",57,106,53,61,53,210,77,60,38,38,53,32,87,58,53,53,47
2021년07월_계_100세 이상,65,10,4,2,1,1,1,6,3,8,1,15,2,3,0,3,0,5
2021년07월_남_총인구수,"128,982","7,950","15,917","6,093","8,144","7,462","21,430","8,305","5,980","4,149","4,200","6,751","3,346","6,429","6,710","4,264","7,664","4,188"
2021년07월_남_연령구간인구수,"128,982","7,950","15,917","6,093","8,144","7,462","21,430","8,305","5,980","4,149","4,200","6,751","3,346","6,429","6,710","4,264","7,664","4,188"
2021년07월_남_0~9세,"8,758",233,"1,383",523,561,848,"1,643",691,238,274,272,322,137,339,385,188,561,160
2021년07월_남_10~19세,"11,705",470,"1,623",468,717,816,"2,582",924,447,317,396,505,264,449,603,200,641,283
2021년07월_남_20~29세,"18,219","1,950","3,205",635,"1,318",863,"2,619",893,755,463,605,829,357,701,891,572,"1,006",557
2021년07월_남_30~39세,"14,814","1,061","1,991",856,967,"1,009","1,893",873,608,533,423,727,336,642,643,722,"1,080",450
2021년07월_남_40~49세,"20,569","1,079","2,774",999,"1,284","1,347","3,526","1,388",841,672,627,"1,033",530,974,"1,057",646,"1,201",591
2021년07월_남_50~59세,"20,664","1,107","2,182",875,"1,215","1,076","3,846","1,288","1,006",633,753,"1,144",583,"1,059","1,213",673,"1,274",737
2021년07월_남_60~69세,"19,040","1,005","1,595",924,"1,109",836,"3,093","1,290","1,141",714,679,"1,249",580,"1,223","1,099",681,"1,061",761
2021년07월_남_70~79세,"11,163",735,855,590,693,495,"1,615",755,733,405,330,697,403,792,606,409,611,439
2021년07월_남_80~89세,"3,797",294,289,210,264,159,556,191,201,120,111,231,151,239,204,162,217,198
2021년07월_남_90~99세,240,14,19,13,15,13,57,11,10,15,4,11,5,10,9,11,12,11
2021년07월_남_100세 이상,13,2,1,0,1,0,0,1,0,3,0,3,0,1,0,0,0,1
2021년07월_여_총인구수,"134,782","7,873","16,715","6,378","8,758","8,048","23,072","8,619","6,367","4,447","4,058","6,498","3,455","6,560","7,077","4,354","8,122","4,381"
2021년07월_여_연령구간인구수,"134,782","7,873","16,715","6,378","8,758","8,048","23,072","8,619","6,367","4,447","4,058","6,498","3,455","6,560","7,077","4,354","8,122","4,381"
2021년07월_여_0~9세,"8,424",259,"1,308",499,495,895,"1,654",664,246,227,235,299,129,266,341,168,579,160
2021년07월_여_10~19세,"10,996",456,"1,534",410,685,741,"2,471",853,432,331,375,430,213,430,593,175,631,236
2021년07월_여_20~29세,"16,256","1,647","3,100",575,"1,407",846,"2,247",715,630,425,431,601,279,549,766,694,886,458
2021년07월_여_30~39세,"14,067",759,"2,056",832,975,"1,094","2,104",891,490,475,363,599,274,564,634,595,"1,002",360
2021년07월_여_40~49세,"20,437",952,"2,882",877,"1,295","1,440","4,073","1,410",789,643,626,854,464,834,"1,050",519,"1,212",517
2021년07월_여_50~59세,"21,561","1,110","2,402",957,"1,279","1,171","4,093","1,368","1,093",701,726,"1,092",533,"1,040","1,256",599,"1,356",785
2021년07월_여_60~69세,"22,238","1,326","1,877","1,089","1,339","1,023","3,409","1,502","1,409",921,684,"1,337",774,"1,476","1,209",698,"1,285",880
2021년07월_여_70~79세,"13,791",938,"1,027",763,873,559,"1,982",798,859,494,426,862,530,920,809,538,771,642
2021년07월_여_80~89세,"6,064",375,439,334,364,238,885,347,366,202,157,370,230,402,370,323,359,303
2021년07월_여_90~99세,896,43,87,40,46,40,153,66,50,23,34,42,27,77,49,42,41,36
2021년07월_여_100세 이상,52,8,3,2,0,1,1,5,3,5,1,12,2,2,0,3,0,4
