,서울특별시 강북구,서울특별시 강북구 삼양동,서울특별시 강북구 미아동,서울특별시 강북구 송중동,서울특별시 강북구 송천동,서울특별시 강북구 삼각산동,서울특별시 강북구 번1동,서울특별시 강북구 번2동,서울특별시 강북구 번3동,서울특별시 강북구 수유1동,서울특별시 강북구 수유2동,서울특별시 강북구 수유3동,서울특별시 강북구 우이동,서울특별시 강북구 인수동
2021년01월_계_총인구수,"307,487","24,470","22,210","30,332","27,367","31,901","18,978","16,406","17,449","21,216","21,490","23,557","20,929","31,182"
2021년01월_계_연령구간인구수,"307,487","24,470","22,210","30,332","27,367","31,901","18,978","16,406","17,449","21,216","21,490","23,557","20,929","31,182"
2021년01월_계_0~9세,"15,539","1,292",785,"1,533","1,063","2,964",689,679,955,"1,055","1,071",832,"1,080","1,541"
2021년01월_계_10~19세,"21,915","1,962","1,345","2,061","1,633","4,001","1,081","1,085","1,346","1,333","1,440","1,112","1,396","2,120"
2021년01월_계_20~29세,"42,757","3,145","3,868","4,257","3,676","3,373","3,242","2,217","1,918","3,073","2,965","4,295","2,664","4,064"
2021년01월_계_30~39세,"38,518","2,988","2,884","4,100","3,258","3,791","2,797","1,790","1,727","2,791","2,587","3,396","2,591","3,818"
2021년01월_계_40~49세,"46,530","3,662","3,096","4,596","3,905","6,487","2,907","2,406","2,652","2,997","3,052","3,308","2,985","4,477"
2021년01월_계_50~59세,"52,613","4,363","3,832","5,210","5,046","4,984","3,133","2,786","2,812","3,614","3,783","4,050","3,597","5,403"
2021년01월_계_60~69세,"46,062","3,792","3,332","4,589","4,598","3,356","2,638","2,664","2,664","3,351","3,341","3,435","3,311","4,991"
2021년01월_계_70~79세,"30,175","2,260","2,119","2,842","2,901","2,010","1,777","2,007","2,521","1,999","2,155","2,171","2,184","3,229"
2021년01월_계_80~89세,"11,608",847,839,992,"1,114",812,628,686,759,849,965,843,944,"1,330"
2021년01월_계_90~99세,"1,517",129,100,120,145,99,78,83,84,115,127,100,147,190
2021년01월_계_100세 이상,253,30,10,32,28,24,8,3,11,39,4,15,30,19
2021년01월_남_총인구수,"149,822","12,192","10,711","14,591","13,579","15,341","9,536","7,958","8,206","10,498","10,290","11,676","10,177","15,067"
2021년01월_남_연령구간인구수,"149,822","12,192","10,711","14,591","13,579","15,341","9,536","7,958","8,206","10,498","10,290","11,676","10,177","15,067"
2021년01월_남_0~9세,"8,061",683,413,798,533,"1,543",367,361,488,537,549,415,577,797
2021년01월_남_10~19세,"11,263","1,025",714,"1,000",828,"2,037",567,567,687,682,771,600,738,"1,047"
2021년01월_남_20~29세,"20,963","1,613","1,682","2,084","1,874","1,679","1,577","1,161",978,"1,555","1,428","2,054","1,243","2,035"
2021년01월_남_30~39세,"20,209","1,589","1,529","2,062","1,739","1,757","1,511",992,892,"1,512","1,369","1,857","1,392","2,008"
2021년01월_남_40~49세,"23,851","1,868","1,617","2,348","2,058","3,135","1,541","1,222","1,349","1,607","1,526","1,754","1,532","2,294"
2021년01월_남_50~59세,"25,804","2,202","1,861","2,463","2,552","2,489","1,631","1,362","1,353","1,753","1,783","2,042","1,736","2,577"
2021년01월_남_60~69세,"21,505","1,788","1,625","2,120","2,242","1,541","1,250","1,218","1,183","1,566","1,545","1,591","1,534","2,302"
2021년01월_남_70~79세,"13,027","1,035",907,"1,247","1,257",853,804,801,962,903,906,976,954,"1,422"
2021년01월_남_80~89세,"4,653",340,335,422,444,280,264,253,291,346,375,351,416,536
2021년01월_남_90~99세,422,38,27,34,47,21,23,19,21,32,37,33,47,43
2021년01월_남_100세 이상,64,11,1,13,5,6,1,2,2,5,1,3,8,6
2021년01월_여_총인구수,"157,665","12,278","11,499","15,741","13,788","16,560","9,442","8,448","9,243","10,718","11,200","11,881","10,752","16,115"
2021년01월_여_연령구간인구수,"157,665","12,278","11,499","15,741","13,788","16,560","9,442","8,448","9,243","10,718","11,200","11,881","10,752","16,115"
2021년01월_여_0~9세,"7,478",609,372,735,530,"1,421",322,318,467,518,522,417,503,744
2021년01월_여_10~19세,"10,652",937,631,"1,061",805,"1,964",514,518,659,651,669,512,658,"1,073"
2021년01월_여_20~29세,"21,794","1,532","2,186","2,173","1,802","1,694","1,665","1,056",940,"1,518","1,537","2,241","1,421","2,029"
2021년01월_여_30~39세,"18,309","1,399","1,355","2,038","1,519","2,034","1,286",798,835,"1,279","1,218","1,539","1,199","1,810"
2021년01월_여_40~49세,"22,679","1,794","1,479","2,248","1,847","3,352","1,366","1,184","1,303","1,390","1,526","1,554","1,453","2,183"
2021년01월_여_50~59세,"26,809","2,161","1,971","2,747","2,494","2,495","1,502","1,424","1,459","1,861","2,000","2,008","1,861","2,826"
2021년01월_여_60~69세,"24,557","2,004","1,707","2,469","2,356","1,815","1,388","1,446","1,481","1,785","1,796","1,844","1,777","2,689"
2021년01월_여_70~79세,"17,148","1,225","1,212","1,595","1,644","1,157",973,"1,206","1,559","1,096","1,249","1,195","1,230","1,807"
2021년01월_여_80~89세,"6,955",507,504,570,670,532,364,433,468,503,590,492,528,794
2021년01월_여_90~99세,"1,095",91,73,86,98,78,55,64,63,83,90,67,100,147
2021년01월_여_100세 이상,189,19,9,19,23,18,7,1,9,34,3,12,22,13
