카테고리,전라남도,전라남도 목포시,전라남도 여수시,전라남도 순천시,전라남도 나주시,전라남도 광양시,전라남도 담양군,전라남도 곡성군,전라남도 구례군,전라남도 고흥군,전라남도 보성군,전라남도 화순군,전라남도 장흥군,전라남도 강진군,전라남도 해남군,전라남도 영암군,전라남도 무안군,전라남도 함평군,전라남도 영광군,전라남도 장성군,전라남도 완도군,전라남도 진도군,전라남도 신안군
2020년08월_계_총인구수,"1,851,985","226,875","280,603","281,999","114,392","151,122","45,980","28,226","25,696","64,198","40,754","62,649","37,909","34,809","69,274","54,045","83,006","32,238","53,365","44,921","50,153","30,385","39,386"
2020년08월_계_연령구간인구수,"1,851,985","226,875","280,603","281,999","114,392","151,122","45,980","28,226","25,696","64,198","40,754","62,649","37,909","34,809","69,274","54,045","83,006","32,238","53,365","44,921","50,153","30,385","39,386"
2020년08월_계_0~9세,"134,604","19,151","21,426","23,778","10,084","13,681","2,322","1,117","1,173","2,640","1,821","3,564","2,042","1,826","4,174","3,724","7,329","1,439","3,820","2,878","3,240","1,735","1,640"
2020년08월_계_10~19세,"168,964","24,985","26,732","30,641","9,351","16,091","3,030","2,003","1,887","3,953","2,638","5,805","2,869","2,548","5,348","4,540","8,968","2,069","4,249","3,306","3,679","2,229","2,043"
2020년08월_계_20~29세,"199,787","27,384","33,651","37,350","12,141","20,072","4,768","2,389","1,988","4,238","3,005","6,760","3,076","2,907","5,579","5,017","8,407","2,534","5,023","4,418","3,794","2,395","2,891"
2020년08월_계_30~39세,"188,450","26,823","31,399","33,405","14,495","18,733","3,671","1,758","1,693","3,767","2,599","4,815","2,847","2,533","5,244","5,007","9,567","2,182","4,920","3,802","4,112","2,255","2,823"
2020년08월_계_40~49세,"261,788","38,013","42,348","43,846","16,263","23,941","5,230","3,124","2,977","6,436","4,249","8,462","4,230","3,816","8,166","7,566","13,002","3,525","6,660","5,654","6,305","3,575","4,400"
2020년08월_계_50~59세,"314,234","36,581","48,457","49,179","17,201","28,815","8,123","4,913","4,627","10,403","6,756","11,300","6,338","5,732","11,735","9,405","12,574","5,576","8,649","7,548","8,177","5,005","7,140"
2020년08월_계_60~69세,"266,839","28,491","40,130","33,311","15,782","16,385","8,075","4,916","4,586","12,556","7,549","9,185","6,506","6,110","12,157","7,909","10,562","5,840","8,385","7,137","8,467","5,191","7,609"
2020년08월_계_70~79세,"192,281","17,485","24,250","18,849","11,518","8,035","6,328","4,320","3,904","11,464","6,677","7,508","5,495","5,261","10,070","6,347","7,838","5,191","7,142","5,965","7,442","4,768","6,424"
2020년08월_계_80~89세,"108,471","6,928","10,526","10,022","6,514","4,617","3,806","3,160","2,474","7,477","4,715","4,587","3,872","3,551","5,962","3,978","4,142","3,374","3,936","3,680","4,362","2,855","3,933"
2020년08월_계_90~99세,"15,726",955,"1,580","1,554",985,730,595,511,367,"1,216",707,631,610,496,794,518,581,481,547,491,551,360,466
2020년08월_계_100세 이상,841,79,104,64,58,22,32,15,20,48,38,32,24,29,45,34,36,27,34,42,24,17,17
2020년08월_남_총인구수,"930,466","113,053","143,046","140,794","57,546","78,726","23,373","13,779","12,476","31,179","19,796","30,993","18,426","16,794","34,182","27,777","41,659","16,130","26,601","23,049","25,208","14,912","20,967"
2020년08월_남_연령구간인구수,"930,466","113,053","143,046","140,794","57,546","78,726","23,373","13,779","12,476","31,179","19,796","30,993","18,426","16,794","34,182","27,777","41,659","16,130","26,601","23,049","25,208","14,912","20,967"
2020년08월_남_0~9세,"68,615","9,833","10,877","12,222","5,153","6,949","1,160",569,586,"1,316",958,"1,815","1,051",905,"2,100","1,867","3,756",754,"1,949","1,448","1,672",827,848
2020년08월_남_10~19세,"87,798","12,822","13,941","16,017","4,822","8,337","1,579","1,047",994,"2,098","1,342","3,029","1,514","1,318","2,780","2,421","4,586","1,094","2,214","1,744","1,889","1,157","1,053"
2020년08월_남_20~29세,"111,275","14,752","19,008","20,277","6,400","11,637","2,850","1,300","1,066","2,486","1,698","3,658","1,727","1,617","3,138","2,875","4,531","1,490","2,801","2,649","2,220","1,370","1,725"
2020년08월_남_30~39세,"99,247","13,828","16,914","17,137","7,542","10,014","1,936",941,897,"2,058","1,388","2,443","1,502","1,289","2,717","2,742","4,895","1,173","2,533","2,029","2,252","1,227","1,790"
2020년08월_남_40~49세,"140,129","19,575","22,341","21,615","9,109","12,196","3,033","1,746","1,632","3,756","2,414","4,417","2,347","2,129","4,620","4,486","6,910","2,084","3,790","3,245","3,691","2,061","2,932"
2020년08월_남_50~59세,"168,204","18,364","25,266","24,844","9,384","15,835","4,495","2,710","2,552","5,746","3,763","6,174","3,426","3,081","6,449","5,375","6,888","3,241","4,737","4,291","4,504","2,746","4,333"
2020년08월_남_60~69세,"134,178","13,586","19,919","16,713","8,008","8,626","4,165","2,566","2,247","6,221","3,781","4,790","3,253","3,034","6,035","4,016","5,275","3,013","4,213","3,725","4,209","2,615","4,168"
2020년08월_남_70~79세,"83,776","7,756","10,979","8,408","4,986","3,551","2,803","1,814","1,622","4,905","2,821","3,105","2,301","2,247","4,355","2,650","3,475","2,170","3,047","2,616","3,278","2,017","2,870"
2020년08월_남_80~89세,"34,001","2,321","3,500","3,245","1,926","1,446","1,221",982,802,"2,326","1,476","1,417","1,183","1,076","1,833","1,233","1,243",999,"1,213","1,180","1,392",827,"1,160"
2020년08월_남_90~99세,"3,128",200,286,308,207,130,128,101,76,260,149,143,118,94,154,105,96,109,101,117,98,65,83
2020년08월_남_100세 이상,115,16,15,8,9,5,3,3,2,7,6,2,4,4,1,7,4,3,3,5,3,0,5
2020년08월_여_총인구수,"921,519","113,822","137,557","141,205","56,846","72,396","22,607","14,447","13,220","33,019","20,958","31,656","19,483","18,015","35,092","26,268","41,347","16,108","26,764","21,872","24,945","15,473","18,419"
2020년08월_여_연령구간인구수,"921,519","113,822","137,557","141,205","56,846","72,396","22,607","14,447","13,220","33,019","20,958","31,656","19,483","18,015","35,092","26,268","41,347","16,108","26,764","21,872","24,945","15,473","18,419"
2020년08월_여_0~9세,"65,989","9,318","10,549","11,556","4,931","6,732","1,162",548,587,"1,324",863,"1,749",991,921,"2,074","1,857","3,573",685,"1,871","1,430","1,568",908,792
2020년08월_여_10~19세,"81,166","12,163","12,791","14,624","4,529","7,754","1,451",956,893,"1,855","1,296","2,776","1,355","1,230","2,568","2,119","4,382",975,"2,035","1,562","1,790","1,072",990
2020년08월_여_20~29세,"88,512","12,632","14,643","17,073","5,741","8,435","1,918","1,089",922,"1,752","1,307","3,102","1,349","1,290","2,441","2,142","3,876","1,044","2,222","1,769","1,574","1,025","1,166"
2020년08월_여_30~39세,"89,203","12,995","14,485","16,268","6,953","8,719","1,735",817,796,"1,709","1,211","2,372","1,345","1,244","2,527","2,265","4,672","1,009","2,387","1,773","1,860","1,028","1,033"
2020년08월_여_40~49세,"121,659","18,438","20,007","22,231","7,154","11,745","2,197","1,378","1,345","2,680","1,835","4,045","1,883","1,687","3,546","3,080","6,092","1,441","2,870","2,409","2,614","1,514","1,468"
2020년08월_여_50~59세,"146,030","18,217","23,191","24,335","7,817","12,980","3,628","2,203","2,075","4,657","2,993","5,126","2,912","2,651","5,286","4,030","5,686","2,335","3,912","3,257","3,673","2,259","2,807"
2020년08월_여_60~69세,"132,661","14,905","20,211","16,598","7,774","7,759","3,910","2,350","2,339","6,335","3,768","4,395","3,253","3,076","6,122","3,893","5,287","2,827","4,172","3,412","4,258","2,576","3,441"
2020년08월_여_70~79세,"108,505","9,729","13,271","10,441","6,532","4,484","3,525","2,506","2,282","6,559","3,856","4,403","3,194","3,014","5,715","3,697","4,363","3,021","4,095","3,349","4,164","2,751","3,554"
