카테고리,부산광역시 사상구,부산광역시 사상구 삼락동,부산광역시 사상구 모라제1동,부산광역시 사상구 모라제3동,부산광역시 사상구 덕포제1동,부산광역시 사상구 덕포제2동,부산광역시 사상구 괘법동,부산광역시 사상구 감전동,부산광역시 사상구 주례제1동,부산광역시 사상구 주례제2동,부산광역시 사상구 주례제3동,부산광역시 사상구 학장동,부산광역시 사상구 엄궁동
2020년02월_계_총인구수,"217,250","6,190","28,732","11,441","9,157","13,440","21,777","14,211","16,003","23,757","13,716","29,936","28,890"
2020년02월_계_연령구간인구수,"217,250","6,190","28,732","11,441","9,157","13,440","21,777","14,211","16,003","23,757","13,716","29,936","28,890"
2020년02월_계_0~9세,"13,522",232,"1,704",343,560,807,"1,135",597,"1,004","1,660",823,"2,145","2,512"
2020년02월_계_10~19세,"15,986",343,"2,067",564,693,974,"1,122",786,"1,214","1,923","1,099","2,426","2,775"
2020년02월_계_20~29세,"29,817",677,"3,813",981,"1,123","1,811","3,907","1,828","2,297","4,014","1,918","3,630","3,818"
2020년02월_계_30~39세,"26,703",638,"3,478",919,"1,073","1,563","3,162","1,667","1,927","3,182","1,609","3,807","3,678"
2020년02월_계_40~49세,"30,556",794,"3,855","1,424","1,316","1,739","2,707","1,897","2,122","3,531","1,883","4,499","4,789"
2020년02월_계_50~59세,"42,921","1,380","5,859","2,310","1,887","2,901","4,386","3,024","3,313","4,064","2,560","5,654","5,583"
2020년02월_계_60~69세,"35,082","1,214","4,916","2,468","1,421","2,315","3,420","2,655","2,605","3,178","2,307","4,865","3,718"
2020년02월_계_70~79세,"16,432",676,"2,225","1,658",800,975,"1,462","1,292","1,107","1,598","1,056","2,121","1,462"
2020년02월_계_80~89세,"5,535",211,721,703,251,310,414,410,369,543,415,699,489
2020년02월_계_90~99세,632,20,78,69,29,43,50,48,43,58,46,84,64
2020년02월_계_100세 이상,64,5,16,2,4,2,12,7,2,6,0,6,2
2020년02월_남_총인구수,"109,833","3,320","14,473","5,446","4,678","6,826","11,276","7,514","8,210","11,901","6,731","14,963","14,495"
2020년02월_남_연령구간인구수,"109,833","3,320","14,473","5,446","4,678","6,826","11,276","7,514","8,210","11,901","6,731","14,963","14,495"
2020년02월_남_0~9세,"6,891",127,848,168,277,412,575,310,510,839,417,"1,111","1,297"
2020년02월_남_10~19세,"8,365",187,"1,086",312,363,511,592,420,635,983,571,"1,270","1,435"
2020년02월_남_20~29세,"15,984",384,"2,093",555,653,973,"1,944",992,"1,277","2,052","1,000","1,975","2,086"
2020년02월_남_30~39세,"14,253",357,"1,868",508,567,820,"1,756",961,"1,024","1,673",874,"1,985","1,860"
2020년02월_남_40~49세,"15,956",466,"2,001",824,683,915,"1,453","1,085","1,083","1,858",932,"2,293","2,363"
2020년02월_남_50~59세,"21,347",771,"2,822","1,196","1,017","1,408","2,284","1,618","1,629","1,947","1,175","2,727","2,753"
2020년02월_남_60~69세,"17,533",642,"2,437","1,083",674,"1,199","1,803","1,375","1,370","1,590","1,112","2,401","1,847"
2020년02월_남_70~79세,"7,602",313,"1,059",614,361,478,711,594,551,770,492,955,704
2020년02월_남_80~89세,"1,792",70,242,176,77,105,153,149,125,179,150,226,140
2020년02월_남_90~99세,102,3,17,9,5,4,4,8,5,10,8,19,10
2020년02월_남_100세 이상,8,0,0,1,1,1,1,2,1,0,0,1,0
2020년02월_여_총인구수,"107,417","2,870","14,259","5,995","4,479","6,614","10,501","6,697","7,793","11,856","6,985","14,973","14,395"
2020년02월_여_연령구간인구수,"107,417","2,870","14,259","5,995","4,479","6,614","10,501","6,697","7,793","11,856","6,985","14,973","14,395"
2020년02월_여_0~9세,"6,631",105,856,175,283,395,560,287,494,821,406,"1,034","1,215"
2020년02월_여_10~19세,"7,621",156,981,252,330,463,530,366,579,940,528,"1,156","1,340"
2020년02월_여_20~29세,"13,833",293,"1,720",426,470,838,"1,963",836,"1,020","1,962",918,"1,655","1,732"
2020년02월_여_30~39세,"12,450",281,"1,610",411,506,743,"1,406",706,903,"1,509",735,"1,822","1,818"
2020년02월_여_40~49세,"14,600",328,"1,854",600,633,824,"1,254",812,"1,039","1,673",951,"2,206","2,426"
2020년02월_여_50~59세,"21,574",609,"3,037","1,114",870,"1,493","2,102","1,406","1,684","2,117","1,385","2,927","2,830"
2020년02월_여_60~69세,"17,549",572,"2,479","1,385",747,"1,116","1,617","1,280","1,235","1,588","1,195","2,464","1,871"
2020년02월_여_70~79세,"8,830",363,"1,166","1,044",439,497,751,698,556,828,564,"1,166",758
2020년02월_여_80~89세,"3,743",141,479,527,174,205,261,261,244,364,265,473,349
2020년02월_여_90~99세,530,17,61,60,24,39,46,40,38,48,38,65,54
2020년02월_여_100세 이상,56,5,16,1,3,1,11,5,1,6,0,5,2
