카테고리,경상북도 고령군,경상북도 고령군 대가야읍,경상북도 고령군 덕곡면,경상북도 고령군 운수면,경상북도 고령군 성산면,경상북도 고령군 다산면,경상북도 고령군 개진면,경상북도 고령군 우곡면,경상북도 고령군 쌍림면
2021년10월_계_총인구수,"30,694","9,876","1,426","1,827","2,518","8,331","1,890","1,544","3,282"
2021년10월_계_연령구간인구수,"30,694","9,876","1,426","1,827","2,518","8,331","1,890","1,544","3,282"
2021년10월_계_0~9세,"1,327",570,33,41,65,458,40,25,95
2021년10월_계_10~19세,"1,904",859,38,49,63,726,30,42,97
2021년10월_계_20~29세,"2,318",898,81,101,180,731,100,70,157
2021년10월_계_30~39세,"2,084",760,65,101,157,684,103,70,144
2021년10월_계_40~49세,"3,579","1,425",92,140,228,"1,181",132,119,262
2021년10월_계_50~59세,"5,752","1,854",238,321,515,"1,587",393,278,566
2021년10월_계_60~69세,"6,548","1,743",390,462,644,"1,590",502,348,869
2021년10월_계_70~79세,"4,117","1,081",236,332,384,858,332,325,569
2021년10월_계_80~89세,"2,708",617,228,245,241,464,217,247,449
2021년10월_계_90~99세,348,67,23,34,41,52,40,20,71
2021년10월_계_100세 이상,9,2,2,1,0,0,1,0,3
2021년10월_남_총인구수,"15,769","4,985",714,923,"1,376","4,321","1,022",798,"1,630"
2021년10월_남_연령구간인구수,"15,769","4,985",714,923,"1,376","4,321","1,022",798,"1,630"
2021년10월_남_0~9세,689,301,19,21,28,234,25,13,48
2021년10월_남_10~19세,"1,024",475,19,28,32,381,18,18,53
2021년10월_남_20~29세,"1,349",531,46,57,109,410,60,47,89
2021년10월_남_30~39세,"1,134",384,36,58,96,370,65,47,78
2021년10월_남_40~49세,"2,014",744,54,91,151,641,88,80,165
2021년10월_남_50~59세,"3,265","1,018",133,183,306,886,246,170,323
2021년10월_남_60~69세,"3,470",863,221,242,367,831,288,184,474
2021년10월_남_70~79세,"1,847",455,102,154,189,387,157,153,250
2021년10월_남_80~89세,893,200,75,77,88,168,65,83,137
2021년10월_남_90~99세,80,14,8,11,10,13,9,3,12
2021년10월_남_100세 이상,4,0,1,1,0,0,1,0,1
2021년10월_여_총인구수,"14,925","4,891",712,904,"1,142","4,010",868,746,"1,652"
2021년10월_여_연령구간인구수,"14,925","4,891",712,904,"1,142","4,010",868,746,"1,652"
2021년10월_여_0~9세,638,269,14,20,37,224,15,12,47
2021년10월_여_10~19세,880,384,19,21,31,345,12,24,44
2021년10월_여_20~29세,969,367,35,44,71,321,40,23,68
2021년10월_여_30~39세,950,376,29,43,61,314,38,23,66
2021년10월_여_40~49세,"1,565",681,38,49,77,540,44,39,97
2021년10월_여_50~59세,"2,487",836,105,138,209,701,147,108,243
2021년10월_여_60~69세,"3,078",880,169,220,277,759,214,164,395
2021년10월_여_70~79세,"2,270",626,134,178,195,471,175,172,319
2021년10월_여_80~89세,"1,815",417,153,168,153,296,152,164,312
2021년10월_여_90~99세,268,53,15,23,31,39,31,17,59
2021년10월_여_100세 이상,5,2,1,0,0,0,0,0,2
