,부산광역시 남구,부산광역시 남구 대연제1동,부산광역시 남구 대연제3동,부산광역시 남구 대연제4동,부산광역시 남구 대연제5동,부산광역시 남구 대연제6동,부산광역시 남구 용호제1동,부산광역시 남구 용호제2동,부산광역시 남구 용호제3동,부산광역시 남구 용호제4동,부산광역시 남구 용당동,부산광역시 남구 감만제1동,부산광역시 남구 감만제2동,부산광역시 남구 우암동,부산광역시 남구 문현제1동,부산광역시 남구 문현제2동,부산광역시 남구 문현제3동,부산광역시 남구 문현제4동
2020년10월_계_총인구수,"268,711","16,060","33,171","12,665","16,875","15,594","45,119","17,456","12,596","8,822","8,086","14,002","7,117","13,411","14,210","8,922","15,704","8,901"
2020년10월_계_연령구간인구수,"268,711","16,060","33,171","12,665","16,875","15,594","45,119","17,456","12,596","8,822","8,086","14,002","7,117","13,411","14,210","8,922","15,704","8,901"
2020년10월_계_0~9세,"18,249",557,"2,840","1,045","1,061","1,807","3,517","1,488",512,548,489,729,322,659,796,363,"1,144",372
2020년10월_계_10~19세,"23,222",961,"3,177",861,"1,465","1,531","5,161","1,817",921,657,759,"1,004",500,908,"1,245",410,"1,289",556
2020년10월_계_20~29세,"35,363","3,576","6,345","1,258","2,631","1,755","5,069","1,683","1,478",951,"1,003","1,597",693,"1,342","1,740","1,288","1,925","1,029"
2020년10월_계_30~39세,"30,498","1,894","4,316","1,807","1,981","2,267","4,276","1,866","1,166","1,074",756,"1,409",680,"1,305","1,366","1,338","2,114",883
2020년10월_계_40~49세,"42,125","2,072","5,713","1,877","2,637","2,719","7,860","2,951","1,660","1,361","1,259","2,042","1,065","1,890","2,197","1,199","2,411","1,212"
2020년10월_계_50~59세,"42,994","2,293","4,640","1,877","2,456","2,226","7,853","2,733","2,205","1,380","1,458","2,384","1,179","2,212","2,541","1,367","2,616","1,574"
2020년10월_계_60~69세,"40,778","2,380","3,397","2,003","2,428","1,822","6,304","2,781","2,497","1,621","1,321","2,606","1,334","2,696","2,274","1,405","2,256","1,653"
2020년10월_계_70~79세,"24,864","1,639","1,872","1,359","1,538","1,043","3,520","1,505","1,578",885,760,"1,581",965,"1,676","1,445","1,021","1,368","1,109"
2020년10월_계_80~89세,"9,348",612,748,522,615,365,"1,357",545,510,293,245,580,344,622,541,468,523,458
2020년10월_계_90~99세,"1,134",66,108,47,58,51,195,78,62,43,34,55,31,91,59,51,56,49
2020년10월_계_100세 이상,136,10,15,9,5,8,7,9,7,9,2,15,4,10,6,12,2,6
2020년10월_남_총인구수,"131,533","8,043","16,127","6,188","8,183","7,499","21,724","8,581","6,110","4,260","4,118","7,156","3,522","6,639","6,925","4,469","7,634","4,355"
2020년10월_남_연령구간인구수,"131,533","8,043","16,127","6,188","8,183","7,499","21,724","8,581","6,110","4,260","4,118","7,156","3,522","6,639","6,925","4,469","7,634","4,355"
2020년10월_남_0~9세,"9,273",264,"1,461",537,557,861,"1,742",770,244,308,260,385,174,364,408,190,571,177
2020년10월_남_10~19세,"12,049",488,"1,629",453,749,812,"2,648",976,469,309,385,549,264,478,640,226,661,313
2020년10월_남_20~29세,"18,745","1,967","3,194",651,"1,332",878,"2,723",919,799,502,588,930,392,753,926,614,"1,012",565
2020년10월_남_30~39세,"15,628","1,075","2,106",919,"1,013","1,094","1,988",936,647,565,401,762,377,701,706,735,"1,111",492
2020년10월_남_40~49세,"21,114","1,094","2,786","1,020","1,300","1,321","3,661","1,454",842,682,641,"1,112",578,"1,010","1,106",672,"1,185",650
2020년10월_남_50~59세,"20,967","1,107","2,210",865,"1,201","1,068","3,821","1,308","1,054",647,756,"1,208",609,"1,099","1,253",726,"1,275",760
2020년10월_남_60~69세,"18,756","1,039","1,576",925,"1,077",821,"2,985","1,284","1,129",710,648,"1,266",564,"1,222","1,066",692,"1,004",748
2020년10월_남_70~79세,"11,147",729,852,598,675,484,"1,576",727,727,408,336,712,424,782,615,443,600,459
2020년10월_남_80~89세,"3,578",263,288,207,260,146,522,193,187,113,98,219,136,215,195,157,200,179
2020년10월_남_90~99세,252,15,23,12,18,14,56,13,12,14,4,10,4,13,8,11,15,10
2020년10월_남_100세 이상,24,2,2,1,1,0,2,1,0,2,1,3,0,2,2,3,0,2
2020년10월_여_총인구수,"137,178","8,017","17,044","6,477","8,692","8,095","23,395","8,875","6,486","4,562","3,968","6,846","3,595","6,772","7,285","4,453","8,070","4,546"
2020년10월_여_연령구간인구수,"137,178","8,017","17,044","6,477","8,692","8,095","23,395","8,875","6,486","4,562","3,968","6,846","3,595","6,772","7,285","4,453","8,070","4,546"
2020년10월_여_0~9세,"8,976",293,"1,379",508,504,946,"1,775",718,268,240,229,344,148,295,388,173,573,195
2020년10월_여_10~19세,"11,173",473,"1,548",408,716,719,"2,513",841,452,348,374,455,236,430,605,184,628,243
2020년10월_여_20~29세,"16,618","1,609","3,151",607,"1,299",877,"2,346",764,679,449,415,667,301,589,814,674,913,464
2020년10월_여_30~39세,"14,870",819,"2,210",888,968,"1,173","2,288",930,519,509,355,647,303,604,660,603,"1,003",391
2020년10월_여_40~49세,"21,011",978,"2,927",857,"1,337","1,398","4,199","1,497",818,679,618,930,487,880,"1,091",527,"1,226",562
2020년10월_여_50~59세,"22,027","1,186","2,430","1,012","1,255","1,158","4,032","1,425","1,151",733,702,"1,176",570,"1,113","1,288",641,"1,341",814
2020년10월_여_60~69세,"22,022","1,341","1,821","1,078","1,351","1,001","3,319","1,497","1,368",911,673,"1,340",770,"1,474","1,208",713,"1,252",905
2020년10월_여_70~79세,"13,717",910,"1,020",761,863,559,"1,944",778,851,477,424,869,541,894,830,578,768,650
2020년10월_여_80~89세,"5,770",349,460,315,355,219,835,352,323,180,147,361,208,407,346,311,323,279
2020년10월_여_90~99세,882,51,85,35,40,37,139,65,50,29,30,45,27,78,51,40,41,39
2020년10월_여_100세 이상,112,8,13,8,4,8,5,8,7,7,1,12,4,8,4,9,2,4
