카테고리,울산광역시 북구,울산광역시 북구 농소1동,울산광역시 북구 농소2동,울산광역시 북구 농소3동,울산광역시 북구 강동동,울산광역시 북구 효문동,울산광역시 북구 송정동,울산광역시 북구 양정동,울산광역시 북구 염포동
2021년07월_계_총인구수,"218,065","37,029","40,119","38,679","16,494","29,679","36,104","9,983","9,978"
2021년07월_계_연령구간인구수,"218,065","37,029","40,119","38,679","16,494","29,679","36,104","9,983","9,978"
2021년07월_계_0~9세,"24,426","4,479","5,282","3,569","2,604","2,694","4,355",710,733
2021년07월_계_10~19세,"23,644","3,989","4,717","6,168","1,414","2,153","3,661",756,786
2021년07월_계_20~29세,"26,784","4,054","4,369","4,890","1,134","4,463","4,849","1,750","1,275"
2021년07월_계_30~39세,"33,234","5,629","6,541","3,695","3,304","4,951","6,117","1,607","1,390"
2021년07월_계_40~49세,"38,704","6,693","7,536","8,372","2,897","4,293","5,946","1,449","1,518"
2021년07월_계_50~59세,"38,458","6,147","6,316","7,224","2,126","6,233","6,641","1,910","1,861"
2021년07월_계_60~69세,"21,527","3,880","3,509","2,865","1,892","3,427","3,076","1,242","1,636"
2021년07월_계_70~79세,"7,666","1,526","1,247","1,261",698,993,975,405,561
2021년07월_계_80~89세,"3,141",544,531,551,365,405,417,130,198
2021년07월_계_90~99세,463,84,70,80,58,65,67,24,15
2021년07월_계_100세 이상,18,4,1,4,2,2,0,0,5
2021년07월_남_총인구수,"112,942","18,924","20,366","19,696","8,460","15,925","18,398","5,803","5,370"
2021년07월_남_연령구간인구수,"112,942","18,924","20,366","19,696","8,460","15,925","18,398","5,803","5,370"
2021년07월_남_0~9세,"12,573","2,309","2,722","1,834","1,302","1,417","2,262",355,372
2021년07월_남_10~19세,"12,256","2,017","2,420","3,253",715,"1,127","1,888",404,432
2021년07월_남_20~29세,"15,351","2,275","2,373","2,736",647,"2,596","2,681","1,246",797
2021년07월_남_30~39세,"17,279","2,828","3,290","1,796","1,633","2,854","3,083",994,801
2021년07월_남_40~49세,"19,844","3,496","3,868","3,924","1,630","2,300","2,923",830,873
2021년07월_남_50~59세,"19,697","3,097","3,160","3,875","1,079","3,166","3,306","1,075",939
2021년07월_남_60~69세,"11,325","2,039","1,775","1,537",990,"1,845","1,650",653,836
2021년07월_남_70~79세,"3,597",690,585,560,343,487,487,206,239
2021년07월_남_80~89세,947,157,162,167,111,125,109,38,78
2021년07월_남_90~99세,69,16,11,13,10,7,9,2,1
2021년07월_남_100세 이상,4,0,0,1,0,1,0,0,2
2021년07월_여_총인구수,"105,123","18,105","19,753","18,983","8,034","13,754","17,706","4,180","4,608"
2021년07월_여_연령구간인구수,"105,123","18,105","19,753","18,983","8,034","13,754","17,706","4,180","4,608"
2021년07월_여_0~9세,"11,853","2,170","2,560","1,735","1,302","1,277","2,093",355,361
2021년07월_여_10~19세,"11,388","1,972","2,297","2,915",699,"1,026","1,773",352,354
2021년07월_여_20~29세,"11,433","1,779","1,996","2,154",487,"1,867","2,168",504,478
2021년07월_여_30~39세,"15,955","2,801","3,251","1,899","1,671","2,097","3,034",613,589
2021년07월_여_40~49세,"18,860","3,197","3,668","4,448","1,267","1,993","3,023",619,645
2021년07월_여_50~59세,"18,761","3,050","3,156","3,349","1,047","3,067","3,335",835,922
2021년07월_여_60~69세,"10,202","1,841","1,734","1,328",902,"1,582","1,426",589,800
2021년07월_여_70~79세,"4,069",836,662,701,355,506,488,199,322
2021년07월_여_80~89세,"2,194",387,369,384,254,280,308,92,120
2021년07월_여_90~99세,394,68,59,67,48,58,58,22,14
2021년07월_여_100세 이상,14,4,1,3,2,1,0,0,3
