카테고리,경상남도,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 성산구,경상남도 창원시 마산합포구,경상남도 창원시 마산회원구,경상남도 창원시 진해구,경상남도 진주시,경상남도 통영시,경상남도 사천시,경상남도 김해시,경상남도 밀양시,경상남도 거제시,경상남도 양산시,경상남도 의령군,경상남도 함안군,경상남도 창녕군,경상남도 고성군,경상남도 남해군,경상남도 하동군,경상남도 산청군,경상남도 함양군,경상남도 거창군,경상남도 합천군
2020년02월_계_총인구수,"3,358,828","1,043,874","261,904","218,885","176,334","193,780","192,971","347,417","130,735","111,666","542,787","105,457","247,574","351,457","27,082","65,277","62,161","52,058","43,479","46,146","35,277","39,499","61,972","44,910"
2020년02월_계_연령구간인구수,"3,358,828","1,043,874","261,904","218,885","176,334","193,780","192,971","347,417","130,735","111,666","542,787","105,457","247,574","351,457","27,082","65,277","62,161","52,058","43,479","46,146","35,277","39,499","61,972","44,910"
2020년02월_계_0~9세,"282,751","87,219","22,065","17,653","12,955","14,112","20,434","29,395","10,597","8,616","51,733","5,904","28,400","36,047","1,148","4,503","3,555","2,859","1,655","2,064","1,502","1,940","3,932","1,682"
2020년02월_계_10~19세,"331,566","102,696","24,305","24,316","14,095","18,969","21,011","36,047","13,022","10,467","62,791","8,121","28,101","34,264","1,592","6,133","4,299","4,133","3,161","3,070","2,186","3,077","5,803","2,603"
2020년02월_계_20~29세,"384,750","133,068","36,431","33,522","19,511","23,117","20,487","44,716","11,709","10,991","69,232","9,427","24,943","41,342","2,108","5,783","5,180","4,050","3,302","3,802","2,587","3,254","6,028","3,228"
2020년02월_계_30~39세,"418,383","138,985","35,823","30,413","21,347","22,781","28,621","42,451","15,191","12,525","72,256","9,273","39,397","51,670","1,901","6,181","5,479","4,276","2,631","3,058","2,310","2,758","5,246","2,795"
2020년02월_계_40~49세,"543,911","170,342","41,452","37,302","25,788","31,048","34,752","55,098","21,773","17,965","99,808","13,284","47,436","60,481","2,980","9,698","7,253","6,685","4,799","5,458","3,668","4,607","8,035","4,541"
2020년02월_계_50~59세,"585,186","188,727","50,758","44,185","30,089","35,358","28,337","57,888","22,950","18,585","95,291","19,291","38,610","58,216","4,776","11,447","11,256","9,291","7,526","8,769","6,721","7,063","10,686","8,093"
2020년02월_계_60~69세,"435,315","133,266","31,951","21,586","28,866","28,636","22,227","43,162","19,407","15,662","53,960","20,162","24,594","40,060","5,132","10,495","11,574","9,272","7,964","8,504","6,867","6,915","9,667","8,652"
2020년02월_계_70~79세,"240,111","60,992","12,820","6,608","15,981","14,168","11,415","25,122","10,899","10,541","25,482","12,337","10,443","20,118","4,062","6,600","8,021","6,791","6,842","6,433","5,303","5,593","7,146","7,386"
