,부산광역시 부산진구,부산광역시 부산진구 부전제1동,부산광역시 부산진구 부전제2동,부산광역시 부산진구 연지동,부산광역시 부산진구 초읍동,부산광역시 부산진구 양정제1동,부산광역시 부산진구 양정제2동,부산광역시 부산진구 전포제1동,부산광역시 부산진구 전포제2동,부산광역시 부산진구 부암제1동,부산광역시 부산진구 부암제3동,부산광역시 부산진구 당감제1동,부산광역시 부산진구 당감제2동,부산광역시 부산진구 당감제4동,부산광역시 부산진구 가야제1동,부산광역시 부산진구 가야제2동,부산광역시 부산진구 개금제1동,부산광역시 부산진구 개금제2동,부산광역시 부산진구 개금제3동,부산광역시 부산진구 범천제1동,부산광역시 부산진구 범천제2동
2021년03월_계_총인구수,"357,645","15,615","9,876","20,891","22,254","20,297","12,788","22,342","20,977","22,896","17,778","23,476","10,368","11,479","19,441","17,029","17,008","11,203","29,258","12,030","20,639"
2021년03월_계_연령구간인구수,"357,645","15,615","9,876","20,891","22,254","20,297","12,788","22,342","20,977","22,896","17,778","23,476","10,368","11,479","19,441","17,029","17,008","11,203","29,258","12,030","20,639"
2021년03월_계_0~9세,"21,032",644,617,"1,447","1,299","1,163",552,"1,431",951,"1,959","1,120","1,159",754,668,870,"1,013","1,236",608,"1,800",501,"1,240"
2021년03월_계_10~19세,"24,736",557,465,"1,851","1,566","1,528",587,"1,296","1,157","1,869","1,899","1,921",697,905,"1,211","1,375","1,009",836,"2,484",474,"1,049"
2021년03월_계_20~29세,"52,772","3,510","1,940","2,115","2,267","2,908","2,946","4,791","3,435","2,552","2,012","2,891","1,325","1,268","3,119","2,129","3,241","1,561","3,639","2,535","2,588"
2021년03월_계_30~39세,"47,800","2,451","1,748","2,317","2,429","2,483","2,233","4,287","2,971","3,050","1,704","2,348","1,641","1,289","2,241","1,836","2,738","1,161","3,375","2,305","3,193"
2021년03월_계_40~49세,"51,312","1,798","1,476","3,359","3,139","2,972","1,760","3,091","2,946","3,779","2,871","3,372","1,499","1,732","2,637","2,417","2,397","1,528","4,220","1,540","2,779"
2021년03월_계_50~59세,"57,760","2,469","1,526","3,286","3,627","3,575","1,622","2,780","3,073","3,737","3,339","4,376","1,475","2,199","3,296","2,834","2,506","1,914","5,255","1,671","3,200"
2021년03월_계_60~69세,"56,275","2,366","1,301","3,487","4,061","3,085","1,606","2,458","3,328","3,269","2,751","4,147","1,650","1,913","3,363","2,994","2,146","1,941","5,121","1,654","3,634"
2021년03월_계_70~79세,"31,430","1,241",544,"2,094","2,671","1,701","1,001","1,456","2,133","1,915","1,471","2,154",919,"1,044","1,923","1,715","1,204","1,143","2,224",878,"1,999"
2021년03월_계_80~89세,"13,020",522,216,826,"1,072",794,433,671,901,685,542,970,378,420,714,629,482,471,"1,030",422,842
2021년03월_계_90~99세,"1,446",57,42,107,118,86,47,78,80,77,65,136,30,41,66,81,49,40,107,48,91
