,충청남도 아산시,충청남도 아산시 염치읍,충청남도 아산시 배방읍,충청남도 아산시 송악면,충청남도 아산시 탕정면,충청남도 아산시 음봉면,충청남도 아산시 둔포면,충청남도 아산시 영인면,충청남도 아산시 인주면,충청남도 아산시 선장면,충청남도 아산시 도고면,충청남도 아산시 신창면,충청남도 아산시 온양1동,충청남도 아산시 온양2동,충청남도 아산시 온양3동,충청남도 아산시 온양4동,충청남도 아산시 온양5동,충청남도 아산시 온양6동
2021년02월_계_총인구수,"317,626","6,531","76,405","4,259","21,952","20,171","21,794","5,528","6,540","3,114","4,439","19,942","9,468","10,818","36,890","18,899","21,705","29,171"
2021년02월_계_연령구간인구수,"317,626","6,531","76,405","4,259","21,952","20,171","21,794","5,528","6,540","3,114","4,439","19,942","9,468","10,818","36,890","18,899","21,705","29,171"
2021년02월_계_0~9세,"32,544",361,"9,513",208,"2,946","2,560","2,472",147,310,60,108,"1,575",890,424,"3,982","1,521","2,223","3,244"
2021년02월_계_10~19세,"34,606",493,"9,370",351,"3,019","1,760","1,437",267,406,104,174,"2,048",730,791,"4,845","2,470","2,772","3,569"
2021년02월_계_20~29세,"36,755",552,"9,628",311,"2,812","2,097","2,407",416,550,189,340,"2,382","1,087","1,696","4,498","2,143","2,750","2,897"
2021년02월_계_30~39세,"48,186",622,"13,957",272,"4,027","3,612","4,623",383,624,177,307,"2,302","1,738","1,232","5,074","2,148","2,936","4,152"
2021년02월_계_40~49세,"56,927",876,"14,720",556,"4,698","3,511","3,585",586,959,266,392,"3,466","1,517","1,466","7,070","3,507","4,100","5,652"
2021년02월_계_50~59세,"46,557","1,153","9,829",752,"2,438","2,806","3,058",990,"1,265",516,844,"3,236","1,325","2,017","5,320","3,245","3,358","4,405"
2021년02월_계_60~69세,"32,616","1,175","5,443",825,"1,073","2,188","2,339","1,237","1,145",764,984,"2,485","1,147","1,661","3,344","2,066","1,938","2,802"
2021년02월_계_70~79세,"18,115",725,"2,561",576,573,984,"1,144",839,699,570,734,"1,531",661,999,"1,791","1,150","1,058","1,520"
2021년02월_계_80~89세,"9,854",502,"1,194",345,321,562,625,578,507,408,499,816,302,459,846,564,487,839
2021년02월_계_90~99세,"1,348",67,179,57,45,89,101,82,72,51,54,93,57,61,108,78,72,82
2021년02월_계_100세 이상,118,5,11,6,0,2,3,3,3,9,3,8,14,12,12,7,11,9
2021년02월_남_총인구수,"164,838","3,415","39,233","2,181","11,880","10,895","12,253","2,922","3,627","1,612","2,275","10,394","4,958","5,610","18,380","9,650","11,086","14,467"
2021년02월_남_연령구간인구수,"164,838","3,415","39,233","2,181","11,880","10,895","12,253","2,922","3,627","1,612","2,275","10,394","4,958","5,610","18,380","9,650","11,086","14,467"
2021년02월_남_0~9세,"16,696",181,"4,872",109,"1,509","1,265","1,288",72,165,37,48,798,453,201,"2,050",823,"1,179","1,646"
2021년02월_남_10~19세,"17,797",255,"4,806",185,"1,560",932,724,158,220,54,88,"1,034",390,414,"2,435","1,283","1,466","1,793"
