카테고리,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  보람동,세종특별자치시  대평동
2020년02월_계_총인구수,"343,788","43,218","2,567","3,182","6,237","8,704","6,280","7,501","5,813","3,726","2,509","19,460","54,339","32,200","23,792","29,949","33,582","30,643","19,473","10,613"
2020년02월_계_연령구간인구수,"343,788","43,218","2,567","3,182","6,237","8,704","6,280","7,501","5,813","3,726","2,509","19,460","54,339","32,200","23,792","29,949","33,582","30,643","19,473","10,613"
2020년02월_계_0~9세,"47,454","3,492",80,104,371,325,205,379,232,94,116,"2,800","9,109","4,421","3,913","5,048","6,208","5,583","3,340","1,634"
2020년02월_계_10~19세,"40,574","4,245",114,137,379,416,310,458,406,134,194,"3,398","6,630","4,460","4,240","4,092","4,503","3,059","2,390","1,009"
2020년02월_계_20~29세,"36,273","6,445",289,299,756,837,891,771,577,328,276,"1,710","5,956","3,734","1,752","2,678","2,559","3,110","1,993","1,312"
2020년02월_계_30~39세,"61,442","5,479",296,286,689,845,755,734,525,278,197,"2,750","12,219","5,900","3,712","5,952","6,910","7,538","4,011","2,366"
2020년02월_계_40~49세,"65,714","6,990",327,347,882,"1,010",870,956,766,385,374,"4,580","10,756","6,881","5,992","6,236","7,150","5,611","3,819","1,782"
2020년02월_계_50~59세,"42,907","6,762",536,566,"1,119","1,674","1,243","1,355","1,096",759,466,"2,404","5,603","3,699","2,424","3,037","3,185","3,351","2,174","1,454"
2020년02월_계_60~69세,"27,813","5,108",468,665,966,"1,722","1,017","1,328",958,846,396,"1,109","2,834","1,817","1,127","1,783","2,094","1,669","1,162",744
2020년02월_계_70~79세,"13,609","3,026",267,411,652,"1,131",559,900,694,510,277,471,848,817,424,782,731,499,407,203
2020년02월_계_80~89세,"6,863","1,448",168,304,376,643,377,544,474,339,191,204,319,403,167,298,195,180,147,86
2020년02월_계_90~99세,"1,084",210,20,59,45,95,51,73,79,46,20,32,64,68,40,43,46,42,29,22
2020년02월_계_100세 이상,55,13,2,4,2,6,2,3,6,7,2,2,1,0,1,0,1,1,1,1
2020년02월_남_총인구수,"171,403","22,305","1,439","1,644","3,419","4,594","3,519","4,039","3,058","2,024","1,321","9,560","26,363","15,572","11,767","14,526","16,349","15,075","9,579","5,250"
2020년02월_남_연령구간인구수,"171,403","22,305","1,439","1,644","3,419","4,594","3,519","4,039","3,058","2,024","1,321","9,560","26,363","15,572","11,767","14,526","16,349","15,075","9,579","5,250"
2020년02월_남_0~9세,"24,284","1,821",40,47,192,155,106,179,120,43,57,"1,429","4,657","2,266","2,033","2,577","3,156","2,836","1,721",849
2020년02월_남_10~19세,"20,355","2,173",59,73,202,221,160,251,223,72,98,"1,714","3,235","2,227","2,182","2,027","2,252","1,486","1,198",502
2020년02월_남_20~29세,"18,347","3,635",170,179,487,485,531,464,331,194,160,861,"2,707","1,688",902,"1,234","1,236","1,466",970,647
2020년02월_남_30~39세,"29,923","2,961",200,166,430,517,501,444,310,177,114,"1,244","5,796","2,760","1,609","2,755","3,200","3,695","1,869","1,175"
2020년02월_남_40~49세,"33,778","3,728",217,212,541,618,574,592,464,240,224,"2,231","5,381","3,374","2,950","3,161","3,616","2,825","1,950",880
2020년02월_남_50~59세,"22,191","3,541",313,319,658,929,697,775,615,447,270,"1,260","2,750","1,901","1,282","1,493","1,483","1,660","1,075",723
2020년02월_남_60~69세,"13,798","2,531",263,357,474,914,533,704,508,470,207,540,"1,361",864,554,818,973,830,547,350
2020년02월_남_70~79세,"6,184","1,310",120,183,280,520,261,401,301,252,123,217,395,362,196,367,353,236,205,102
2020년02월_남_80~89세,"2,287",546,56,94,138,213,139,212,174,118,64,53,71,114,49,84,69,34,41,18
2020년02월_남_90~99세,246,56,1,13,16,22,17,17,11,9,3,11,10,16,10,10,11,7,3,3
2020년02월_남_100세 이상,10,3,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1
2020년02월_여_총인구수,"172,385","20,913","1,128","1,538","2,818","4,110","2,761","3,462","2,755","1,702","1,188","9,900","27,976","16,628","12,025","15,423","17,233","15,568","9,894","5,363"
2020년02월_여_연령구간인구수,"172,385","20,913","1,128","1,538","2,818","4,110","2,761","3,462","2,755","1,702","1,188","9,900","27,976","16,628","12,025","15,423","17,233","15,568","9,894","5,363"
2020년02월_여_0~9세,"23,170","1,671",40,57,179,170,99,200,112,51,59,"1,371","4,452","2,155","1,880","2,471","3,052","2,747","1,619",785
2020년02월_여_10~19세,"20,219","2,072",55,64,177,195,150,207,183,62,96,"1,684","3,395","2,233","2,058","2,065","2,251","1,573","1,192",507
2020년02월_여_20~29세,"17,926","2,810",119,120,269,352,360,307,246,134,116,849,"3,249","2,046",850,"1,444","1,323","1,644","1,023",665
2020년02월_여_30~39세,"31,519","2,518",96,120,259,328,254,290,215,101,83,"1,506","6,423","3,140","2,103","3,197","3,710","3,843","2,142","1,191"
2020년02월_여_40~49세,"31,936","3,262",110,135,341,392,296,364,302,145,150,"2,349","5,375","3,507","3,042","3,075","3,534","2,786","1,869",902
2020년02월_여_50~59세,"20,716","3,221",223,247,461,745,546,580,481,312,196,"1,144","2,853","1,798","1,142","1,544","1,702","1,691","1,099",731
2020년02월_여_60~69세,"14,015","2,577",205,308,492,808,484,624,450,376,189,569,"1,473",953,573,965,"1,121",839,615,394
2020년02월_여_70~79세,"7,425","1,716",147,228,372,611,298,499,393,258,154,254,453,455,228,415,378,263,202,101
2020년02월_여_80~89세,"4,576",902,112,210,238,430,238,332,300,221,127,151,248,289,118,214,126,146,106,68
2020년02월_여_90~99세,838,154,19,46,29,73,34,56,68,37,17,21,54,52,30,33,35,35,26,19
2020년02월_여_100세 이상,45,10,2,3,1,6,2,3,5,5,1,2,1,0,1,0,1,1,1,0
