,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 완산구 중앙동,전라북도 전주시 완산구 풍남동,전라북도 전주시 완산구 노송동,전라북도 전주시 완산구 완산동,전라북도 전주시 완산구 동서학동,전라북도 전주시 완산구 서서학동,전라북도 전주시 완산구 중화산1동,전라북도 전주시 완산구 중화산2동,전라북도 전주시 완산구 서신동,전라북도 전주시 완산구 평화1동,전라북도 전주시 완산구 평화2동,전라북도 전주시 완산구 삼천1동,전라북도 전주시 완산구 삼천2동,전라북도 전주시 완산구 삼천3동,전라북도 전주시 완산구 효자1동,전라북도 전주시 완산구 효자2동,전라북도 전주시 완산구 효자3동,전라북도 전주시 완산구 효자4동,전라북도 전주시 완산구 효자5동,전라북도 전주시 덕진구,전라북도 전주시 덕진구 진북동,전라북도 전주시 덕진구 인후1동,전라북도 전주시 덕진구 인후2동,전라북도 전주시 덕진구 인후3동,전라북도 전주시 덕진구 덕진동,전라북도 전주시 덕진구 금암1동,전라북도 전주시 덕진구 금암2동,전라북도 전주시 덕진구 팔복동,전라북도 전주시 덕진구 우아1동,전라북도 전주시 덕진구 우아2동,전라북도 전주시 덕진구 호성동,전라북도 전주시 덕진구 송천1동,전라북도 전주시 덕진구 송천2동,전라북도 전주시 덕진구 조촌동,전라북도 전주시 덕진구 여의동,전라북도 전주시 덕진구 혁신동,전라북도 전주시효자출장소
2020년11월_계_총인구수,"657,745","339,973","7,639","4,266","12,571","4,950","6,451","8,783","14,756","19,589","41,545","12,883","46,341","11,860","13,570","22,356","11,102","10,319","14,876","39,658","36,458","317,772","14,424","18,621","11,465","32,446","20,151","7,651","9,999","7,734","9,778","14,560","20,679","61,069","26,711","12,497","30,656","19,331",0
2020년11월_계_연령구간인구수,"657,745","339,973","7,639","4,266","12,571","4,950","6,451","8,783","14,756","19,589","41,545","12,883","46,341","11,860","13,570","22,356","11,102","10,319","14,876","39,658","36,458","317,772","14,424","18,621","11,465","32,446","20,151","7,651","9,999","7,734","9,778","14,560","20,679","61,069","26,711","12,497","30,656","19,331",0
2020년11월_계_0~9세,"54,320","24,902",321,102,627,182,303,343,975,"1,420","3,385",593,"4,075",699,683,"1,579",619,541,989,"4,462","3,004","29,418",636,"1,478",563,"2,697","2,015",206,455,314,658,865,"1,547","8,049","2,169",855,"3,797","3,114",0
2020년11월_계_10~19세,"72,022","36,392",469,186,825,354,454,668,"1,312","2,652","5,076",850,"5,430","1,137","1,266","2,545",948,919,"1,559","5,034","4,708","35,630","1,096","2,391",759,"4,218","1,582",335,661,522,786,"1,269","2,593","8,667","3,128","1,015","3,120","3,488",0
2020년11월_계_20~29세,"92,977","49,495",927,385,"1,422",523,693,"1,020","2,349","3,197","6,419","1,381","5,948","1,724","2,046","3,136","1,430","1,493","2,122","6,226","7,054","43,482","1,717","2,364","1,562","4,708","3,273","2,236","1,548",845,"1,331","2,051","2,781","7,843","4,006","1,564","3,858","1,795",0
2020년11월_계_30~39세,"82,061","40,089",776,384,"1,342",442,575,777,"1,689","2,328","5,203","1,329","5,333","1,210","1,320","2,189","1,125","1,071","1,653","5,386","5,957","41,972","1,327","1,919","1,318","4,069","3,408",944,"1,037",752,"1,273","1,950","2,069","9,307","2,992","1,695","5,244","2,668",0
2020년11월_계_40~49세,"107,441","53,699",933,544,"1,707",672,807,"1,190","1,944","3,516","7,160","1,722","7,579","1,685","1,770","3,525","1,539","1,428","2,127","6,983","6,868","53,742","1,840","3,135","1,493","6,172","3,035",845,"1,286","1,112","1,438","2,480","3,214","11,828","4,201","1,876","5,211","4,576",0
2020년11월_계_50~59세,"105,972","57,074","1,291",694,"2,015",810,"1,068","1,541","2,546","3,230","7,052","2,323","7,721","2,245","2,616","4,282","1,838","1,789","2,525","6,025","5,463","48,898","2,375","2,846","1,884","5,133","2,721","1,100","1,595","1,476","1,661","2,586","3,630","8,377","4,667","2,149","4,469","2,229",0
2020년11월_계_60~69세,"76,541","42,227","1,414",877,"2,178",861,"1,269","1,622","2,165","1,912","3,952","2,248","5,854","1,757","2,271","2,794","1,817","1,670","2,109","3,449","2,008","34,314","2,329","2,276","1,898","2,826","2,128",961,"1,619","1,368","1,469","1,854","2,750","4,220","3,090","1,752","2,856",918,0
2020년11월_계_70~79세,"43,981","23,830",982,713,"1,558",709,823,"1,110","1,164",874,"2,171","1,583","2,923",938,"1,133","1,441","1,218",999,"1,167","1,397",927,"20,151","1,978","1,542","1,369","1,776","1,324",674,"1,260",938,770,965,"1,358","1,850","1,632",969,"1,398",348,0
2020년11월_계_80~89세,"19,498","10,607",458,315,773,346,400,454,542,389,"1,009",735,"1,287",393,413,736,494,347,537,572,407,"8,891",993,586,560,748,562,306,490,360,342,466,649,788,712,549,618,162,0
2020년11월_계_90~99세,"2,769","1,576",59,61,109,51,57,52,67,68,113,117,182,69,51,126,71,59,87,121,56,"1,193",124,76,53,94,84,43,47,42,49,72,83,137,111,67,78,33,0
