카테고리,경상북도 울진군,경상북도 울진군 울진읍,경상북도 울진군 평해읍,경상북도 울진군 북면,경상북도 울진군 북면하당출장소,경상북도 울진군 근남면,경상북도 울진군 기성면,경상북도 울진군 온정면,경상북도 울진군 죽변면,경상북도 울진군 후포면,경상북도 울진군 금강송면,경상북도 울진군 매화면
2020년01월_계_총인구수,"49,188","14,205","2,934","6,570",725,"2,788","2,627","1,775","6,624","7,598","1,282","2,060"
2020년01월_계_연령구간인구수,"49,188","14,205","2,934","6,570",725,"2,788","2,627","1,775","6,624","7,598","1,282","2,060"
2020년01월_계_0~9세,"3,013","1,157",72,755,9,123,61,49,344,372,22,49
2020년01월_계_10~19세,"3,962","1,746",268,466,33,135,104,75,418,592,39,86
2020년01월_계_20~29세,"4,556","1,544",188,756,53,198,191,112,708,655,46,105
2020년01월_계_30~39세,"4,533","1,503",163,"1,121",22,182,124,72,652,561,50,83
2020년01월_계_40~49세,"6,512","2,401",258,926,73,320,174,162,902,987,136,173
2020년01월_계_50~59세,"8,813","2,368",486,"1,036",154,515,496,285,"1,311","1,499",308,355
2020년01월_계_60~69세,"7,749","1,663",533,724,133,521,548,352,"1,088","1,486",273,428
2020년01월_계_70~79세,"5,730","1,062",537,466,136,412,457,360,735,955,231,379
2020년01월_계_80~89세,"3,719",647,362,277,99,329,396,271,414,422,158,344
2020년01월_계_90~99세,582,112,64,39,13,52,74,37,48,68,18,57
2020년01월_계_100세 이상,19,2,3,4,0,1,2,0,4,1,1,1
2020년01월_남_총인구수,"24,587","7,153","1,427","3,443",375,"1,382","1,232",861,"3,387","3,738",628,961
2020년01월_남_연령구간인구수,"24,587","7,153","1,427","3,443",375,"1,382","1,232",861,"3,387","3,738",628,961
2020년01월_남_0~9세,"1,526",616,40,371,6,66,27,20,158,190,10,22
2020년01월_남_10~19세,"2,166",929,198,253,15,67,48,44,226,319,23,44
2020년01월_남_20~29세,"2,657",853,103,442,33,127,131,69,428,381,28,62
2020년01월_남_30~39세,"2,465",767,97,616,14,97,73,44,375,300,31,51
2020년01월_남_40~49세,"3,618","1,228",144,539,50,191,104,94,525,550,76,117
2020년01월_남_50~59세,"4,725","1,265",272,580,102,288,267,155,680,757,162,197
2020년01월_남_60~69세,"3,783",809,233,352,71,271,272,180,556,683,147,209
2020년01월_남_70~79세,"2,432",443,217,212,52,159,190,158,317,428,98,158
2020년01월_남_80~89세,"1,127",225,114,75,31,109,111,89,114,120,46,93
2020년01월_남_90~99세,86,18,9,3,1,7,9,8,7,10,6,8
2020년01월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,1,0
2020년01월_여_총인구수,"24,601","7,052","1,507","3,127",350,"1,406","1,395",914,"3,237","3,860",654,"1,099"
2020년01월_여_연령구간인구수,"24,601","7,052","1,507","3,127",350,"1,406","1,395",914,"3,237","3,860",654,"1,099"
2020년01월_여_0~9세,"1,487",541,32,384,3,57,34,29,186,182,12,27
2020년01월_여_10~19세,"1,796",817,70,213,18,68,56,31,192,273,16,42
2020년01월_여_20~29세,"1,899",691,85,314,20,71,60,43,280,274,18,43
2020년01월_여_30~39세,"2,068",736,66,505,8,85,51,28,277,261,19,32
2020년01월_여_40~49세,"2,894","1,173",114,387,23,129,70,68,377,437,60,56
2020년01월_여_50~59세,"4,088","1,103",214,456,52,227,229,130,631,742,146,158
2020년01월_여_60~69세,"3,966",854,300,372,62,250,276,172,532,803,126,219
2020년01월_여_70~79세,"3,298",619,320,254,84,253,267,202,418,527,133,221
2020년01월_여_80~89세,"2,592",422,248,202,68,220,285,182,300,302,112,251
2020년01월_여_90~99세,496,94,55,36,12,45,65,29,41,58,12,49
2020년01월_여_100세 이상,17,2,3,4,0,1,2,0,3,1,0,1
