카테고리,전라북도 익산시,전라북도 익산시 함열읍,전라북도 익산시 오산면,전라북도 익산시 황등면,전라북도 익산시 함라면,전라북도 익산시 웅포면,전라북도 익산시 성당면,전라북도 익산시 용안면,전라북도 익산시 낭산면,전라북도 익산시 망성면,전라북도 익산시 여산면,전라북도 익산시 금마면,전라북도 익산시 왕궁면,전라북도 익산시 춘포면,전라북도 익산시 삼기면,전라북도 익산시 용동면,전라북도 익산시 중앙동,전라북도 익산시 평화동,전라북도 익산시 인화동,전라북도 익산시 동산동,전라북도 익산시 마동,전라북도 익산시 남중동,전라북도 익산시 모현동,전라북도 익산시 송학동,전라북도 익산시 영등1동,전라북도 익산시 영등2동,전라북도 익산시 어양동,전라북도 익산시 신동,전라북도 익산시 팔봉동,전라북도 익산시 삼성동
2020년04월_계_총인구수,"285,255","7,081","8,040","7,382","2,331","1,611","1,971","2,687","3,162","3,038","3,412","5,418","4,494","4,606","2,659","1,603","3,542","4,961","7,239","22,568","9,381","11,911","38,940","8,722","23,954","14,632","25,103","15,639","6,789","32,379"
2020년04월_계_연령구간인구수,"285,255","7,081","8,040","7,382","2,331","1,611","1,971","2,687","3,162","3,038","3,412","5,418","4,494","4,606","2,659","1,603","3,542","4,961","7,239","22,568","9,381","11,911","38,940","8,722","23,954","14,632","25,103","15,639","6,789","32,379"
2020년04월_계_0~9세,"20,345",400,579,300,68,33,33,78,118,92,195,333,94,193,72,22,108,344,347,"1,718",447,526,"3,892",946,"1,670","1,361","2,404",658,581,"2,733"
2020년04월_계_10~19세,"28,759",601,623,540,138,71,107,158,159,137,176,374,209,293,116,91,173,352,441,"2,267",711,879,"4,355",949,"2,856","2,192","3,494","1,192",696,"4,409"
2020년04월_계_20~29세,"36,688",648,710,703,188,104,136,176,228,155,335,712,275,406,273,106,354,497,911,"2,575","1,385","1,400","4,927",898,"3,521","2,270","3,452","3,975",774,"4,594"
2020년04월_계_30~39세,"29,738",570,861,548,130,63,104,156,211,167,291,482,249,361,158,72,340,589,823,"2,481",895,"1,064","4,640","1,238","2,511","1,715","3,124","1,457",877,"3,561"
2020년04월_계_40~49세,"42,872",845,"1,087",853,224,147,185,250,328,259,336,603,425,546,263,155,437,750,886,"3,492","1,218","1,534","6,311","1,451","3,704","2,911","4,945","1,755","1,073","5,899"
2020년04월_계_50~59세,"49,730","1,253","1,441","1,368",449,278,383,387,570,540,571,965,783,870,558,244,582,949,"1,177","4,038","1,903","1,998","6,434","1,271","4,658","2,426","4,331","2,335","1,100","5,868"
2020년04월_계_60~69세,"39,040","1,361","1,365","1,371",442,371,433,602,658,704,624,974,994,890,510,364,724,814,"1,293","3,291","1,600","2,124","4,618","1,054","3,082",936,"2,007","2,022",831,"2,981"
2020년04월_계_70~79세,"23,746",841,811,974,393,278,333,514,532,558,517,620,809,563,384,308,559,444,895,"1,764",826,"1,669","2,440",634,"1,267",546,886,"1,420",499,"1,462"
2020년04월_계_80~89세,"12,384",489,487,614,250,222,217,315,321,372,325,312,548,411,273,205,219,188,413,836,342,639,"1,150",247,579,244,406,697,283,780
2020년04월_계_90~99세,"1,847",67,74,101,45,42,37,51,36,50,40,41,101,73,48,33,42,31,51,96,51,75,168,32,104,31,50,115,72,90
2020년04월_계_100세 이상,106,6,2,10,4,2,3,0,1,4,2,2,7,0,4,3,4,3,2,10,3,3,5,2,2,0,4,13,3,2
2020년04월_남_총인구수,"142,088","3,472","3,970","3,724","1,153",824,"1,004","1,353","1,668","1,487","1,705","2,867","2,315","2,377","1,371",787,"1,883","2,613","3,703","11,124","4,790","6,048","18,865","4,358","11,851","7,146","12,225","7,888","3,499","16,018"
2020년04월_남_연령구간인구수,"142,088","3,472","3,970","3,724","1,153",824,"1,004","1,353","1,668","1,487","1,705","2,867","2,315","2,377","1,371",787,"1,883","2,613","3,703","11,124","4,790","6,048","18,865","4,358","11,851","7,146","12,225","7,888","3,499","16,018"
2020년04월_남_0~9세,"10,366",205,291,153,30,16,25,40,55,40,86,172,60,102,42,10,66,184,185,854,249,280,"1,987",465,835,693,"1,248",331,300,"1,362"
2020년04월_남_10~19세,"14,773",278,310,274,66,44,55,80,96,68,102,185,119,164,65,48,102,169,232,"1,197",398,488,"2,153",518,"1,486","1,136","1,767",583,352,"2,238"
2020년04월_남_20~29세,"19,935",374,360,405,109,56,79,98,134,93,188,488,153,229,155,61,199,274,466,"1,399",761,765,"2,564",482,"1,922","1,168","1,831","2,245",434,"2,443"
2020년04월_남_30~39세,"15,552",297,473,299,74,40,59,101,120,109,167,272,170,208,106,35,217,317,479,"1,294",510,605,"2,238",623,"1,289",837,"1,532",836,473,"1,772"
2020년04월_남_40~49세,"21,923",462,592,490,130,95,122,163,208,152,199,350,274,330,175,105,259,422,497,"1,818",661,838,"3,107",759,"1,769","1,327","2,260",941,574,"2,844"
2020년04월_남_50~59세,"25,225",646,732,745,246,167,226,218,332,287,311,500,439,490,298,124,310,517,640,"1,986",917,"1,012","3,068",640,"2,235","1,235","2,185","1,138",584,"2,997"
2020년04월_남_60~69세,"19,346",680,669,706,234,189,218,296,366,343,314,497,521,467,267,189,365,425,602,"1,575",795,"1,003","2,245",500,"1,551",452,950,954,426,"1,547"
2020년04월_남_70~79세,"10,499",362,360,437,172,126,148,239,233,254,231,285,363,252,169,137,272,231,435,704,377,759,"1,073",274,575,210,330,645,246,600
2020년04월_남_80~89세,"4,007",154,162,190,81,79,64,105,115,126,95,108,177,117,80,71,82,67,154,271,111,269,386,88,167,82,112,197,94,203
2020년04월_남_90~99세,440,13,19,22,11,12,7,13,9,14,11,10,37,18,13,7,11,6,13,23,11,27,44,8,22,6,10,17,15,11
2020년04월_남_100세 이상,22,1,2,3,0,0,1,0,0,1,1,0,2,0,1,0,0,1,0,3,0,2,0,1,0,0,0,1,1,1
2020년04월_여_총인구수,"143,167","3,609","4,070","3,658","1,178",787,967,"1,334","1,494","1,551","1,707","2,551","2,179","2,229","1,288",816,"1,659","2,348","3,536","11,444","4,591","5,863","20,075","4,364","12,103","7,486","12,878","7,751","3,290","16,361"
2020년04월_여_연령구간인구수,"143,167","3,609","4,070","3,658","1,178",787,967,"1,334","1,494","1,551","1,707","2,551","2,179","2,229","1,288",816,"1,659","2,348","3,536","11,444","4,591","5,863","20,075","4,364","12,103","7,486","12,878","7,751","3,290","16,361"
2020년04월_여_0~9세,"9,979",195,288,147,38,17,8,38,63,52,109,161,34,91,30,12,42,160,162,864,198,246,"1,905",481,835,668,"1,156",327,281,"1,371"
2020년04월_여_10~19세,"13,986",323,313,266,72,27,52,78,63,69,74,189,90,129,51,43,71,183,209,"1,070",313,391,"2,202",431,"1,370","1,056","1,727",609,344,"2,171"
2020년04월_여_20~29세,"16,753",274,350,298,79,48,57,78,94,62,147,224,122,177,118,45,155,223,445,"1,176",624,635,"2,363",416,"1,599","1,102","1,621","1,730",340,"2,151"
2020년04월_여_30~39세,"14,186",273,388,249,56,23,45,55,91,58,124,210,79,153,52,37,123,272,344,"1,187",385,459,"2,402",615,"1,222",878,"1,592",621,404,"1,789"
2020년04월_여_40~49세,"20,949",383,495,363,94,52,63,87,120,107,137,253,151,216,88,50,178,328,389,"1,674",557,696,"3,204",692,"1,935","1,584","2,685",814,499,"3,055"
2020년04월_여_50~59세,"24,505",607,709,623,203,111,157,169,238,253,260,465,344,380,260,120,272,432,537,"2,052",986,986,"3,366",631,"2,423","1,191","2,146","1,197",516,"2,871"
2020년04월_여_60~69세,"19,694",681,696,665,208,182,215,306,292,361,310,477,473,423,243,175,359,389,691,"1,716",805,"1,121","2,373",554,"1,531",484,"1,057","1,068",405,"1,434"
2020년04월_여_70~79세,"13,247",479,451,537,221,152,185,275,299,304,286,335,446,311,215,171,287,213,460,"1,060",449,910,"1,367",360,692,336,556,775,253,862
2020년04월_여_80~89세,"8,377",335,325,424,169,143,153,210,206,246,230,204,371,294,193,134,137,121,259,565,231,370,764,159,412,162,294,500,189,577
2020년04월_여_90~99세,"1,407",54,55,79,34,30,30,38,27,36,29,31,64,55,35,26,31,25,38,73,40,48,124,24,82,25,40,98,57,79
2020년04월_여_100세 이상,84,5,0,7,4,2,2,0,1,3,1,2,5,0,3,3,4,2,2,7,3,1,5,1,2,0,4,12,2,1
