카테고리,경상남도 하동군,경상남도 하동군 하동읍,경상남도 하동군 화개면,경상남도 하동군 악양면,경상남도 하동군 적량면,경상남도 하동군 횡천면,경상남도 하동군 고전면,경상남도 하동군 금남면,경상남도 하동군 진교면,경상남도 하동군 양보면,경상남도 하동군 북천면,경상남도 하동군 청암면,경상남도 하동군 옥종면,경상남도 하동군 금성면
2021년07월_계_총인구수,"43,974","9,853","3,058","3,495","1,930","1,851","2,244","3,436","5,911","1,722","1,716","1,476","4,265","3,017"
2021년07월_계_연령구간인구수,"43,974","9,853","3,058","3,495","1,930","1,851","2,244","3,436","5,911","1,722","1,716","1,476","4,265","3,017"
2021년07월_계_0~9세,"1,699",542,85,98,51,48,58,85,325,21,64,52,153,117
2021년07월_계_10~19세,"2,749",860,198,183,87,68,121,150,425,69,82,130,225,151
2021년07월_계_20~29세,"3,225",952,225,186,122,106,139,247,461,81,83,73,250,300
2021년07월_계_30~39세,"2,630",803,125,151,98,101,103,175,407,69,98,78,223,199
2021년07월_계_40~49세,"4,725","1,326",345,327,179,142,213,305,762,132,141,125,372,356
2021년07월_계_50~59세,"8,104","1,775",698,707,326,332,376,634,"1,034",277,274,259,828,584
2021년07월_계_60~69세,"9,231","1,719",638,780,449,443,519,789,"1,143",391,393,393,979,595
2021년07월_계_70~79세,"6,340","1,134",444,582,300,293,363,588,728,353,302,217,634,402
2021년07월_계_80~89세,"4,464",643,253,405,278,271,281,389,524,274,239,124,509,274
2021년07월_계_90~99세,790,98,45,75,40,45,70,71,100,53,40,24,90,39
2021년07월_계_100세 이상,17,1,2,1,0,2,1,3,2,2,0,1,2,0
2021년07월_남_총인구수,"21,976","4,870","1,552","1,722",944,914,"1,103","1,746","2,930",844,838,769,"2,155","1,589"
2021년07월_남_연령구간인구수,"21,976","4,870","1,552","1,722",944,914,"1,103","1,746","2,930",844,838,769,"2,155","1,589"
2021년07월_남_0~9세,890,278,43,61,33,23,35,47,149,12,29,30,82,68
2021년07월_남_10~19세,"1,496",450,111,104,53,34,56,77,236,31,47,84,123,90
2021년07월_남_20~29세,"1,929",533,127,121,68,62,91,161,281,54,46,40,151,194
2021년07월_남_30~39세,"1,447",424,65,82,55,57,62,116,202,43,56,43,124,118
2021년07월_남_40~49세,"2,629",682,183,182,101,93,124,178,421,78,80,72,215,220
2021년07월_남_50~59세,"4,464",948,396,367,177,170,208,370,551,153,164,143,469,348
2021년07월_남_60~69세,"4,811",853,340,413,239,244,270,399,581,211,215,210,530,306
2021년07월_남_70~79세,"2,777",480,187,242,129,139,162,257,328,165,127,111,290,160
2021년07월_남_80~89세,"1,368",202,87,142,75,80,84,127,158,88,65,32,152,76
2021년07월_남_90~99세,161,20,12,8,14,10,11,14,23,9,9,4,18,9
2021년07월_남_100세 이상,4,0,1,0,0,2,0,0,0,0,0,0,1,0
2021년07월_여_총인구수,"21,998","4,983","1,506","1,773",986,937,"1,141","1,690","2,981",878,878,707,"2,110","1,428"
2021년07월_여_연령구간인구수,"21,998","4,983","1,506","1,773",986,937,"1,141","1,690","2,981",878,878,707,"2,110","1,428"
2021년07월_여_0~9세,809,264,42,37,18,25,23,38,176,9,35,22,71,49
2021년07월_여_10~19세,"1,253",410,87,79,34,34,65,73,189,38,35,46,102,61
2021년07월_여_20~29세,"1,296",419,98,65,54,44,48,86,180,27,37,33,99,106
2021년07월_여_30~39세,"1,183",379,60,69,43,44,41,59,205,26,42,35,99,81
2021년07월_여_40~49세,"2,096",644,162,145,78,49,89,127,341,54,61,53,157,136
2021년07월_여_50~59세,"3,640",827,302,340,149,162,168,264,483,124,110,116,359,236
2021년07월_여_60~69세,"4,420",866,298,367,210,199,249,390,562,180,178,183,449,289
2021년07월_여_70~79세,"3,563",654,257,340,171,154,201,331,400,188,175,106,344,242
2021년07월_여_80~89세,"3,096",441,166,263,203,191,197,262,366,186,174,92,357,198
2021년07월_여_90~99세,629,78,33,67,26,35,59,57,77,44,31,20,72,30
2021년07월_여_100세 이상,13,1,1,1,0,0,1,3,2,2,0,1,1,0
