,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2021년09월_계_총인구수,"95,788","6,413","1,383","3,830","2,963",974,"2,591","3,943","1,639","1,892","2,548","1,735",751,"1,952","2,783","1,208",328,"2,694","1,136",371,"2,115","1,995",801,"12,025","9,001","8,185","8,076","3,531","8,925"
2021년09월_계_연령구간인구수,"95,788","6,413","1,383","3,830","2,963",974,"2,591","3,943","1,639","1,892","2,548","1,735",751,"1,952","2,783","1,208",328,"2,694","1,136",371,"2,115","1,995",801,"12,025","9,001","8,185","8,076","3,531","8,925"
2021년09월_계_0~9세,"4,944",258,38,106,82,26,80,93,51,41,91,59,24,49,146,25,5,88,20,5,37,53,33,846,715,603,532,157,681
2021년09월_계_10~19세,"7,399",525,58,171,145,30,95,230,66,67,152,61,40,108,152,61,11,141,46,20,90,81,28,"1,315",833,829,725,318,"1,001"
2021년09월_계_20~29세,"7,708",363,59,188,165,50,132,177,71,86,142,97,29,91,137,59,13,118,38,9,94,86,43,"1,252",953,762,835,292,"1,367"
2021년09월_계_30~39세,"7,074",420,66,208,118,34,137,183,82,89,128,80,39,95,176,62,8,133,29,10,93,70,33,"1,205","1,002",823,694,241,816
2021년09월_계_40~49세,"11,031",679,102,321,220,73,187,310,130,127,242,144,55,157,247,111,26,277,77,24,162,176,60,"1,725","1,349","1,187","1,100",469,"1,294"
2021년09월_계_50~59세,"16,232","1,037",224,599,474,190,418,611,277,354,485,320,143,374,509,257,65,462,163,66,295,287,157,"2,038","1,519","1,395","1,492",609,"1,412"
2021년09월_계_60~69세,"19,033","1,385",325,909,683,237,646,994,386,534,661,466,206,484,646,282,102,624,316,77,534,446,189,"1,916","1,474","1,255","1,330",659,"1,267"
2021년09월_계_70~79세,"12,393",940,289,651,540,147,458,745,297,316,384,269,111,337,415,188,49,455,244,66,413,400,137,"1,115",712,760,832,479,644
2021년09월_계_80~89세,"8,580",704,196,577,452,166,377,515,235,249,229,203,92,210,315,139,43,342,171,83,330,329,96,535,388,501,466,263,374
2021년09월_계_90~99세,"1,356",96,26,97,80,21,59,83,44,29,30,36,12,47,40,23,6,52,30,11,66,65,25,76,56,67,67,44,68
2021년09월_계_100세 이상,38,6,0,3,4,0,2,2,0,0,4,0,0,0,0,1,0,2,2,0,1,2,0,2,0,3,3,0,1
2021년09월_남_총인구수,"46,986","3,102",675,"1,877","1,450",480,"1,260","1,952",815,972,"1,280",881,359,978,"1,358",606,172,"1,274",527,194,"1,009",962,388,"5,882","4,501","3,893","3,923","1,726","4,490"
2021년09월_남_연령구간인구수,"46,986","3,102",675,"1,877","1,450",480,"1,260","1,952",815,972,"1,280",881,359,978,"1,358",606,172,"1,274",527,194,"1,009",962,388,"5,882","4,501","3,893","3,923","1,726","4,490"
2021년09월_남_0~9세,"2,574",144,25,57,43,13,44,48,26,17,51,26,14,27,78,15,1,37,9,0,16,34,17,427,358,305,288,98,356
2021년09월_남_10~19세,"3,911",251,27,108,75,13,59,139,40,40,74,31,21,54,71,29,6,73,26,14,42,36,15,755,452,414,347,171,528
2021년09월_남_20~29세,"4,461",216,34,118,97,31,88,111,39,50,92,68,16,53,75,24,9,68,18,7,65,53,16,699,525,430,471,182,806
2021년09월_남_30~39세,"3,795",241,40,119,78,22,77,107,42,57,66,53,19,51,95,41,5,75,16,8,61,40,11,633,525,432,352,123,406
2021년09월_남_40~49세,"5,837",358,75,210,134,45,120,196,89,74,144,86,32,95,138,63,16,153,49,12,104,100,36,820,678,599,524,252,635
2021년09월_남_50~59세,"8,618",566,132,343,262,116,231,339,165,194,256,187,70,212,263,149,40,252,91,45,160,171,91,"1,003",788,676,798,320,698
2021년09월_남_60~69세,"9,393",694,164,478,363,119,323,484,202,301,332,244,114,256,336,137,59,307,159,41,268,224,103,876,721,571,613,282,622
2021년09월_남_70~79세,"5,424",390,118,275,242,68,187,336,130,148,169,111,47,151,176,86,22,200,96,32,184,178,66,492,318,319,370,206,307
2021년09월_남_80~89세,"2,711",223,57,155,140,48,119,174,73,87,90,63,25,72,115,56,14,100,59,32,99,106,30,167,129,136,142,87,113
2021년09월_남_90~99세,258,18,3,14,16,5,12,18,9,4,5,12,1,7,11,6,0,9,4,3,10,20,3,10,7,11,17,5,18
2021년09월_남_100세 이상,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2021년09월_여_총인구수,"48,802","3,311",708,"1,953","1,513",494,"1,331","1,991",824,920,"1,268",854,392,974,"1,425",602,156,"1,420",609,177,"1,106","1,033",413,"6,143","4,500","4,292","4,153","1,805","4,435"
2021년09월_여_연령구간인구수,"48,802","3,311",708,"1,953","1,513",494,"1,331","1,991",824,920,"1,268",854,392,974,"1,425",602,156,"1,420",609,177,"1,106","1,033",413,"6,143","4,500","4,292","4,153","1,805","4,435"
2021년09월_여_0~9세,"2,370",114,13,49,39,13,36,45,25,24,40,33,10,22,68,10,4,51,11,5,21,19,16,419,357,298,244,59,325
2021년09월_여_10~19세,"3,488",274,31,63,70,17,36,91,26,27,78,30,19,54,81,32,5,68,20,6,48,45,13,560,381,415,378,147,473
2021년09월_여_20~29세,"3,247",147,25,70,68,19,44,66,32,36,50,29,13,38,62,35,4,50,20,2,29,33,27,553,428,332,364,110,561
2021년09월_여_30~39세,"3,279",179,26,89,40,12,60,76,40,32,62,27,20,44,81,21,3,58,13,2,32,30,22,572,477,391,342,118,410
2021년09월_여_40~49세,"5,194",321,27,111,86,28,67,114,41,53,98,58,23,62,109,48,10,124,28,12,58,76,24,905,671,588,576,217,659
2021년09월_여_50~59세,"7,614",471,92,256,212,74,187,272,112,160,229,133,73,162,246,108,25,210,72,21,135,116,66,"1,035",731,719,694,289,714
2021년09월_여_60~69세,"9,640",691,161,431,320,118,323,510,184,233,329,222,92,228,310,145,43,317,157,36,266,222,86,"1,040",753,684,717,377,645
2021년09월_여_70~79세,"6,969",550,171,376,298,79,271,409,167,168,215,158,64,186,239,102,27,255,148,34,229,222,71,623,394,441,462,273,337
2021년09월_여_80~89세,"5,869",481,139,422,312,118,258,341,162,162,139,140,67,138,200,83,29,242,112,51,231,223,66,368,259,365,324,176,261
2021년09월_여_90~99세,"1,098",78,23,83,64,16,47,65,35,25,25,24,11,40,29,17,6,43,26,8,56,45,22,66,49,56,50,39,50
2021년09월_여_100세 이상,34,5,0,3,4,0,2,2,0,0,3,0,0,0,0,1,0,2,2,0,1,2,0,2,0,3,2,0,0
