,경상북도 울릉군,경상북도 울릉군 울릉읍,경상북도 울릉군 서면,경상북도 울릉군 서면태하출장소,경상북도 울릉군 북면
2020년12월_계_총인구수,"9,077","6,434",878,444,"1,321"
2020년12월_계_연령구간인구수,"9,077","6,434",878,444,"1,321"
2020년12월_계_0~9세,392,288,41,16,47
2020년12월_계_10~19세,463,372,36,15,40
2020년12월_계_20~29세,833,609,83,25,116
2020년12월_계_30~39세,852,640,60,31,121
2020년12월_계_40~49세,"1,290",987,101,32,170
2020년12월_계_50~59세,"1,848","1,327",186,88,247
2020년12월_계_60~69세,"1,766","1,212",172,101,281
2020년12월_계_70~79세,"1,045",671,116,90,168
2020년12월_계_80~89세,498,282,75,30,111
2020년12월_계_90~99세,78,34,8,16,20
2020년12월_계_100세 이상,12,12,0,0,0
2020년12월_남_총인구수,"4,956","3,506",480,239,731
2020년12월_남_연령구간인구수,"4,956","3,506",480,239,731
2020년12월_남_0~9세,203,149,20,10,24
2020년12월_남_10~19세,233,174,24,11,24
2020년12월_남_20~29세,506,355,66,11,74
2020년12월_남_30~39세,511,387,32,19,73
2020년12월_남_40~49세,791,598,62,21,110
2020년12월_남_50~59세,"1,079",774,107,51,147
2020년12월_남_60~69세,935,638,96,52,149
2020년12월_남_70~79세,479,306,47,47,79
2020년12월_남_80~89세,192,111,23,12,46
2020년12월_남_90~99세,22,9,3,5,5
2020년12월_남_100세 이상,5,5,0,0,0
2020년12월_여_총인구수,"4,121","2,928",398,205,590
2020년12월_여_연령구간인구수,"4,121","2,928",398,205,590
2020년12월_여_0~9세,189,139,21,6,23
2020년12월_여_10~19세,230,198,12,4,16
2020년12월_여_20~29세,327,254,17,14,42
2020년12월_여_30~39세,341,253,28,12,48
2020년12월_여_40~49세,499,389,39,11,60
2020년12월_여_50~59세,769,553,79,37,100
2020년12월_여_60~69세,831,574,76,49,132
2020년12월_여_70~79세,566,365,69,43,89
2020년12월_여_80~89세,306,171,52,18,65
2020년12월_여_90~99세,56,25,5,11,15
2020년12월_여_100세 이상,7,7,0,0,0
