카테고리,전라남도 함평군,전라남도 함평군 함평읍,전라남도 함평군 손불면,전라남도 함평군 신광면,전라남도 함평군 학교면,전라남도 함평군 엄다면,전라남도 함평군 대동면,전라남도 함평군 나산면,전라남도 함평군 해보면,전라남도 함평군 월야면
2020년02월_계_총인구수,"32,735","8,633","3,437","1,923","3,973","1,955","3,170","2,912","2,948","3,784"
2020년02월_계_연령구간인구수,"32,735","8,633","3,437","1,923","3,973","1,955","3,170","2,912","2,948","3,784"
2020년02월_계_0~9세,"1,490",565,149,78,148,52,110,115,108,165
2020년02월_계_10~19세,"2,153",795,193,65,218,100,244,149,143,246
2020년02월_계_20~29세,"2,676",848,199,148,297,140,263,216,276,289
2020년02월_계_30~39세,"2,255",744,189,126,250,108,195,182,208,253
2020년02월_계_40~49세,"3,690","1,193",373,193,401,179,322,274,332,423
2020년02월_계_50~59세,"5,721","1,431",598,313,703,376,577,522,542,659
2020년02월_계_60~69세,"5,700","1,220",633,411,743,349,531,614,547,652
2020년02월_계_70~79세,"5,265","1,078",676,334,684,363,531,463,462,674
2020년02월_계_80~89세,"3,299",665,384,216,454,255,346,331,282,366
2020년02월_계_90~99세,460,88,42,38,72,32,50,44,41,53
2020년02월_계_100세 이상,26,6,1,1,3,1,1,2,7,4
2020년02월_남_총인구수,"16,341","4,242","1,696",951,"1,977",939,"1,623","1,429","1,485","1,999"
2020년02월_남_연령구간인구수,"16,341","4,242","1,696",951,"1,977",939,"1,623","1,429","1,485","1,999"
2020년02월_남_0~9세,769,284,62,43,86,20,64,57,55,98
2020년02월_남_10~19세,"1,142",437,96,32,104,57,132,70,76,138
2020년02월_남_20~29세,"1,552",451,123,78,183,91,164,121,156,185
2020년02월_남_30~39세,"1,228",378,101,73,145,60,110,106,110,145
2020년02월_남_40~49세,"2,193",651,241,119,248,104,185,168,188,289
2020년02월_남_50~59세,"3,294",785,346,178,395,209,357,300,317,407
2020년02월_남_60~69세,"2,898",588,324,205,388,182,260,331,280,340
2020년02월_남_70~79세,"2,179",445,272,147,281,138,235,182,199,280
2020년02월_남_80~89세,976,200,119,66,132,70,105,91,90,103
2020년02월_남_90~99세,107,21,12,10,15,8,11,3,14,13
2020년02월_남_100세 이상,3,2,0,0,0,0,0,0,0,1
2020년02월_여_총인구수,"16,394","4,391","1,741",972,"1,996","1,016","1,547","1,483","1,463","1,785"
2020년02월_여_연령구간인구수,"16,394","4,391","1,741",972,"1,996","1,016","1,547","1,483","1,463","1,785"
2020년02월_여_0~9세,721,281,87,35,62,32,46,58,53,67
2020년02월_여_10~19세,"1,011",358,97,33,114,43,112,79,67,108
2020년02월_여_20~29세,"1,124",397,76,70,114,49,99,95,120,104
2020년02월_여_30~39세,"1,027",366,88,53,105,48,85,76,98,108
2020년02월_여_40~49세,"1,497",542,132,74,153,75,137,106,144,134
2020년02월_여_50~59세,"2,427",646,252,135,308,167,220,222,225,252
2020년02월_여_60~69세,"2,802",632,309,206,355,167,271,283,267,312
2020년02월_여_70~79세,"3,086",633,404,187,403,225,296,281,263,394
2020년02월_여_80~89세,"2,323",465,265,150,322,185,241,240,192,263
2020년02월_여_90~99세,353,67,30,28,57,24,39,41,27,40
2020년02월_여_100세 이상,23,4,1,1,3,1,1,2,7,3
